chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押1付6,1800,中楼层/6层,79,金水家园车站前街10号,简装
整租,,押2付3,1600,高楼层/6层,90,鑫秀家园,简装
整租,,押2付3,1800,中楼层/6层,94,金果林三区,简装
整租,,押1付3,1500,中楼层/4层,68,滨水雅园一区,中装
整租,,押2付3,6000,底层/3层,275.95,琉璃湖别墅,精装
整租,,押2付3,1200,顶层/6层,59.46,金水家园车站东街3号,简装
整租,,押1付3,1800,中楼层/6层,90,金果林四区,简装
整租,,押1付3,1800,低楼层/6层,79.41,金水家园车站前街10号,简装
整租,,押2付3,2500,高楼层/6层,102,金果林四区,精装
整租,,押2付3,1500,高楼层/6层,70,金水家园车站东街3号,简装
整租,,押2付3,1900,顶层/5层,90,滨水雅园一区,精装
整租,,押1付12,2000,中楼层/6层,87,滨水雅园二区,精装
整租,,押2付3,1200,中楼层/6层,75,荣景公寓,简装
整租,,押1付3,2000,低楼层/16层,100,金果林四区,中装
整租,,押2付3,2000,中楼层/6层,86,滨水雅园一区,简装
整租,,押1付6,1400,顶层/6层,72,金水家园车站东街3号,简装
随时看房,,押2付3,1500,中楼层/5层,50.32,金水家园车站前街10号,自供暖
整租,,押2付3,1400,顶层/6层,54,金水家园车站前街10号,精装
整租,,押1付3,1300,中楼层/6层,57,金水家园车站前街10号,简装
整租,,押2付3,2100,高楼层/6层,86.4,古桥镜水,中装
整租,,押2付3,1800,中楼层/6层,87,古桥镜水,中装
整租,,押2付3,1700,中楼层/6层,72,金水家园车站东街3号,简装
整租,,押1付3,1400,低楼层/5层,53,金水家园车站前街10号,简装
整租,,押1付3,1600,顶层/6层,59,金水家园车站东街3号,简装
电话预约,,,1800,低楼层/6层,86.4,古桥镜水,精装
整租,,押2付3,1900,中楼层/6层,86,滨水雅园二区,精装
整租,,押2付3,1600,顶层/6层,87,滨水雅园二区,中装
整租,,押2付3,1800,高楼层/6层,97,滨水雅园二区,精装
整租,,押1付3,1800,高楼层/6层,75,秀水新村,简装
整租,,押2付6,1500,顶层/6层,70,金水家园车站前街10号,中装
整租,,押2付3,2000,低楼层/6层,88,滨水雅园一区,中装
整租,,押1付6,1600,中楼层/6层,70,金水家园车站东街3号,中装
整租,,押1付3,2000,中楼层/6层,120,金果林四区,精装
