chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,2000,底层/11层,163,腾龙家园三区,毛坯
整租,距离地铁阎村225米,押1付3,2300,中楼层/20层,69.76,天恒乐活城北区,简装
整租,距离地铁星城428米,押2付3,2400,低楼层/6层,69.68,燕化星城健德一里,精装
整租,距离地铁星城335米,押1付3,2300,中楼层/6层,82,燕化星城健德四里,中装
整租,距离地铁星城902米,押2付3,2000,底层/6层,86,昊腾家园,中装
整租,,押1付3,2000,高楼层/6层,93.97,腾龙家园一区,精装
整租,距离地铁星城902米,押2付3,2500,底层/6层,120,昊腾家园,简装
随时看房,距离地铁星城902米,,1700,高楼层/6层,68,昊腾家园,中装
整租,距离地铁阎村225米,押1付3,3200,中楼层/11层,89,天恒乐活城北区,精装
整租,距离地铁星城978米,押1付3,3600,中楼层/5层,150,绿城百合公寓流虹苑,精装
随时看房,距离地铁星城902米,,1500,顶层/6层,99.29,昊腾家园,简装
整租,距离地铁星城641米,押1付3,2400,底层/6层,76.48,燕化星城健德二里,简装
整租,距离地铁阎村225米,押2付3,2800,低楼层/18层,89,天恒乐活城北区,精装
整租,距离地铁星城1287米,押2付3,2500,中楼层/5层,80,绿城百合公寓南屏苑,精装
整租,距离地铁星城628米,押1付3,3500,中楼层/6层,113.52,绿城百合公寓栖霞苑,中装
整租,距离地铁星城335米,押1付3,3000,高楼层/25层,85,燕化星城健德四里,精装
整租,距离地铁星城902米,押2付3,2200,低楼层/6层,117,昊腾家园,精装
整租,距离地铁星城902米,押1付3,1800,顶层/6层,140,昊腾家园,简装
整租,距离地铁阎村494米,押2付3,9000,顶层/18层,420,绿城百合公寓玉泉苑,中装
整租,距离地铁阎村225米,押2付3,1800,顶层/6层,48.61,天恒乐活城北区,简装
整租,,押2付3,2200,中楼层/11层,86.84,腾龙家园三区,简装
整租,距离地铁星城238米,押1付3,2500,低楼层/6层,95.81,星城北里,简装
整租,,押1付12,2500,中楼层/11层,103,腾龙家园三区,精装
整租,距离地铁星城1287米,押2付3,3000,中楼层/5层,81.81,绿城百合公寓南屏苑,简装
整租,距离地铁星城902米,押2付3,1900,低楼层/6层,61,昊腾家园,精装
整租,距离地铁阎村1130米,押1付3,1600,中楼层/4层,58,房山梨园东里,简装
整租,,押1付3,2200,高楼层/11层,105.22,腾龙家园三区,精装
整租,距离地铁星城641米,押2付3,2000,高楼层/6层,76.85,燕化星城健德二里,中装
整租,距离地铁星城238米,押1付3,2800,顶层/5层,111.18,星城北里,中装
整租,距离地铁星城428米,押1付3,2200,中楼层/6层,69.86,燕化星城健德一里,简装
整租,距离地铁阎村225米,押2付3,4500,中楼层/8层,136.64,天恒乐活城北区,精装
整租,距离地铁星城659米,押2付3,2600,低楼层/6层,85,燕化星城健德三里,精装
整租,距离地铁星城659米,押2付3,2400,中楼层/5层,84,燕化星城健德三里,中装
整租,距离地铁星城641米,押1付3,2300,高楼层/6层,76,燕化星城健德二里,简装
整租,,押2付3,2600,中楼层/6层,138,腾龙家园一区,中装
整租,距离地铁阎村225米,押2付3,2500,中楼层/20层,69.73,天恒乐活城北区,精装
整租,距离地铁星城902米,押2付3,2000,高楼层/6层,90,昊腾家园,中装
整租,,押1付3,2500,顶层/6层,90,腾龙家园一区,精装
整租,距离地铁阎村793米,押2付3,3500,低楼层/6层,100.28,绿城百合公寓春云苑,精装
整租,距离地铁星城641米,押2付3,2100,顶层/6层,76,燕化星城健德二里,中装
整租,距离地铁阎村225米,押1付3,2700,中楼层/18层,70.57,天恒乐活城北区,精装
整租,距离地铁阎村225米,押1付6,2900,顶层/18层,89,天恒乐活城北区,精装
整租,,押1付3,2400,中楼层/6层,91,腾龙家园一区,精装
整租,距离地铁阎村748米,押1付3,2600,低楼层/16层,67,绿城百合公寓霁雪苑,中装
整租,距离地铁星城335米,押2付3,2500,底层/5层,82.09,燕化星城健德四里,简装
整租,距离地铁星城902米,押2付3,1700,中楼层/6层,67,昊腾家园,精装
整租,距离地铁星城1287米,押1付3,3300,低楼层/5层,82,绿城百合公寓南屏苑,精装
整租,距离地铁星城641米,押2付3,2600,高楼层/6层,92,燕化星城健德二里,简装
整租,距离地铁星城238米,押1付3,2500,低楼层/5层,91.43,星城北里,中装
整租,距离地铁星城902米,押2付3,2500,底层/6层,140,昊腾家园,中装
整租,距离地铁阎村225米,押1付3,2000,底层/3层,48,天恒乐活城北区,中装
整租,距离地铁星城1287米,押2付3,3000,中楼层/5层,89.93,绿城百合公寓南屏苑,中装
整租,距离地铁星城428米,押2付3,2000,中楼层/6层,68,燕化星城健德一里,中装
整租,距离地铁阎村748米,押1付3,5000,高楼层/11层,193.47,绿城百合公寓霁雪苑,中装
电话预约,距离地铁阎村494米,押2付3,2800,高楼层/18层,176.5,绿城百合公寓玉泉苑,毛坯
整租,距离地铁阎村225米,押2付3,2700,高楼层/22层,78.87,天恒乐活城北区,简装
整租,,押1付3,4000,低楼层/6层,160,腾龙家园一区,豪装
