chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁燕山798米,押2付3,2000,低楼层/18层,75,富燕新村二区,中装
整租,,押1付3,1200,中楼层/5层,43.53,东风南里,简装
整租,,押2付3,1800,中楼层/5层,56,东风北里,中装
整租,距离地铁燕山1436米,押1付3,1500,中楼层/14层,50,迎风五里,简装
整租,,押1付3,1500,顶层/6层,75.01,羊耳峪北里,中装
整租,距离地铁燕山1482米,押1付3,1200,中楼层/5层,54.42,迎风四里,简装
整租,距离地铁燕山798米,押1付3,2500,中楼层/18层,97,富燕新村二区,精装
整租,,押2付3,1200,顶层/4层,43,东风北里,简装
整租,距离地铁燕山891米,押2付3,2000,高楼层/6层,93.7,富燕新村一区,中装
整租,,押1付12,2300,高楼层/18层,85,原香嘉苑3号院,精装
整租,,押2付3,1300,顶层/5层,45.59,迎风三里,中装
整租,距离地铁燕山616米,押2付3,1800,高楼层/15层,65,宏塔社区,简装
整租,,押1付3,1500,底层/4层,46,东风南里,中装
整租,,押1付3,2500,中楼层/16层,89,幸福新村,中装
整租,距离地铁燕山791米,押1付3,2000,中楼层/6层,94,富燕新村四区,中装
整租,,押1付3,1100,中楼层/6层,56,凤凰亭北里,中装
整租,,押2付3,1100,顶层/6层,70,羊耳峪里,简装
整租,,押2付3,1200,低楼层/6层,60.8,高家坡社区,中装
整租,距离地铁燕山793米,押2付3,2500,顶层/6层,130.58,杰辉苑,简装
整租,距离地铁燕山891米,押1付12,2200,中楼层/18层,75,富燕新村一区,简装
整租,距离地铁燕山1033米,押2付3,2100,低楼层/6层,77,富燕新村三区,中装
整租,距离地铁燕山793米,押1付3,2500,中楼层/6层,105.61,杰辉苑,中装
整租,,押2付3,1000,顶层/6层,75,东风东里,简装
整租,距离地铁燕山1336米,押2付3,1300,中楼层/6层,51,杏花西里,简装
整租,,押1付3,2600,高楼层/22层,128,迎风西里,精装
整租,,押1付6,1400,顶层/6层,76.5,羊耳峪里,中装
整租,,押1付3,1200,顶层/5层,59.7,凤凰亭南里,简装
整租,距离地铁燕山1181米,押2付3,1200,顶层/6层,122,星河苑,简装
整租,,押2付3,1800,低楼层/4层,80,东风北里,简装
整租,,押2付3,1600,中楼层/5层,60.69,东风南里,简装
整租,距离地铁燕山864米,押2付3,1500,高楼层/6层,68,迎风六里,简装
整租,距离地铁燕山1336米,押1付3,1500,中楼层/6层,60,杏花西里,中装
