chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押1付3,1000,中楼层/5层,56.67,长沟峪矿家属区,简装
整租,,押2付3,1000,顶层/5层,70,周口店镇金巢社区服务站,中装
整租,,押2付3,1000,低楼层/5层,90,周口店镇金巢社区服务站,中装
整租,,押1付3,1000,底层/5层,90,周口店镇金巢社区服务站,中装
整租,距离地铁房山城关649米,押2付3,1500,顶层/6层,120,龙鑫家园,中装
整租,,押2付3,1000,顶层/6层,69,长沟峪矿家属区,精装
整租,,押1付3,1500,底层/6层,95,丰华源小区,精装
整租,,押1付3,1600,低楼层/6层,110,丰华源小区,中装
整租,,押2付3,2000,顶层/6层,157,鸿福家园,精装
整租,,押2付3,1000,低楼层/6层,60,鸿福家园,简装
整租,,押1付3,1500,顶层/6层,95,丰华源小区,中装
整租,,押2付3,1200,高楼层/6层,95,鸿福家园,简装
整租,,押1付3,1000,高楼层/6层,42,长沟峪矿家属区,中装
整租,,押1付3,1000,底层/5层,40,万佛堂大桃园,中装
周口店,,押2付3,1500,顶层/6层,58.07,万佛堂大桃园,整租
周口店,,,1000,中楼层/5层,49.5,万佛堂大桃园,简装
整租,,押2付3,1000,中楼层/6层,60,万佛堂大桃园,中装
整租,,押2付3,1000,低楼层/6层,55,万佛堂大桃园,简装
