chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押1付3,3850,中楼层/6层,65,名佳花园三区,中装
整租,,押2付3,4500,中楼层/6层,92,燕城苑小区,精装
整租,,押2付3,3400,中楼层/12层,60,北七佳园,中装
整租,,押1付3,3200,低楼层/5层,65,温泉花园,简装
整租,,押2付3,6600,中楼层/6层,130,燕城苑北区,中装
整租,,押2付3,7000,中楼层/6层,186,望都家园,中装
整租,,押2付3,4700,中楼层/6层,95,燕城苑小区,中装
合租,,押2付3,2100,顶层/6层,30,望都家园,精装
整租,,押2付3,3600,顶层/6层,65,名佳花园四区,精装
整租,,押2付3,3750,中楼层/6层,58,名佳花园四区,中装
整租,,押1付3,5000,中楼层/6层,127,名流花园兰苑,中装
合租,,押2付3,3800,顶层/6层,60,名佳花园一区,精装
整租,,押2付3,5200,中楼层/6层,110,燕城苑小区,中装
整租,,押2付3,3800,中楼层/6层,72,名佳花园三区,精装
整租,,押2付3,4500,低楼层/6层,97,名佳花园二区,精装
整租,,押2付3,3800,顶层/6层,89,北亚花园,中装
整租,,押0付3,5800,中楼层/6层,107,燕城苑小区,中装
整租,,押2付3,5000,底层/6层,88.36,名佳花园二区,中装
整租,,押2付3,3800,高楼层/6层,65,名佳花园三区,精装
整租,,押2付3,3300,中楼层/5层,70,温泉花园,中装
整租,,押2付3,3500,中楼层/6层,105,温泉花园,中装
整租,,押2付3,5000,中楼层/6层,89,望都新地,中装
整租,,押1付3,5500,底层/6层,90,名佳花园二区,精装
整租,,押2付3,3600,底层/6层,72,温泉花园,中装
整租,,押2付3,4200,低楼层/11层,89,鲁疃嘉园,中装
整租,,押1付3,3200,顶层/5层,65,温泉花园,简装
整租,,押1付6,6200,中楼层/8层,153,王府花园,精装
合租,,押2付3,1100,底层/6层,30,桃花苑,中装
整租,,押2付3,4500,顶层/6层,69.03,望都新地,中装
整租,,押1付3,6000,高楼层/6层,140,名佳花园一区,精装
整租,,押1付3,3800,低楼层/6层,60,名佳花园二区,中装
整租,,押2付3,5000,顶层/6层,113,望都家园,精装
整租,,押2付3,4700,中楼层/7层,120,北亚花园,中装
整租,,押1付3,4200,顶层/6层,94,名佳花园四区,中装
整租,,押2付3,3200,顶层/6层,42,温泉花园,中装
整租,,押1付3,4600,低楼层/6层,89,望都新地,中装
整租,,押1付3,5000,低楼层/6层,88,名佳花园四区,精装
整租,,押2付3,4800,中楼层/8层,89,金色漫香苑,中装
整租,,押2付3,3800,高楼层/6层,65,名佳花园三区,精装
整租,,押2付3,5800,中楼层/8层,89,金色漫香苑,精装
整租,,押2付3,4500,中楼层/6层,107,燕城苑小区,精装
整租,,押1付3,5000,顶层/6层,150,西湖新村,精装
整租,,押1付6,3300,高楼层/15层,60,东二旗新村,精装
整租,,押2付3,4600,顶层/15层,96,东二旗新村,中装
整租,,押2付3,6800,中楼层/6层,186,名流花园兰苑,精装
整租,,押2付3,4000,底层/6层,71,名佳花园三区,中装
整租,,押2付3,3600,中楼层/15层,65,东二旗新村,中装
整租,,押2付3,7000,高楼层/6层,170,王府温馨公寓,精装
整租,,押2付3,5300,中楼层/5层,127.42,名流花园竹苑,中装
整租,,押2付3,3800,中楼层/15层,65,东二旗新村,精装
整租,,押2付3,5000,底层/8层,88,金色漫香苑,简装
整租,,押2付3,4800,中楼层/6层,120,羊各庄新村,精装
整租,,押2付3,4000,中楼层/5层,90,王府温馨公寓,精装
整租,,押2付3,5500,顶层/6层,160,燕城苑北区,精装
整租,,押2付3,4500,高楼层/6层,107.16,西湖新村,中装
整租,,押2付3,4500,高楼层/6层,90,西湖新村,精装
整租,,押1付3,3500,底层/6层,60,西湖新村,中装
整租,,押1付3,3200,中楼层/6层,65,北亚花园,精装
合租,,押1付3,1100,顶层/5层,18,名佳花园三区,精装
整租,,押2付3,6200,高楼层/6层,126,冠雅苑,中装
整租,,押1付3,4200,低楼层/6层,70,燕城苑小区,中装
整租,,押2付3,3700,高楼层/6层,80,温泉花园,中装
整租,,押2付3,9000,中楼层/4层,89,北京洋房,精装
整租,,押1付3,3500,顶层/6层,80,温泉花园,中装
整租,,押2付3,4000,顶层/7层,90,温泉花园,中装
整租,,押2付3,5500,高楼层/6层,90,桃花苑,精装
整租,,押1付3,5500,底层/6层,88,桃花苑,精装
整租,,押2付3,4500,高楼层/7层,95,名流花园兰苑,精装
整租,,押1付3,3000,高楼层/7层,60,温泉花园,中装
合租,,押1付3,2000,高楼层/6层,25,名流花园兰苑,精装
整租,,押2付3,7000,低楼层/7层,203.71,桃园公寓,简装
整租,,押1付3,4600,中楼层/6层,110.45,桃花苑,中装
整租,,押2付3,9000,底层/2层,159.92,王府花园,精装
整租,,押1付3,5000,顶层/6层,109,名佳花园三区,中装
整租,,押2付3,4500,顶层/6层,92,燕城苑小区,精装
整租,,押2付3,3300,中楼层/8层,95,西湖新村,中装
整租,,押1付3,5000,底层/15层,88,东二旗新村,精装
整租,,押2付3,5200,高楼层/6层,141,八仙别墅,简装
整租,,押2付3,4500,高楼层/12层,90,北七佳园,中装
