chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,2800,中楼层/12层,46,典雅庄园,中装
整租,,押2付3,3500,高楼层/6层,200,秦城家园,精装
整租,,押1付3,4300,高楼层/6层,100,宏福苑小区,精装
整租,,押2付3,3000,中楼层/6层,78,龙脉花园,中装
合租,,押2付3,6000,高楼层/6层,53,红冶家属院,简装
整租,,押2付3,4300,高楼层/15层,88.6,巩华新村,中装
整租,,押2付3,3500,中楼层/6层,116,伊舍小镇,精装
整租,,押2付3,4500,底层/15层,98,巩华新村,中装
整租,,押2付3,8800,底层/3层,294,香江别墅,毛坯
整租,,押2付3,80000,底层/3层,236,香江别墅,豪装
整租,,押2付3,11000,底层/4层,405,香堂文化新村,精装
整租,,押2付3,4500,中楼层/6层,100,宏福苑小区,中装
整租,,押2付3,6800,底层/6层,160,宏福苑小区,精装
整租,,押2付3,3000,中楼层/18层,60,巩华新村,简装
整租,,押2付3,4800,中楼层/6层,110,宏福苑小区,精装
整租,,押2付3,3800,低楼层/24层,70,宏福苑小区,精装
整租,,押2付3,5000,中楼层/9层,90,金科帕提欧,精装
整租,,押2付3,3200,中楼层/18层,70,宏福苑小区,精装
整租,,押2付3,4500,底层/6层,85,宏福苑小区,中装
,,押1付3,1800,高楼层/6层,10,宏福苑小区,合租
,,押1付3,1600,中楼层/9层,12,宏福苑小区,合租
整租,,押2付3,4300,底层/6层,90,宏福苑小区,精装
整租,,押1付3,8200,高楼层/6层,174,宏福苑小区,精装
整租,距离地铁北邵洼117米,押1付3,2900,中楼层/6层,57,金明园,中装
整租,,押2付3,2700,中楼层/6层,65,天红大院,中装
整租,,押2付3,3700,底层/17层,72,巩华新村,精装
,,押1付3,1600,中楼层/9层,15,宏福苑小区,合租
,,押1付3,1800,中楼层/9层,12,宏福苑小区,合租
昌平其它,,押1付3,3800,顶层/6层,68.08,宏福苑小区,其他
,,押1付3,1800,中楼层/9层,12,宏福苑小区,合租
,,押1付3,1700,中楼层/6层,15,宏福苑小区,合租
昌平其它,,押1付3,4500,低楼层/6层,89.27,宏福苑小区,其他
整租,,押2付3,2600,顶层/6层,98,秦城家园,中装
