chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁昌平东关643米,押2付3,3600,中楼层/11层,86,昌平东关二条,中装
整租,距离地铁昌平东关643米,押2付3,3500,低楼层/5层,58,昌平东关二条,中装
整租,,押1付3,3500,低楼层/6层,75,京科苑小区,中装
整租,距离地铁南邵932米,押2付3,4500,高楼层/10层,80,北京风景,中装
整租,,押2付3,4000,底层/1层,86,京科苑小区,中装
整租,距离地铁昌平东关646米,押2付3,6500,底层/9层,140,亢山佳园,精装
整租,,押2付3,3000,中楼层/6层,64,京科苑小区,中装
整租,距离地铁昌平926米,押2付3,4000,高楼层/7层,91,清秀园北区,中装
整租,距离地铁昌平926米,押2付3,3000,高楼层/6层,44,清秀园北区,简装
整租,距离地铁昌平366米,押1付3,3600,低楼层/6层,95,佳莲小区,精装
整租,,押1付3,4200,低楼层/18层,67,红石座,精装
整租,,押2付3,4200,高楼层/6层,103,天泽苑,中装
整租,距离地铁昌平586米,押2付3,3600,顶层/6层,76,燕平家园,中装
整租,距离地铁昌平926米,押2付3,3800,高楼层/7层,80,清秀园北区,简装
整租,距离地铁昌平东关646米,押2付3,4500,低楼层/6层,100,亢山佳园,精装
整租,距离地铁昌平1205米,押1付3,3300,中楼层/6层,67,水关新村,精装
整租,距离地铁昌平1205米,押2付3,3500,高楼层/6层,65,水关新村,精装
整租,距离地铁昌平926米,押2付3,5400,中楼层/7层,92,清秀园北区,简装
整租,距离地铁昌平东关643米,押2付3,5000,低楼层/18层,120,昌平东关二条,精装
