chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁昌平795米,押2付3,4000,低楼层/6层,104,南环里,精装
整租,距离地铁昌平900米,押2付3,2800,低楼层/5层,60,北环里小区,精装
整租,距离地铁昌平1130米,押2付3,3000,顶层/6层,63,新悦家园,中装
整租,距离地铁昌平935米,押2付3,7000,中楼层/30层,140,金隅万科城,简装
整租,距离地铁昌平1130米,押2付3,2600,高楼层/6层,40,新悦家园,中装
整租,距离地铁昌平935米,押2付3,7000,低楼层/26层,130,金隅万科城,精装
整租,距离地铁昌平1130米,押2付3,3000,高楼层/6层,86,新悦家园,精装
整租,距离地铁昌平1130米,押1付3,3300,低楼层/24层,65,新悦家园,中装
整租,距离地铁昌平1130米,押2付3,3800,顶层/6层,90,新悦家园,中装
整租,距离地铁昌平1130米,押2付3,3800,底层/6层,92,新悦家园,精装
整租,距离地铁昌平1130米,押2付3,4000,中楼层/6层,62,新悦家园,精装
整租,距离地铁昌平1130米,押2付3,2700,低楼层/6层,39,新悦家园,中装
整租,距离地铁昌平920米,押2付3,380000,底层/6层,259,雅馨家园,简装
整租,距离地铁昌平1130米,押2付3,2600,顶层/6层,39,新悦家园,精装
整租,距离地铁昌平900米,押2付3,3500,底层/6层,95,北环里小区,精装
整租,距离地铁昌平900米,押2付3,4000,顶层/6层,100,北环里小区,精装
鼓楼大街,,押1付3,4700,中楼层/5层,60.1,水利局宿舍,其他
整租,距离地铁昌平908米,押2付3,2600,低楼层/16层,41,天成苑,精装
整租,距离地铁昌平900米,押2付3,4000,中楼层/6层,87,北环里小区,精装
