chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁回龙观457米,押2付3,7500,顶层/6层,131.04,龙腾苑五区,精装
整租,距离地铁回龙观763米,押2付3,7500,高楼层/6层,120,龙腾苑三区,精装
整租,距离地铁龙泽582米,押2付3,5300,中楼层/7层,80,龙华园西区,中装
合租,距离地铁霍营418米,押1付3,3600,中楼层/15层,108,龙跃苑东四区,精装
整租,距离地铁生命科学园979米,押1付3,6300,顶层/9层,89,领秀慧谷,精装
合租,距离地铁育知路876米,押2付3,2200,顶层/6层,20,龙禧苑五区,精装
整租,距离地铁西二旗1056米,押1付3,5500,中楼层/28层,70,回龙观新村中区,中装
合租,距离地铁育知路827米,押2付3,1800,中楼层/6层,112,龙禧苑三区,精装
合租,距离地铁生命科学园979米,押2付3,2000,中楼层/11层,18,领秀慧谷,中装
整租,距离地铁回龙观419米,押2付3,9000,低楼层/6层,126,龙腾苑六区,中装
整租,,押2付3,3300,底层/10层,47,龙兴园西区,中装
整租,距离地铁霍营633米,押2付3,6500,高楼层/6层,124.47,龙跃苑东二区,精装
整租,距离地铁霍营314米,押2付3,2100,中楼层/6层,125,龙跃苑东五区,中装
整租,距离地铁回龙观419米,押2付3,5500,高楼层/6层,99.22,龙腾苑六区,精装
合租,距离地铁霍营418米,押2付3,1800,高楼层/6层,146.44,龙跃苑东四区,精装
整租,距离地铁回龙观东大街276米,押1付3,7600,中楼层/20层,90,首开国风美唐二期,精装
整租,距离地铁生命科学园1189米,押1付3,16000,底层/4层,190,回龙观龙城花园,精装
合租,距离地铁回龙观东大街465米,押1付3,3000,高楼层/18层,19,首开国风美唐三期,精装
整租,距离地铁回龙观630米,押1付3,18000,底层/4层,242,吉晟别墅,毛坯
合租,距离地铁育知路591米,押2付3,1900,高楼层/6层,20,骊龙园,精装
整租,距离地铁龙泽742米,押1付3,5200,顶层/6层,81.96,回龙观慧华苑,精装
整租,距离地铁回龙观630米,押2付3,19000,底层/3层,253,吉晟别墅,精装
合租,距离地铁霍营633米,押1付1,2200,低楼层/6层,125.04,龙跃苑东二区,豪装
合租,距离地铁霍营418米,押1付3,2000,中楼层/6层,125,龙跃苑东四区,精装
整租,距离地铁龙泽582米,押2付3,6000,低楼层/6层,74,龙华园西区,精装
