chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁回龙观东大街932米,押2付3,7000,中楼层/6层,118,龙锦苑东一区,中装
整租,距离地铁回龙观东大街888米,押1付3,6600,底层/6层,70,霍营小区,精装
整租,距离地铁回龙观东大街932米,押2付3,6000,顶层/6层,90,龙锦苑东一区,豪装
整租,距离地铁回龙观东大街700米,押2付3,5200,高楼层/6层,62,华龙苑中里,中装
整租,距离地铁回龙观东大街1077米,押2付3,7300,高楼层/6层,118,龙锦苑东五区,中装
整租,距离地铁回龙观东大街932米,押1付3,7500,中楼层/6层,120,龙锦苑东一区,中装
整租,距离地铁霍营552米,押1付3,6000,底层/6层,95.33,华龙苑南里,精装
合租,距离地铁霍营552米,押1付3,2100,高楼层/6层,65.33,华龙苑南里,精装
整租,距离地铁回龙观东大街1430米,押1付3,7000,中楼层/10层,130,紫金新干线,精装
整租,距离地铁回龙观东大街986米,押2付3,7500,高楼层/6层,125,龙锦苑东四区,精装
整租,距离地铁霍营552米,押1付3,5800,高楼层/6层,70,华龙苑南里,中装
整租,距离地铁回龙观东大街700米,押2付3,4800,中楼层/6层,60,华龙苑中里,精装
整租,距离地铁回龙观东大街1430米,押2付3,6900,低楼层/6层,100,紫金新干线,精装
整租,距离地铁回龙观东大街700米,押2付3,5800,中楼层/6层,90,华龙苑中里,简装
合租,距离地铁霍营552米,押2付3,2300,高楼层/6层,25,华龙苑南里,中装
整租,距离地铁回龙观东大街1026米,押1付3,4700,中楼层/6层,60,天鑫家园,精装
合租,距离地铁回龙观东大街761米,押1付3,1800,低楼层/6层,15,龙锦苑东二区,精装
整租,距离地铁回龙观东大街986米,押2付3,6500,底层/6层,125,龙锦苑东四区,中装
合租,距离地铁回龙观东大街761米,押1付3,1800,中楼层/6层,15,龙锦苑东二区,精装
合租,距离地铁回龙观东大街761米,押2付3,2300,中楼层/6层,125,龙锦苑东二区,精装
合租,距离地铁霍营552米,押2付3,2000,高楼层/6层,65.33,华龙苑南里,精装
整租,距离地铁霍营552米,押2付3,5500,中楼层/6层,75,华龙苑南里,精装
合租,距离地铁回龙观东大街986米,押1付3,1600,中楼层/6层,125,龙锦苑东四区,简装
整租,距离地铁回龙观东大街700米,押2付3,5500,高楼层/6层,64,华龙苑中里,精装
整租,距离地铁回龙观东大街1430米,押2付3,7000,低楼层/9层,125,紫金新干线,精装
整租,距离地铁回龙观东大街651米,押1付3,4600,低楼层/6层,50,华龙苑北里,精装
整租,距离地铁回龙观东大街1026米,押2付3,4700,底层/6层,57,天鑫家园,中装
整租,距离地铁回龙观东大街986米,押1付3,6800,顶层/6层,125,龙锦苑东四区,精装
整租,距离地铁霍营552米,押1付3,6500,顶层/6层,80,华龙苑南里,精装
整租,,押2付3,7700,高楼层/10层,125,紫金新干线二区,精装
整租,距离地铁霍营552米,押2付3,6500,高楼层/6层,90,华龙苑南里,中装
整租,距离地铁回龙观东大街1430米,押2付3,7000,低楼层/10层,106,紫金新干线,豪装
整租,距离地铁回龙观东大街888米,押2付3,5500,底层/6层,85.9,霍营小区,中装
合租,距离地铁回龙观东大街1430米,押2付3,3000,低楼层/9层,20,紫金新干线,精装
整租,距离地铁回龙观东大街700米,押1付3,5300,底层/6层,60,华龙苑中里,简装
整租,距离地铁回龙观东大街325米,押2付3,50000,底层/6层,486.88,旺龙花园,中装
霍营,距离地铁霍营160米,押1付3,6300,底层/17层,66.56,OLD国风美唐,其他
整租,距离地铁回龙观东大街532米,押2付3,8000,中楼层/6层,102,龙锦苑东三区,精装
整租,距离地铁回龙观东大街761米,押2付3,7500,中楼层/6层,125,龙锦苑东二区,精装
整租,距离地铁回龙观东大街932米,押2付3,6200,中楼层/6层,90,龙锦苑东一区,精装
距离地铁霍营218米,距离地铁霍营218米,押1付3,2550,顶层/6层,20,OLD华龙苑北里,合租
霍营,距离地铁回龙观东大街700米,押1付3,4800,中楼层/6层,60,华龙苑中里,其他
霍营,距离地铁回龙观东大街1100米,押1付3,4300,中楼层/6层,59.19,OLD天鑫家园,其他
霍营,距离地铁回龙观东大街761米,押1付3,6600,中楼层/6层,105.37,龙锦苑东二区,其他
距离地铁回龙观东大街932米,距离地铁回龙观东大街932米,押1付3,2200,顶层/6层,15,龙锦苑东一区,合租
霍营,距离地铁育新731米,押1付3,7500,高楼层/23层,89.04,泰华龙旗广场,其他
距离地铁霍营605米,距离地铁霍营605米,押1付3,5900,中楼层/6层,70,OLD华龙苑南里,整租
霍营,距离地铁霍营160米,押1付3,5700,高楼层/17层,60.36,OLD国风美唐,其他
霍营,距离地铁回龙观东大街986米,押1付3,7000,高楼层/6层,119.12,龙锦苑东四区,其他
霍营,距离地铁育新731米,押1付3,7200,中楼层/28层,89,泰华龙旗广场,其他
霍营,距离地铁霍营160米,押1付3,5100,底层/17层,47,OLD国风美唐,其他
霍营,距离地铁回龙观东大街888米,押1付3,5500,中楼层/6层,75,霍营小区,其他
霍营,距离地铁回龙观东大街986米,押1付3,1850,顶层/6层,12,龙锦苑东四区,其他
整租,距离地铁回龙观东大街761米,押1付3,8500,中楼层/6层,125,龙锦苑东二区,精装
整租,距离地铁回龙观东大街400米,押2付3,4800,底层/6层,69,农垦干部学院,精装
合租,距离地铁回龙观东大街520米,押2付3,2800,底层/6层,124.65,慧龙居,精装
整租,距离地铁回龙观东大街405米,押2付3,6300,高楼层/15层,87,上坡佳园,精装
霍营,距离地铁回龙观东大街932米,押1付3,1800,中楼层/6层,25,龙锦苑东一区,其他
距离地铁回龙观东大街761米,距离地铁回龙观东大街761米,押1付3,2400,高楼层/6层,15,龙锦苑东二区,合租
霍营,距离地铁回龙观东大街888米,押1付3,5600,中楼层/6层,86,霍营小区,其他
整租,距离地铁回龙观东大街405米,押2付3,6000,中楼层/10层,84,上坡佳园,中装
霍营,距离地铁回龙观东大街932米,押1付3,1600,低楼层/6层,30,龙锦苑东一区,其他
距离地铁回龙观东大街932米,距离地铁回龙观东大街932米,押1付3,1800,高楼层/6层,10,龙锦苑东一区,合租
距离地铁回龙观东大街986米,距离地铁回龙观东大街986米,押1付3,2500,中楼层/6层,16,龙锦苑东四区,合租
霍营,距离地铁回龙观东大街986米,押1付3,2400,低楼层/6层,10,龙锦苑东四区,其他
距离地铁霍营218米,距离地铁霍营218米,押1付3,2300,顶层/6层,15,OLD华龙苑北里,合租
距离地铁霍营218米,距离地铁霍营218米,押1付3,2300,顶层/6层,15,OLD华龙苑北里,合租
距离地铁回龙观东大街1077米,距离地铁回龙观东大街1077米,押1付3,1800,顶层/6层,12,龙锦苑东五区,合租
霍营,距离地铁霍营160米,押1付3,5500,底层/17层,58.24,OLD国风美唐,其他
距离地铁回龙观东大街761米,距离地铁回龙观东大街761米,押1付3,1900,顶层/6层,15,龙锦苑东二区,合租
霍营,距离地铁霍营160米,押1付3,5300,底层/17层,55.62,OLD国风美唐,其他
距离地铁回龙观东大街1077米,距离地铁回龙观东大街1077米,押1付3,1850,顶层/6层,28,龙锦苑东五区,合租
霍营,距离地铁回龙观东大街700米,押1付3,4000,顶层/6层,47,华龙苑中里,其他
距离地铁霍营218米,距离地铁霍营218米,押1付3,4200,顶层/6层,47,OLD华龙苑北里,整租
距离地铁回龙观东大街932米,距离地铁回龙观东大街932米,押1付3,1800,高楼层/6层,25,龙锦苑东一区,合租
霍营,距离地铁回龙观东大街1077米,押1付3,1600,高楼层/6层,30,龙锦苑东五区,其他
霍营,距离地铁回龙观东大街700米,押1付3,4700,顶层/6层,46,华龙苑中里,其他
霍营,距离地铁霍营828米,押1付3,2300,中楼层/6层,16,蓝天园小区,其他
霍营,距离地铁霍营160米,押1付3,6000,中楼层/17层,67,OLD国风美唐,其他
距离地铁回龙观东大街761米,距离地铁回龙观东大街761米,押1付3,2100,底层/6层,15,龙锦苑东二区,合租
距离地铁生命科学园1032米,距离地铁生命科学园1032米,押1付3,2000,底层/1层,15,朱辛庄新区,合租
距离地铁回龙观东大街532米,距离地铁回龙观东大街532米,押1付3,2700,中楼层/6层,15,龙锦苑东三区,合租
距离地铁生命科学园1032米,距离地铁生命科学园1032米,押1付3,2300,底层/1层,18,朱辛庄新区,合租
距离地铁回龙观东大街532米,距离地铁回龙观东大街532米,押1付3,2500,底层/6层,30,龙锦苑东三区,合租
距离地铁生命科学园1032米,距离地铁生命科学园1032米,押1付3,2500,底层/1层,25,朱辛庄新区,合租
距离地铁回龙观东大街761米,距离地铁回龙观东大街761米,押1付3,2500,顶层/6层,15,龙锦苑东二区,合租
整租,距离地铁回龙观东大街1350米,押2付3,5800,低楼层/18层,90,紫金新干线四期,精装
霍营,距离地铁回龙观东大街932米,押1付3,6500,顶层/6层,98.53,龙锦苑东一区,其他
合租,距离地铁回龙观东大街1350米,押2付3,2000,中楼层/18层,10,紫金新干线四期,精装
整租,距离地铁回龙观东大街761米,押2付3,8000,低楼层/6层,125,龙锦苑东二区,中装
合租,距离地铁回龙观东大街761米,押2付3,7500,顶层/6层,125,龙锦苑东二区,精装
整租,距离地铁回龙观东大街1026米,押2付3,4500,低楼层/6层,56,天鑫家园,精装
整租,距离地铁回龙观东大街1430米,押1付3,6000,顶层/9层,90,紫金新干线,中装
整租,距离地铁回龙观东大街1350米,押2付3,6000,中楼层/18层,80,紫金新干线四期,精装
合租,距离地铁回龙观东大街932米,押1付3,1900,高楼层/6层,16,龙锦苑东一区,精装
整租,距离地铁回龙观东大街1430米,押2付3,6000,高楼层/11层,82,紫金新干线,中装
合租,距离地铁回龙观东大街761米,押2付3,2700,低楼层/6层,15,龙锦苑东二区,精装
整租,距离地铁回龙观东大街1430米,押2付3,9000,底层/7层,75,紫金新干线,中装
整租,距离地铁霍营552米,押2付3,5600,底层/6层,73,华龙苑南里,简装
整租,距离地铁回龙观东大街405米,押2付3,6000,中楼层/15层,82,上坡佳园,精装
整租,距离地铁回龙观东大街986米,押2付3,15000,底层/6层,80,龙锦苑东四区,精装
距离地铁回龙观东大街1100米,距离地铁回龙观东大街1100米,押1付3,1250,底层/2层,15,OLD天鑫家园,合租
距离地铁回龙观东大街932米,距离地铁回龙观东大街932米,押1付3,2300,高楼层/6层,15,龙锦苑东一区,合租
距离地铁回龙观东大街932米,距离地铁回龙观东大街932米,押1付3,2400,底层/6层,10,龙锦苑东一区,合租
整租,距离地铁回龙观东大街1026米,押2付3,4200,低楼层/6层,45,天鑫家园,精装
霍营,距离地铁霍营160米,押1付3,7800,底层/17层,96.11,OLD国风美唐,其他
距离地铁回龙观东大街761米,距离地铁回龙观东大街761米,押1付3,2450,高楼层/6层,28,龙锦苑东二区,合租
距离地铁回龙观东大街700米,距离地铁回龙观东大街700米,押1付3,3000,底层/6层,70,华龙苑中里,整租
霍营,距离地铁回龙观东大街932米,押1付3,2200,低楼层/6层,30,龙锦苑东一区,其他
霍营,距离地铁霍营160米,押1付3,5350,底层/17层,55.84,OLD国风美唐,其他
霍营,距离地铁霍营160米,押1付3,7000,底层/17层,77.04,OLD国风美唐,其他
霍营,距离地铁霍营828米,押1付3,5800,高楼层/6层,89,蓝天园小区,其他
距离地铁回龙观东大街1077米,距离地铁回龙观东大街1077米,押1付3,1700,顶层/6层,29,龙锦苑东五区,合租
距离地铁回龙观东大街932米,距离地铁回龙观东大街932米,押1付3,2600,顶层/6层,15,龙锦苑东一区,合租
霍营,距离地铁霍营160米,押1付3,5500,底层/17层,56.02,OLD国风美唐,其他
距离地铁回龙观东大街1077米,距离地铁回龙观东大街1077米,押1付3,1850,顶层/6层,14,龙锦苑东五区,合租
距离地铁回龙观东大街1077米,距离地铁回龙观东大街1077米,押1付3,1850,高楼层/6层,14,龙锦苑东五区,合租
距离地铁回龙观东大街1077米,距离地铁回龙观东大街1077米,押1付3,2200,底层/6层,20,龙锦苑东五区,合租
整租,距离地铁回龙观东大街986米,押2付3,1600,中楼层/6层,100,龙锦苑东四区,中装
整租,距离地铁回龙观东大街1430米,押1付3,7500,高楼层/10层,128,紫金新干线,精装
