chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁立水桥504米,押2付3,6300,高楼层/21层,73.27,合立方,精装
整租,距离地铁立水桥511米,押2付3,6500,低楼层/20层,86,北京北小区,中装
整租,距离地铁立水桥383米,押1付3,13000,低楼层/12层,160,顶秀青溪家园,豪装
整租,距离地铁立水桥511米,押3付3,8600,顶层/20层,113,北京北小区,精装
整租,距离地铁立水桥504米,押2付3,5500,底层/21层,75,合立方,精装
合租,距离地铁立水桥511米,押2付3,2100,低楼层/20层,81.92,北京北小区,精装
整租,距离地铁立水桥504米,押2付3,7800,低楼层/23层,85.39,合立方,精装
整租,距离地铁立水桥南1044米,押2付3,6000,底层/15层,79.87,溪城家园2号院,精装
整租,距离地铁立水桥1132米,押1付3,7000,顶层/6层,96,佳运园,中装
整租,距离地铁立水桥452米,押2付3,8000,高楼层/21层,107,北方明珠,精装
整租,距离地铁立水桥1132米,押1付3,3500,低楼层/6层,70,佳运园,精装
整租,,押2付3,25000,底层/3层,206.3,塞纳维拉水景别墅,精装
整租,距离地铁立水桥572米,押1付3,5300,中楼层/6层,63.32,东辰小区,中装
整租,距离地铁立水桥1132米,押1付3,6700,底层/4层,70,佳运园,中装
整租,距离地铁立水桥南1044米,押2付3,5200,低楼层/15层,64.72,溪城家园2号院,中装
整租,距离地铁立水桥511米,押2付3,2200,中楼层/20层,113.85,北京北小区,精装
整租,距离地铁立水桥452米,押2付3,8000,中楼层/21层,107,北方明珠,精装
整租,距离地铁立水桥南878米,押2付3,7000,底层/6层,122,嘉诚花园,精装
整租,距离地铁立水桥511米,押1付6,7500,高楼层/23层,85,北京北小区,精装
整租,距离地铁立水桥1132米,押1付3,6500,顶层/6层,82,佳运园,精装
整租,距离地铁立水桥南878米,押1付3,8500,中楼层/6层,122,嘉诚花园,精装
整租,距离地铁立水桥275米,押2付3,2300,低楼层/16层,20,立城苑,精装
整租,距离地铁立水桥452米,押2付3,8400,低楼层/32层,110,北方明珠,中装
整租,,押2付3,26000,底层/3层,230,塞纳维拉水景别墅,精装
整租,距离地铁立水桥452米,押1付3,8400,低楼层/32层,110,北方明珠,简装
整租,距离地铁立水桥572米,押1付3,5800,底层/5层,80,东辰小区,精装
整租,,押2付3,6000,顶层/6层,120,陈营小区,中装
整租,距离地铁立水桥1132米,押1付3,5500,底层/6层,68,佳运园,简装
合租,距离地铁立水桥1132米,押1付3,2800,底层/6层,87,佳运园,精装
整租,距离地铁立水桥452米,押2付3,4600,高楼层/21层,55.38,北方明珠,精装
距离地铁立水桥504米,距离地铁立水桥504米,押1付3,3600,高楼层/21层,18,合立方,合租
整租,距离地铁立水桥383米,押1付3,7500,高楼层/15层,120,顶秀青溪家园,精装
立水桥,距离地铁立水桥434米,押1付3,5300,中楼层/20层,76,OLD润枫欣尚,其他
距离地铁立水桥南1044米,距离地铁立水桥南1044米,押1付3,7000,中楼层/15层,108,溪城家园2号院,整租
立水桥,距离地铁立水桥南1044米,押1付3,6500,低楼层/15层,82.54,溪城家园2号院,其他
立水桥,距离地铁立水桥南1044米,押1付3,7000,高楼层/15层,87.15,溪城家园2号院,其他
整租,距离地铁立水桥南1044米,押1付3,6500,高楼层/15层,83,溪城家园2号院,中装
整租,距离地铁立水桥383米,押1付3,15000,低楼层/12层,150,顶秀青溪家园,中装
整租,距离地铁立水桥265米,押2付3,5000,低楼层/6层,40,明天第一城1号院,精装
