chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁龙泽1083米,押2付3,6300,低楼层/18层,98.23,融泽嘉园1号院,精装
整租,距离地铁龙泽720米,押2付3,7000,中楼层/20层,110,龙泽苑东区,精装
整租,,押2付3,5200,低楼层/10层,88,北京人家,中装
合租,距离地铁龙泽1069米,押2付3,2300,中楼层/32层,20,融泽嘉园8号院,精装
整租,距离地铁龙泽814米,押2付3,6500,高楼层/31层,98,融泽嘉园2号院,精装
整租,距离地铁龙泽1083米,押2付3,6000,低楼层/31层,99,融泽嘉园1号院,精装
合租,距离地铁龙泽1083米,押1付3,2300,中楼层/31层,15,融泽嘉园1号院,中装
整租,距离地铁龙泽271米,押1付3,8000,中楼层/25层,125,龙泽苑西区,精装
整租,距离地铁龙泽1083米,押2付3,7500,底层/31层,108,融泽嘉园1号院,精装
整租,距离地铁龙泽1083米,押2付3,8000,低楼层/31层,108,融泽嘉园1号院,精装
整租,距离地铁龙泽438米,押2付3,4800,中楼层/20层,60,新龙城,精装
整租,距离地铁龙泽271米,押2付3,6300,底层/6层,86,龙泽苑西区,精装
整租,距离地铁龙泽769米,押2付3,5600,高楼层/18层,66,融泽嘉园东6号院,精装
整租,距离地铁龙泽1083米,押2付3,6500,中楼层/31层,93,融泽嘉园1号院,精装
合租,距离地铁龙泽1083米,押2付3,2200,低楼层/31层,20,融泽嘉园1号院,中装
整租,距离地铁龙泽438米,押2付3,5000,低楼层/20层,47,新龙城,精装
整租,距离地铁龙泽751米,押2付3,6700,高楼层/12层,92.87,万润家园,精装
整租,距离地铁龙泽1083米,押2付3,7500,中楼层/34层,113.02,融泽嘉园1号院,精装
整租,距离地铁龙泽893米,押2付3,5800,中楼层/20层,96.54,融泽嘉园6号院,精装
整租,距离地铁龙泽1083米,押1付3,7300,高楼层/31层,110,融泽嘉园1号院,精装
整租,距离地铁龙泽1083米,押1付3,6500,中楼层/31层,93,融泽嘉园1号院,精装
整租,距离地铁西二旗856米,押2付3,5800,低楼层/31层,79.94,金域华府三期,精装
整租,距离地铁龙泽1083米,押1付3,6800,高楼层/36层,113.98,融泽嘉园1号院,精装
整租,距离地铁西二旗856米,押1付3,7000,高楼层/28层,114.48,金域华府三期,精装
整租,距离地铁龙泽814米,押2付3,6200,中楼层/31层,97,融泽嘉园2号院,精装
合租,距离地铁龙泽438米,押2付3,2600,高楼层/20层,20,新龙城,精装
合租,距离地铁龙泽1083米,押2付3,2000,高楼层/31层,20,融泽嘉园1号院,中装
整租,距离地铁龙泽814米,押2付3,6000,低楼层/34层,97,融泽嘉园2号院,中装
整租,距离地铁龙泽438米,押1付3,5000,中楼层/20层,56,新龙城,精装
合租,距离地铁龙泽1069米,押1付3,3200,底层/32层,20,融泽嘉园8号院,精装
整租,距离地铁龙泽1083米,押2付3,5500,低楼层/31层,87,融泽嘉园1号院,中装
整租,距离地铁龙泽438米,押2付3,4500,中楼层/15层,43,新龙城,精装
合租,距离地铁龙泽438米,押2付3,2400,高楼层/20层,22,新龙城,中装
整租,距离地铁龙泽893米,押2付3,6500,中楼层/34层,97,融泽嘉园6号院,中装
整租,距离地铁龙泽438米,押1付3,6500,高楼层/20层,105,新龙城,精装
整租,距离地铁龙泽438米,押2付3,5600,低楼层/20层,55,新龙城,精装
整租,距离地铁龙泽438米,押2付3,6000,底层/15层,80,新龙城,中装
整租,距离地铁龙泽438米,押1付3,5000,中楼层/20层,57,新龙城,精装
整租,,押2付3,5400,底层/6层,99.74,北京人家,精装
整租,距离地铁龙泽751米,押1付3,6700,底层/10层,90.19,万润家园,精装
整租,距离地铁龙泽1300米,押2付3,6500,底层/34层,97,融泽嘉园二期,精装
距离地铁龙泽438米,距离地铁龙泽438米,押1付3,2400,低楼层/20层,18,新龙城,合租
整租,距离地铁西二旗1119米,押1付3,6600,低楼层/32层,85,融泽嘉园12号院,精装
