chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁朱辛庄1233米,押2付3,4600,低楼层/9层,83,冠芳园,精装
沙河,距离地铁昌平1326米,押1付3,2500,底层/6层,35.3,地质调查所宿舍,其他
整租,,押2付3,4000,底层/5层,80,沙河仓库宿舍楼,简装
,,押1付3,4500,低楼层/15层,126.14,龙湖滟澜新宸,随时看房
整租,,押1付3,3700,底层/14层,71,馨瑞嘉园,精装
沙河,距离地铁朱辛庄1233米,押1付3,5700,低楼层/9层,80.24,冠芳园,其他
,,押2付3,3500,底层/29层,80,保利罗兰香谷,随时看房
整租,,押2付3,4000,高楼层/29层,82,保利罗兰香谷,中装
整租,,押2付3,5500,高楼层/15层,125,龙湖滟澜新宸,精装
整租,,押2付3,3200,高楼层/6层,95,沙阳花园,精装
,,押2付3,4500,中楼层/18层,92,保利罗兰香谷,随时看房
沙河,距离地铁朱辛庄1233米,押1付3,5500,中楼层/9层,81.49,冠芳园,其他
整租,,押1付3,10000,底层/2层,190,碧水庄园,精装
整租,,押2付3,4300,顶层/15层,84,巩华家园,中装
整租,距离地铁沙河967米,押2付3,3400,低楼层/11层,110,沙河水岸庄园,简装
距离地铁生命科学园1108米,距离地铁生命科学园1108米,押2付3,1200,底层/5层,20,北清创意园,随时看房
,,押2付3,4000,底层/12层,80,保利罗兰香谷,随时看房
整租,距离地铁朱辛庄1396米,押2付3,5000,中楼层/6层,90,豆各庄新村,精装
整租,,押2付3,4000,高楼层/18层,80,白各庄新村,简装
整租,,押2付3,4000,底层/6层,107.64,善缘家园,中装
整租,距离地铁朱辛庄1233米,押2付3,5000,中楼层/10层,82,冠芳园,精装
合租,距离地铁朱辛庄1396米,押2付3,2500,低楼层/5层,20,豆各庄新村,精装
整租,距离地铁朱辛庄1233米,押2付3,5000,底层/9层,80,冠芳园,中装
整租,距离地铁生命科学园1108米,押2付3,5000,底层/5层,65,北清创意园,中装
整租,距离地铁朱辛庄1396米,押2付3,4700,中楼层/11层,82,豆各庄新村,中装
整租,距离地铁生命科学园770米,押2付3,7000,高楼层/6层,138,昌艺园,精装
整租,,押2付3,3500,顶层/6层,80,顺玮阁小区,中装
整租,距离地铁沙河高教园825米,押2付3,1200,高楼层/20层,19,北一街8号,简装
整租,距离地铁沙河高教园825米,押2付3,6500,底层/3层,60,北一街8号,中装
整租,,押2付3,3500,低楼层/5层,78,顺玮阁小区,精装
整租,,押2付3,3000,高楼层/6层,78,顺玮阁小区,简装
整租,,押1付3,2400,底层/8层,75,展思门,精装
整租,,押1付3,3300,中楼层/6层,75,顺玮阁小区,中装
整租,,押2付3,4500,中楼层/20层,85,保利罗兰香谷,精装
整租,距离地铁沙河高教园825米,押2付3,4500,高楼层/21层,88,北一街8号,精装
整租,距离地铁沙河795米,押2付3,4000,底层/6层,102,于辛家园,精装
整租,,押2付3,3400,中楼层/16层,68,馨瑞嘉园,精装
整租,,押2付3,4500,低楼层/28层,75,巩华家园,简装
整租,,押1付3,4000,顶层/5层,68,沙河镇毛条厂宿舍,精装
整租,距离地铁朱辛庄1396米,押1付3,5000,中楼层/4层,82,豆各庄新村,中装
整租,,押2付3,5000,顶层/18层,95,保利罗兰香谷,精装
整租,,押1付3,3000,中楼层/16层,70,馨瑞嘉园,中装
整租,距离地铁生命科学园1108米,押2付3,16500,底层/5层,278,北清创意园,精装
整租,距离地铁沙河高教园825米,押2付3,2500,高楼层/20层,37,北一街8号,精装
整租,,押2付3,2800,底层/7层,70,馨瑞嘉园,中装
整租,距离地铁沙河967米,押2付3,3500,中楼层/9层,110,沙河水岸庄园,中装
整租,距离地铁沙河967米,押2付3,3000,底层/4层,110,沙河水岸庄园,中装
整租,,押2付3,3500,中楼层/6层,75,顺玮阁小区,精装
整租,距离地铁沙河684米,押2付3,4500,中楼层/15层,122,百葛路3号院,中装
整租,,押2付3,6000,高楼层/20层,101,畅悦居,精装
整租,距离地铁生命科学园770米,押2付3,5800,底层/6层,105,昌艺园,中装
整租,,押1付3,3200,低楼层/5层,68,沙河镇毛条厂宿舍,精装
整租,,押2付3,3800,中楼层/6层,64,馨瑞嘉园,精装
整租,,押2付3,3200,高楼层/6层,55,顺玮阁小区,中装
,,押2付3,4000,高楼层/18层,70,保利罗兰香谷,随时看房
整租,,押2付3,4500,中楼层/18层,85,巩华家园,精装
整租,,押1付3,4000,顶层/6层,127,沙阳花园,精装
整租,距离地铁沙河高教园825米,押2付3,2500,底层/3层,30,北一街8号,中装
整租,,押2付3,4300,中楼层/20层,99,巩华家园,精装
随时看房,距离地铁沙河高教园825米,,4600,低楼层/16层,78,北一街8号,豪装
整租,,押2付3,3500,底层/6层,89,于辛新村,中装
整租,,押2付3,7000,中楼层/20层,167,白各庄新村,精装
整租,,押2付3,3000,底层/5层,68,沙河镇毛条厂宿舍,精装
整租,,押2付3,4000,底层/21层,75,白各庄新村,中装
整租,距离地铁朱辛庄1233米,押2付3,5300,底层/9层,90,冠芳园,中装
整租,,押2付3,4500,低楼层/20层,83,巩华家园,精装
整租,,押1付3,3500,中楼层/5层,67.8,沙河镇毛条厂宿舍,中装
整租,距离地铁朱辛庄1233米,押2付3,4900,低楼层/9层,90,冠芳园,精装
整租,,押2付3,4000,底层/20层,82,保利罗兰香谷,豪装
整租,,押2付3,5000,高楼层/14层,100,龙湖滟澜新宸,精装
整租,距离地铁朱辛庄1233米,押2付3,5000,底层/9层,88,冠芳园,中装
整租,,押1付3,5500,中楼层/20层,105,畅悦居,中装
整租,,押2付3,4350,中楼层/17层,85,保利罗兰香谷,中装
整租,,押2付3,3000,中楼层/18层,45,保利罗兰香谷,中装
