chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
随时看房,距离地铁天通苑1272米,押2付3,1800,低楼层/15层,30,天通苑中苑,精装
整租,,押2付3,5200,高楼层/21层,48.34,天通公园里,精装
整租,距离地铁立水桥629米,押2付3,4800,低楼层/18层,48,卢卡新天地,精装
天通苑,距离地铁天通苑1272米,押1付3,5800,中楼层/6层,125,天通苑中苑,整租
整租,距离地铁立水桥629米,押1付3,6800,低楼层/18层,89,卢卡新天地,精装
合租,距离地铁天通苑434米,押1付3,2700,中楼层/24层,139.72,天通苑北一区,中装
合租,距离地铁天通苑南378米,押2付3,3100,中楼层/13层,30,天通苑西一区,中装
合租,距离地铁天通苑434米,押0付3,2300,高楼层/18层,144.95,天通苑北一区,精装
整租,,押1付3,5800,低楼层/7层,90,天通苑东二区,中装
合租,距离地铁天通苑327米,押2付3,2100,低楼层/13层,133.88,天通苑西三区,精装
合租,,押2付3,1600,底层/7层,15,天通苑东二区,精装
合租,,押2付3,2500,高楼层/33层,198.68,天通苑东一区,精装
合租,距离地铁天通苑434米,押2付3,2000,低楼层/16层,20,天通苑北一区,精装
整租,距离地铁天通苑327米,押2付3,2100,高楼层/14层,144.15,天通苑西三区,精装
合租,距离地铁天通苑1047米,押1付3,2900,高楼层/16层,28,天通苑北二区,精装
合租,距离地铁天通苑1272米,押1付3,1650,高楼层/11层,161.64,天通苑中苑,精装
合租,距离地铁天通苑434米,押1付3,1700,高楼层/7层,267.85,天通苑北一区,精装
整租,距离地铁天通苑1047米,押2付3,9500,低楼层/14层,150,天通苑北二区,豪装
整租,,押2付3,7400,中楼层/6层,130,天通苑北三区,精装
整租,距离地铁天通苑南378米,押2付3,6000,低楼层/13层,99.92,天通苑西一区,精装
合租,距离地铁天通苑382米,押2付3,2300,低楼层/32层,198.65,天通苑西二区,简装
整租,距离地铁天通苑434米,押2付3,2600,中楼层/18层,137.28,天通苑北一区,精装
合租,距离地铁天通苑327米,押2付3,1700,中楼层/13层,102.12,天通苑西三区,中装
整租,距离地铁天通苑1047米,押2付3,6500,低楼层/13层,110,天通苑北二区,精装
整租,距离地铁天通苑327米,押2付3,6500,底层/32层,94.02,天通苑西三区,精装
整租,,押1付3,5500,中楼层/6层,95,天通苑东一区,中装
整租,距离地铁天通苑327米,押1付3,6800,高楼层/32层,85.86,天通苑西三区,精装
整租,距离地铁天通苑南971米,押1付6,8000,底层/6层,60,天通苑本三区,精装
整租,距离地铁天通苑434米,押2付3,6500,底层/6层,110,天通苑北一区,中装
合租,距离地铁天通苑1272米,押2付3,1600,中楼层/6层,153.93,天通苑中苑,中装
合租,距离地铁天通苑434米,押2付3,3000,顶层/28层,30,天通苑北一区,中装
整租,距离地铁天通苑1047米,押2付3,6500,中楼层/18层,113,天通苑北二区,中装
合租,距离地铁天通苑1272米,押2付3,3200,底层/8层,35,天通苑中苑,精装
整租,距离地铁天通苑南378米,押2付3,8500,中楼层/13层,160,天通苑西一区,精装
合租,距离地铁天通苑1272米,押2付3,2200,中楼层/6层,25,天通苑中苑,精装
整租,,押2付3,7500,低楼层/7层,133.02,天通苑北三区,中装
整租,距离地铁立水桥724米,押1付3,5500,中楼层/18层,65.91,正辰小区,中装
整租,,押2付3,6000,中楼层/6层,90,天通苑东一区,中装
整租,距离地铁天通苑434米,押2付3,12000,底层/31层,187.29,天通苑北一区,中装
整租,,押2付3,8000,底层/6层,135,天通苑北三区,精装
整租,距离地铁天通苑382米,押2付3,6500,底层/32层,90,天通苑西二区,中装
合租,距离地铁立水桥629米,押1付3,3400,中楼层/18层,90,卢卡新天地,精装
合租,,押2付3,2500,顶层/6层,25,天通苑北三区,精装
整租,,押2付3,6800,高楼层/6层,126.11,天通苑北三区,精装
整租,,押2付3,7000,中楼层/7层,127,天通苑东二区,中装
整租,距离地铁天通苑1047米,押1付3,5500,中楼层/13层,91.56,天通苑北二区,精装
合租,距离地铁天通苑1272米,押2付3,3000,低楼层/15层,30,天通苑中苑,中装
整租,距离地铁天通苑1272米,押2付3,8000,中楼层/15层,162.09,天通苑中苑,精装
整租,,押2付3,9500,高楼层/7层,223.64,天通苑东一区,精装
整租,,押2付3,4700,底层/6层,60,天通苑东一区,中装
整租,,押1付3,5500,底层/6层,100,天通苑北三区,精装
合租,距离地铁天通苑1272米,押2付3,2000,顶层/6层,25,天通苑中苑,精装
整租,距离地铁天通苑382米,押2付3,2000,底层/18层,132.97,天通苑西二区,精装
合租,距离地铁天通苑1047米,押2付3,2200,低楼层/16层,20,天通苑北二区,精装
整租,距离地铁天通苑南971米,押1付3,7500,中楼层/6层,110,天通苑本三区,中装
合租,,押1付3,2300,底层/6层,25,天通苑北三区,中装
整租,,押2付3,5200,高楼层/6层,85,天通苑北三区,简装
整租,,押2付3,1800,高楼层/7层,187.55,天通苑东二区,中装
整租,距离地铁天通苑1047米,押2付3,6500,低楼层/14层,100,天通苑北二区,简装
整租,距离地铁立水桥629米,押2付3,11000,底层/1层,45.07,卢卡新天地,精装
整租,距离地铁天通苑382米,押2付3,5700,高楼层/18层,81.82,天通苑西二区,精装
整租,距离地铁天通苑南1132米,押1付3,5800,底层/6层,106,天通苑本四区,中装
整租,,押1付3,4000,高楼层/7层,168.35,天通苑北三区,精装
整租,距离地铁天通苑南1063米,押2付3,6000,高楼层/6层,80,天通苑本六区,中装
整租,距离地铁天通苑南378米,押1付3,6000,中楼层/6层,112.48,天通苑西一区,精装
整租,距离地铁天通苑1047米,押1付6,13000,底层/13层,190,天通苑北二区,简装
合租,距离地铁天通苑1047米,押2付3,2200,低楼层/13层,15,天通苑北二区,中装
整租,距离地铁立水桥629米,押1付3,18000,底层/6层,160,卢卡新天地,精装
整租,,押2付3,7800,高楼层/7层,143.96,天通苑北三区,简装
整租,距离地铁立水桥629米,押2付3,9500,底层/22层,116,卢卡新天地,精装
整租,距离地铁天通苑南936米,押1付3,5500,低楼层/6层,100,天通苑本二区,精装
整租,,押2付3,7000,高楼层/7层,129.73,天通苑东三区,精装
整租,距离地铁天通苑434米,押1付3,4200,低楼层/12层,60,天通苑北一区,精装
整租,,押2付3,2000,低楼层/7层,100,天通苑东三区,精装
整租,距离地铁天通苑南378米,押1付3,3500,高楼层/15层,187.05,天通苑西一区,中装
整租,距离地铁天通苑1047米,押1付3,5500,低楼层/12层,106,天通苑北二区,中装
整租,距离地铁天通苑1272米,押2付3,10000,底层/10层,126.07,天通苑中苑,精装
整租,距离地铁天通苑南1132米,押2付3,6000,低楼层/6层,113,天通苑本四区,中装
整租,距离地铁天通苑南459米,押2付3,6500,底层/6层,92,太平家园小区,简装
整租,距离地铁天通苑南936米,押2付3,5000,顶层/6层,110,天通苑本二区,中装
整租,距离地铁天通苑434米,押2付3,7000,底层/6层,135,天通苑北一区,精装
整租,距离地铁天通苑382米,押2付3,9500,底层/32层,168,天通苑西二区,精装
整租,,押1付3,5800,高楼层/7层,110,天通苑东三区,精装
整租,,押2付3,5800,中楼层/6层,110,天通苑东一区,中装
整租,距离地铁天通苑382米,押2付3,5000,底层/3层,60,天通苑西二区,中装
整租,,押2付3,6300,底层/6层,110,都市芳园,精装
整租,距离地铁天通苑南459米,押2付3,6800,中楼层/6层,92,太平家园小区,中装
整租,距离地铁天通苑1047米,押2付3,6500,低楼层/17层,114,天通苑北二区,精装
整租,距离地铁天通苑南459米,押2付3,6000,中楼层/6层,92,太平家园小区,中装
合租,距离地铁天通苑南378米,押1付3,2800,低楼层/13层,30,天通苑西一区,中装
合租,距离地铁天通苑327米,押2付3,2100,顶层/12层,20,天通苑西三区,中装
合租,距离地铁天通苑1047米,押2付3,2300,低楼层/12层,30,天通苑北二区,精装
整租,距离地铁天通苑434米,押2付3,6800,中楼层/28层,103,天通苑北一区,精装
整租,,押2付3,5600,低楼层/7层,110,天通苑东二区,精装
整租,距离地铁天通苑434米,押2付3,6500,中楼层/15层,98,天通苑北一区,精装
整租,,押2付3,5500,高楼层/6层,113,天通苑北三区,中装
合租,距离地铁天通苑南378米,押2付3,2000,中楼层/15层,17,天通苑西一区,精装
