chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,2500,中楼层/6层,60,土沟新村,简装
整租,,押2付3,3500,中楼层/6层,85,土沟新村,精装
整租,,押2付3,2700,低楼层/6层,78,双兴苑,中装
整租,,押1付3,2900,顶层/6层,97,双兴苑,中装
整租,,押2付3,3500,顶层/10层,97,讲礼新村,精装
整租,,押2付3,3500,中楼层/6层,85,土沟新村,中装
整租,,押2付3,5000,底层/6层,102,土沟新村,中装
整租,,押2付3,3500,低楼层/20层,89,土沟新村,精装
整租,,押2付3,3300,顶层/5层,101,讲礼新村,中装
整租,,押1付3,3000,中楼层/6层,90,土沟新村,中装
整租,,押2付3,3000,高楼层/6层,90,土沟新村,精装
整租,,押2付3,3700,顶层/6层,120,土沟新村,精装
整租,,押2付3,3400,低楼层/6层,90,土沟新村,中装
整租,,押1付3,3500,底层/6层,75,土沟新村,中装
整租,,押2付3,20000,底层/3层,300,橘郡,精装
整租,,押2付3,3200,中楼层/6层,79,土沟新村,精装
整租,,押2付3,2900,顶层/6层,85,土沟新村,精装
整租,,押2付3,2600,低楼层/21层,60,土沟新村,精装
整租,,押2付3,3000,中楼层/6层,85,土沟新村,精装
整租,,押2付3,2200,中楼层/6层,60,土沟新村,精装
整租,,押2付3,3100,中楼层/6层,75,土沟新村,精装
整租,,押2付3,3500,中楼层/6层,75,土沟新村,精装
整租,,押2付3,3500,高楼层/8层,96,讲礼新村,简装
整租,,押1付3,3500,高楼层/6层,120,常兴家园,中装
整租,,押2付3,3500,中楼层/6层,75,土沟新村,中装
整租,,押2付3,3600,高楼层/6层,60,土沟新村,中装
整租,,押2付3,3200,高楼层/6层,80,土沟新村,精装
整租,,押2付3,2800,中楼层/8层,87,讲礼新村,中装
整租,,押2付3,3500,低楼层/6层,89,土沟新村,中装
