chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁大望路391米,押2付3,7600,高楼层/32层,48,阳光100国际公寓,精装
整租,距离地铁大望路391米,押2付3,13000,中楼层/29层,110,阳光100国际公寓,精装
合租,距离地铁大望路122米,押2付3,3000,顶层/6层,68.93,光辉里,简装
整租,距离地铁大望路391米,押1付3,15000,中楼层/34层,134.32,阳光100国际公寓,精装
整租,距离地铁大望路391米,押2付3,15000,中楼层/33层,105,阳光100国际公寓,豪装
整租,距离地铁国贸504米,押2付3,9000,高楼层/22层,81.81,南郎家园,精装
整租,距离地铁永安里242米,押2付3,5200,高楼层/6层,56,光华西里,精装
整租,距离地铁国贸536米,押2付3,8300,中楼层/14层,70,光华东里,精装
合租,距离地铁国贸536米,押2付3,1800,底层/6层,15,光华东里,中装
合租,距离地铁永安里337米,押2付3,2300,顶层/5层,10,光华里,精装
整租,距离地铁国贸536米,押2付3,6800,中楼层/18层,50,光华东里,精装
整租,距离地铁大望路291米,押2付3,23000,中楼层/35层,180.98,金地国际花园,精装
整租,距离地铁永安里157米,押2付3,35000,低楼层/22层,254,丽晶苑,中装
整租,距离地铁大望路391米,押2付3,13000,低楼层/36层,106.26,阳光100国际公寓,精装
整租,距离地铁国贸504米,押2付3,6700,底层/6层,60,南郎家园,中装
整租,距离地铁大望路574米,押2付3,17000,高楼层/19层,83,和乔丽致,精装
整租,距离地铁大望路236米,押2付3,13000,高楼层/32层,113,现代城,精装
整租,距离地铁国贸486米,押2付3,15000,高楼层/22层,77,恋日国际,精装
整租,距离地铁国贸342米,押2付3,10000,底层/36层,35,建外SOHO,中装
整租,距离地铁国贸486米,押2付3,11000,中楼层/22层,80,恋日国际,中装
整租,距离地铁大望路391米,押2付3,45000,底层/35层,264.73,阳光100国际公寓,精装
整租,距离地铁大望路236米,押2付3,15000,高楼层/32层,150,现代城,精装
整租,距离地铁大望路122米,押1付3,6500,顶层/14层,64.46,光辉里,中装
整租,距离地铁大望路236米,押2付3,16000,高楼层/41层,128,现代城,精装
