chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁和平西桥513米,押1付3,7200,中楼层/16层,53.35,城市出品,精装
整租,距离地铁安华桥474米,押2付3,6900,高楼层/11层,65.55,安华西里二区,中装
整租,距离地铁安贞门458米,押2付3,13000,中楼层/18层,110,国典华园,中装
整租,距离地铁和平西桥404米,押2付3,6700,中楼层/6层,54.7,胜古南里,精装
整租,距离地铁安华桥373米,押2付3,5200,中楼层/6层,45,安华西里一区,简装
整租,距离地铁安贞门458米,押1付3,16500,低楼层/18层,153,国典华园,精装
整租,距离地铁安贞门458米,押1付3,14500,低楼层/18层,129,国典华园,精装
整租,距离地铁安贞门810米,押2付3,5200,顶层/6层,43,安贞里三区,精装
整租,距离地铁安华桥653米,押2付3,6000,中楼层/6层,50,安华西里三区,豪装
合租,距离地铁和平西桥404米,押2付3,2800,底层/6层,20,胜古南里,中装
整租,距离地铁和平西桥509米,押1付3,7300,中楼层/22层,64,胜古家园,精装
整租,距离地铁和平西桥1098米,押2付3,8000,低楼层/14层,55.14,安华里四区,精装
整租,距离地铁北土城434米,押2付3,7500,高楼层/16层,70,安贞西里二区,中装
整租,距离地铁北土城434米,押2付3,7000,底层/6层,61.3,安贞西里二区,简装
合租,距离地铁安德里北街1051米,押2付3,2700,底层/6层,20,安华里五区,精装
合租,距离地铁和平西桥404米,押1付3,2900,高楼层/6层,16,胜古南里,中装
整租,距离地铁惠新西街南口388米,押2付3,10000,底层/16层,110.23,富仁名苑,精装
整租,距离地铁安贞门458米,押2付3,12000,高楼层/18层,112,国典华园,精装
合租,距离地铁安贞门810米,押2付3,1500,中楼层/6层,54.21,安贞里三区,中装
整租,距离地铁安贞门344米,押1付3,5200,底层/21层,55.41,安贞里一区,精装
整租,距离地铁北土城434米,押2付3,2600,中楼层/24层,12,安贞西里二区,中装
整租,距离地铁安华桥240米,押2付3,6500,顶层/6层,59.57,安贞西里三区,中装
整租,距离地铁惠新西街南口388米,押1付3,38000,高楼层/16层,292.77,富仁名苑,精装
整租,距离地铁和平西桥1030米,押2付3,6500,高楼层/18层,59.67,安华里三区,精装
整租,距离地铁安华桥599米,押2付3,7500,低楼层/6层,78,黄寺大街甲3号院,中装
整租,距离地铁安华桥373米,押2付3,6000,中楼层/21层,46,安华西里一区,精装
合租,距离地铁安贞门679米,押1付3,3000,低楼层/6层,10,皇姑坟,中装
整租,距离地铁安华桥240米,押2付3,7100,底层/6层,57,安贞西里三区,精装
整租,距离地铁和平西桥404米,押2付3,11000,底层/6层,64.48,胜古南里,精装
整租,距离地铁安华桥474米,押2付3,6300,中楼层/5层,60,安华西里二区,简装
合租,距离地铁安华桥745米,押1付3,2800,中楼层/18层,25,安华里二区,中装
整租,距离地铁惠新西街南口388米,押1付3,8800,中楼层/16层,69.58,富仁名苑,精装
整租,距离地铁安华桥457米,押1付3,6800,高楼层/6层,60,安贞西里四区,中装
整租,距离地铁安德里北街1051米,押1付3,6200,中楼层/16层,64,安华里五区,精装
整租,距离地铁北土城434米,押2付3,5500,高楼层/16层,38.88,安贞西里二区,中装
整租,距离地铁安华桥373米,押2付3,7500,顶层/21层,60,安华西里一区,精装
整租,距离地铁和平西桥513米,押2付3,6000,中楼层/16层,54,城市出品,精装
整租,距离地铁安贞门586米,押2付3,3000,中楼层/15层,74,安贞里二区,精装
整租,距离地铁安华桥373米,押2付3,8800,中楼层/21层,76,安华西里一区,精装
整租,距离地铁北土城434米,押2付3,5500,顶层/16层,38.88,安贞西里二区,中装
整租,距离地铁安华桥240米,押2付3,6500,低楼层/6层,56.66,安贞西里三区,中装
整租,距离地铁安华桥240米,押2付3,6500,低楼层/14层,60,安贞西里三区,精装
整租,距离地铁北土城434米,押1付3,5000,低楼层/6层,41.7,安贞西里二区,中装
整租,距离地铁安贞门810米,押2付3,7000,低楼层/17层,69.34,安贞里三区,中装
合租,距离地铁北土城434米,押1付3,2800,中楼层/24层,15,安贞西里二区,中装
整租,距离地铁安华桥599米,押1付3,7500,低楼层/6层,70,黄寺大街甲3号院,中装
整租,距离地铁和平西桥1098米,押2付3,6200,高楼层/14层,55.2,安华里四区,精装
整租,距离地铁安华桥474米,押1付3,7800,高楼层/7层,75,安华西里二区,精装
整租,距离地铁北土城434米,押1付3,8500,顶层/6层,73.29,安贞西里二区,中装
整租,距离地铁和平西桥404米,押2付3,5500,中楼层/6层,37.55,胜古南里,中装
整租,距离地铁北土城434米,押2付3,7500,中楼层/24层,63.42,安贞西里二区,精装
整租,距离地铁安华桥474米,押2付3,6900,低楼层/6层,60,安华西里二区,中装
整租,距离地铁北土城434米,押1付3,5500,低楼层/6层,41.7,安贞西里二区,精装
整租,距离地铁安华桥653米,押1付3,5500,高楼层/16层,40,安华西里三区,中装
整租,距离地铁北土城434米,押2付3,8500,低楼层/16层,80,安贞西里二区,中装
整租,距离地铁安贞门458米,押2付3,9500,低楼层/18层,74,国典华园,精装
整租,距离地铁和平西桥513米,押2付3,6700,中楼层/16层,55,城市出品,中装
合租,距离地铁安华桥373米,押2付3,2400,底层/6层,20,安华西里一区,中装
整租,距离地铁和平西桥1098米,押2付3,6500,低楼层/14层,69.9,安华里四区,中装
