chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁林萃桥1113米,押1付3,7600,顶层/14层,86.26,裕瑞轩,精装
距离地铁立水桥南1079米,距离地铁立水桥南1079米,押1付3,5800,中楼层/15层,65,世纪龙祥嘉园,整租
整租,距离地铁北沙滩1102米,押2付3,6000,中楼层/6层,70,林萃路10号院,中装
整租,距离地铁北沙滩1119米,押2付3,12000,高楼层/12层,111,澳林春天四期,精装
整租,距离地铁立水桥南865米,押1付3,35000,顶层/27层,263,万达大湖公馆,豪装
整租,距离地铁北苑路北950米,押2付3,10000,低楼层/32层,144,林奥嘉园,精装
整租,距离地铁林萃桥854米,押2付3,6500,顶层/7层,80,畅清园小区,精装
整租,距离地铁森林公园南门683米,押2付3,36000,中楼层/9层,240,国奥村,精装
整租,距离地铁森林公园南门683米,押2付3,23000,低楼层/9层,195,国奥村,精装
整租,距离地铁北沙滩1119米,押1付3,20000,中楼层/12层,173,澳林春天四期,精装
整租,距离地铁林萃桥611米,押2付3,18000,底层/13层,144.52,京师园,豪装
整租,距离地铁林萃桥1063米,押2付3,20000,高楼层/6层,168,澳林春天六期,精装
整租,距离地铁北沙滩1102米,押1付3,5300,低楼层/6层,55,林萃路10号院,中装
整租,距离地铁北沙滩985米,押2付3,6500,高楼层/6层,68,学士居,精装
整租,距离地铁林萃桥611米,押2付3,15000,中楼层/21层,145.73,京师园,精装
整租,距离地铁北沙滩1102米,押2付3,6000,中楼层/6层,67,林萃路10号院,精装
距离地铁通州北苑386米,距离地铁通州北苑386米,押1付3,2550,中楼层/5层,10,北苑1号院,合租
距离地铁通州北苑386米,距离地铁通州北苑386米,押1付3,1300,中楼层/5层,10,北苑1号院,合租
距离地铁通州北苑386米,距离地铁通州北苑386米,押1付3,2550,中楼层/5层,10,北苑1号院,合租
距离地铁林萃桥611米,距离地铁林萃桥611米,押1付3,3500,中楼层/21层,16,京师园,合租
距离地铁林萃桥611米,距离地铁林萃桥611米,押1付3,3800,中楼层/21层,20,京师园,合租
距离地铁林萃桥611米,距离地铁林萃桥611米,押1付3,3500,中楼层/21层,16,京师园,合租
合租,距离地铁北沙滩1102米,押1付3,3000,中楼层/6层,18,林萃路10号院,中装
合租,距离地铁北沙滩985米,押2付3,2300,底层/6层,76,学士居,简装
整租,距离地铁立水桥南1315米,押2付3,20000,低楼层/10层,177,世茂奥临花园,中装
整租,距离地铁立水桥南1079米,押1付3,7300,中楼层/14层,94,世纪龙祥嘉园,中装
整租,距离地铁北沙滩1119米,押1付3,12000,高楼层/13层,110.7,澳林春天四期,中装
整租,距离地铁林萃桥575米,押2付3,7000,中楼层/24层,71,澳林春天五期,精装
整租,距离地铁森林公园南门683米,押1付3,23000,低楼层/6层,203,国奥村,精装
整租,距离地铁林萃桥743米,押1付3,9000,顶层/11层,107,融域嘉园,精装
整租,距离地铁林萃桥611米,押2付3,12000,中楼层/21层,116,京师园,精装
整租,距离地铁立水桥南1079米,押1付3,7000,低楼层/14层,94,世纪龙祥嘉园,精装
距离地铁通州北苑386米,距离地铁通州北苑386米,押1付3,2750,中楼层/5层,10,北苑1号院,合租
整租,距离地铁北沙滩1029米,押2付3,18000,低楼层/14层,160,美伦堡,豪装
整租,距离地铁森林公园南门683米,押2付3,25000,高楼层/6层,200,国奥村,毛坯
