chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁百子湾827米,押2付3,7500,低楼层/26层,65,金都杭城,精装
整租,距离地铁百子湾867米,押1付3,6500,低楼层/24层,55,沿海赛洛城七期,精装
整租,距离地铁百子湾437米,押2付3,6600,低楼层/21层,69,金泰先锋,精装
整租,距离地铁百子湾867米,押1付3,7200,低楼层/8层,69.62,沿海赛洛城七期,精装
整租,距离地铁百子湾867米,押2付3,6200,中楼层/24层,55,沿海赛洛城七期,精装
整租,距离地铁百子湾867米,押1付3,7200,中楼层/8层,69.76,沿海赛洛城七期,精装
整租,距离地铁百子湾793米,押1付3,6500,低楼层/8层,70,沿海赛洛城三期,精装
整租,距离地铁百子湾1073米,押2付3,6700,中楼层/25层,70.15,沿海赛洛城五期,精装
整租,距离地铁百子湾1073米,押2付3,6200,中楼层/25层,55,沿海赛洛城五期,精装
整租,距离地铁百子湾804米,押2付3,9300,中楼层/16层,98,沿海赛洛城二期,精装
整租,距离地铁百子湾1073米,押1付3,12500,中楼层/21层,145,沿海赛洛城五期,豪装
整租,距离地铁百子湾793米,押2付3,55000,低楼层/11层,320,沿海赛洛城三期,精装
整租,距离地铁百子湾943米,押2付3,8000,高楼层/9层,99,沿海赛洛城六期,精装
整租,距离地铁百子湾657米,押2付3,6000,底层/6层,70,石门村路2号院,精装
整租,距离地铁百子湾657米,押1付3,8500,顶层/6层,80,石门村路2号院,中装
合租,距离地铁百子湾867米,押2付3,3500,低楼层/10层,35,沿海赛洛城七期,精装
整租,距离地铁百子湾867米,押1付3,6500,低楼层/24层,62,沿海赛洛城七期,精装
整租,距离地铁百子湾827米,押2付3,9500,高楼层/26层,89,金都杭城,精装
整租,距离地铁大郊亭851米,押2付3,6000,低楼层/25层,50,大成国际,精装
整租,距离地铁百子湾804米,押2付3,6000,底层/8层,25,沿海赛洛城二期,精装
整租,距离地铁百子湾827米,押2付3,12000,中楼层/26层,89,金都杭城,豪装
整租,距离地铁百子湾943米,押2付3,6500,高楼层/24层,60,沿海赛洛城六期,精装
整租,距离地铁百子湾1073米,押1付3,6000,高楼层/25层,70,沿海赛洛城五期,精装
整租,距离地铁百子湾756米,押2付3,7800,中楼层/11层,88,百子湾8号院,中装
整租,距离地铁百子湾827米,押1付12,16000,中楼层/19层,158,金都杭城,精装
整租,距离地铁百子湾793米,押2付3,8500,中楼层/11层,98,沿海赛洛城三期,精装
整租,距离地铁百子湾827米,押2付3,14000,中楼层/26层,105,金都杭城,中装
整租,距离地铁四惠东1119米,押1付3,8000,中楼层/16层,98,百子湾家园C区,精装
整租,距离地铁百子湾867米,押2付3,15000,低楼层/24层,70,沿海赛洛城七期,精装
整租,距离地铁百子湾437米,押2付3,13000,低楼层/19层,138,金泰先锋,中装
距离地铁百子湾993米,距离地铁百子湾993米,押1付12,12000,高楼层/19层,159,华北电力小区,随时看房
整租,距离地铁百子湾827米,押2付3,9000,高楼层/20层,89.06,金都杭城,中装
整租,距离地铁百子湾943米,押1付3,13500,顶层/18层,145,沿海赛洛城六期,精装
整租,距离地铁百子湾943米,押2付3,15000,顶层/18层,145,沿海赛洛城六期,豪装
整租,距离地铁百子湾437米,押2付3,9000,中楼层/17层,94,金泰先锋,精装
整租,距离地铁百子湾827米,押2付3,3500,中楼层/19层,40,金都杭城,中装
整租,距离地铁化工1466米,押1付3,6000,高楼层/6层,96,观音景园,精装
整租,距离地铁百子湾756米,押2付3,9500,中楼层/11层,90,百子湾8号院,精装
整租,距离地铁大郊亭851米,押2付3,7800,顶层/12层,98,大成国际,精装
合租,距离地铁四惠东1119米,押1付3,2950,低楼层/16层,103,百子湾家园C区,中装
整租,距离地铁四惠857米,押2付3,5500,顶层/6层,70,北京制药二厂宿舍楼,中装
整租,距离地铁大郊亭851米,押1付3,5300,低楼层/25层,45,大成国际,中装
整租,距离地铁百子湾652米,押2付3,3300,高楼层/24层,25,沿海赛洛城四期,精装
合租,距离地铁大郊亭410米,押1付3,3500,中楼层/23层,25,金海国际,精装
整租,距离地铁百子湾1073米,押2付3,6500,低楼层/22层,54,沿海赛洛城五期,中装
整租,距离地铁百子湾655米,押2付3,15000,底层/8层,75,沿海赛洛城一期,精装
整租,距离地铁百子湾943米,押2付3,6000,中楼层/9层,58,沿海赛洛城六期,精装
百子湾,距离地铁大郊亭534米,押1付3,8800,中楼层/20层,87.48,建工动力苑,其他
整租,距离地铁大郊亭851米,押2付3,5500,高楼层/25层,55,大成国际,精装
距离地铁百子湾793米,距离地铁百子湾793米,押1付3,6500,中楼层/8层,50,沿海赛洛城三期,整租
距离地铁百子湾793米,距离地铁百子湾793米,押1付3,2800,高楼层/11层,13,沿海赛洛城三期,合租
百子湾,距离地铁百子湾1073米,押1付3,7000,低楼层/25层,53.64,沿海赛洛城五期,其他
百子湾,距离地铁百子湾827米,押1付3,13800,低楼层/19层,145,金都杭城,其他
百子湾,距离地铁化工1466米,押1付3,5000,底层/6层,57.41,观音景园,其他
百子湾,距离地铁百子湾839米,押1付3,3500,低楼层/21层,38,金都心语,其他
百子湾,距离地铁百子湾756米,押1付3,9200,中楼层/10层,100,百子湾8号院,其他
百子湾,距离地铁百子湾993米,押1付3,7300,底层/19层,70.01,华北电力小区,其他
百子湾,距离地铁百子湾827米,押1付3,5500,中楼层/5层,60,金都杭城,其他
百子湾,距离地铁百子湾655米,押1付3,6700,高楼层/18层,65,沿海赛洛城一期,其他
百子湾,距离地铁百子湾867米,押1付3,7000,低楼层/8层,73,沿海赛洛城七期,其他
百子湾,距离地铁百子湾839米,押1付3,5400,中楼层/21层,49.04,金都心语,其他
