chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁平乐园528米,押1付3,4500,顶层/6层,50,磨房北里,中装
整租,距离地铁平乐园112米,押1付3,5000,中楼层/6层,60,西大望路甲27号院,精装
整租,距离地铁平乐园474米,押1付3,5800,中楼层/6层,67,平乐园小区,精装
整租,距离地铁北工大西门291米,押1付3,6250,低楼层/7层,77,松榆东里,中装
整租,距离地铁平乐园474米,押1付3,5000,顶层/6层,50,平乐园小区,精装
合租,距离地铁北工大西门448米,押2付3,2600,低楼层/18层,20,磨房南里,中装
整租,距离地铁平乐园112米,押2付3,5400,高楼层/6层,65,西大望路甲27号院,简装
整租,距离地铁平乐园474米,押1付3,5800,顶层/6层,60,平乐园小区,中装
整租,距离地铁北工大西门291米,押2付3,4850,中楼层/6层,41.32,松榆东里,精装
整租,距离地铁平乐园474米,押2付3,6500,中楼层/6层,66,平乐园小区,精装
整租,距离地铁平乐园474米,押2付3,4500,顶层/6层,55,平乐园小区,简装
整租,距离地铁平乐园474米,押2付3,5800,顶层/6层,68,平乐园小区,中装
整租,距离地铁北工大西门291米,押1付3,5500,高楼层/18层,50,松榆东里,精装
整租,距离地铁平乐园474米,押1付3,4500,低楼层/6层,50,平乐园小区,精装
整租,距离地铁平乐园474米,押2付3,6000,中楼层/6层,55.13,平乐园小区,精装
合租,距离地铁北工大西门448米,押1付3,2700,中楼层/6层,17,磨房南里,中装
北工大,距离地铁北工大西门291米,押1付3,6380,高楼层/6层,59.12,松榆东里,其他
北工大,距离地铁北工大西门291米,押1付3,4400,高楼层/20层,56.91,松榆东里,其他
北工大,距离地铁北工大西门291米,押1付3,4500,顶层/6层,31.1,松榆东里,其他
北工大,距离地铁北工大西门448米,押1付3,4500,中楼层/6层,44.01,磨房南里,其他
北工大,距离地铁平乐园474米,押1付3,6200,低楼层/6层,60.69,平乐园小区,其他
整租,距离地铁北工大西门448米,押1付3,7800,中楼层/6层,102,磨房南里,精装
整租,距离地铁北工大西门291米,押2付3,4600,高楼层/13层,49,松榆东里,中装
整租,距离地铁北工大西门448米,押2付3,4800,低楼层/6层,48,磨房南里,精装
整租,距离地铁北工大西门291米,押2付3,6000,高楼层/7层,58,松榆东里,中装
整租,距离地铁北工大西门291米,押2付3,4600,高楼层/6层,40,松榆东里,精装
整租,距离地铁北工大西门448米,押1付3,4600,低楼层/6层,50,磨房南里,中装
整租,距离地铁平乐园528米,押2付3,6600,高楼层/18层,75,磨房北里,精装
整租,距离地铁平乐园474米,押1付3,4700,顶层/6层,48,平乐园小区,中装
整租,距离地铁北工大西门448米,押1付3,4300,中楼层/6层,50,磨房南里,简装
北工大,距离地铁平乐园528米,押1付3,4800,高楼层/6层,45,磨房北里,其他
北工大,距离地铁北工大西门448米,押1付3,6700,高楼层/6层,52.61,磨房南里,其他
北工大,距离地铁平乐园474米,押1付3,6600,中楼层/6层,45.7,平乐园小区,其他
整租,距离地铁平乐园474米,押2付3,7000,高楼层/6层,61.69,平乐园小区,精装
北工大,距离地铁北工大西门448米,押1付3,6300,低楼层/18层,60,磨房南里,其他
北工大,距离地铁平乐园528米,押1付3,6200,底层/18层,70,磨房北里,其他
整租,距离地铁北工大西门291米,押1付3,4000,高楼层/6层,48,松榆东里,简装
整租,距离地铁平乐园474米,押1付3,5700,中楼层/6层,60,平乐园小区,中装
整租,距离地铁北工大西门291米,押2付3,4600,低楼层/13层,49,松榆东里,精装
整租,距离地铁北工大西门291米,押2付3,4800,中楼层/7层,55,松榆东里,精装
整租,距离地铁北工大西门291米,押2付3,5000,中楼层/6层,45,松榆东里,精装
北工大,距离地铁北工大西门291米,押1付3,5600,顶层/6层,60,松榆东里,其他
北工大,距离地铁北工大西门291米,押1付3,5100,低楼层/6层,60,松榆东里,其他
距离地铁平乐园528米,距离地铁平乐园528米,押1付3,4200,中楼层/6层,45,磨房北里,整租
北工大,距离地铁平乐园258米,押1付3,6500,高楼层/20层,44.32,禧福汇,其他
北工大,距离地铁平乐园474米,押1付3,6900,高楼层/6层,57.9,平乐园小区,其他
