chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁北苑路北468米,押3付6,105000,底层/18层,500,天月园,精装
整租,距离地铁立水桥南630米,押1付3,8500,高楼层/14层,108.63,北苑家园望春园,精装
整租,距离地铁北苑路北745米,押1付3,6500,低楼层/32层,65,上元,中装
整租,距离地铁北苑684米,押1付3,5500,中楼层/20层,67,华贸城7号院,豪装
整租,距离地铁北苑952米,押1付3,8200,中楼层/28层,86,筑华年,精装
整租,距离地铁北苑1329米,押2付3,16000,中楼层/10层,150,润泽公馆,精装
整租,距离地铁立水桥南630米,押2付3,7500,高楼层/25层,99,北苑家园望春园,中装
合租,距离地铁立水桥南861米,押2付3,2400,低楼层/25层,20,茉藜园,中装
整租,距离地铁北苑682米,押1付3,7000,低楼层/6层,98,来春园,中装
整租,距离地铁北苑路北582米,押2付3,9000,高楼层/11层,88,天乐园,精装
整租,距离地铁立水桥南861米,押2付3,7500,中楼层/25层,99.13,茉藜园,精装
整租,距离地铁北苑路北529米,押2付3,9500,中楼层/32层,103,天畅园,精装
合租,距离地铁北苑571米,押2付3,1500,中楼层/14层,10,蕴实园,中装
合租,距离地铁北苑945米,押2付3,4500,中楼层/17层,53,华贸城9号院,中装
整租,距离地铁北苑路北512米,押1付3,4800,低楼层/4层,35,北苑2号院,精装
整租,距离地铁立水桥南630米,押2付3,8200,中楼层/14层,108.65,北苑家园望春园,精装
整租,距离地铁立水桥南223米,押1付3,5600,顶层/19层,59.38,华发颐园,精装
整租,距离地铁立水桥南223米,押1付3,6000,高楼层/19层,60,华发颐园,精装
整租,距离地铁北苑1181米,押2付3,8200,低楼层/11层,89,润泽悦溪,精装
整租,距离地铁北苑522米,押2付3,8300,中楼层/25层,95,北苑家园紫绶园,精装
整租,距离地铁北苑路北529米,押2付3,16800,中楼层/32层,170,天畅园,精装
整租,距离地铁立水桥南519米,押2付3,11000,中楼层/18层,142,美立方,中装
整租,距离地铁北苑945米,押2付3,8800,高楼层/16层,67.44,华贸城9号院,精装
整租,距离地铁北苑路北529米,押2付3,11000,高楼层/11层,125.71,天畅园,中装
整租,距离地铁北苑路北831米,押1付6,27000,中楼层/25层,266,景龙国际,中装
整租,距离地铁立水桥南630米,押2付3,10000,高楼层/25层,127,北苑家园望春园,精装
整租,距离地铁北苑路北294米,押1付6,9500,中楼层/30层,126,拂林园,精装
整租,距离地铁立水桥南597米,押2付3,7300,低楼层/19层,96.22,天怡家园,中装
整租,距离地铁北苑571米,押1付3,5400,中楼层/6层,65,蕴实园,精装
整租,距离地铁北苑705米,押2付3,6000,低楼层/25层,90.18,清友园,精装
整租,距离地铁北苑571米,押2付3,6700,低楼层/14层,95,蕴实园,精装
整租,距离地铁北苑705米,押2付3,12000,高楼层/25层,144.79,清友园,中装
整租,距离地铁北苑482米,押1付3,20000,高楼层/31层,166,福熙大道,精装
整租,距离地铁北苑路北512米,押2付3,3300,低楼层/4层,40,北苑2号院,简装
整租,距离地铁北苑路北1346米,押2付3,8600,低楼层/12层,136,城市绿洲家园,精装
整租,距离地铁立水桥1047米,押1付3,12000,高楼层/27层,122,世华泊郡,精装
整租,距离地铁北苑952米,押2付3,2700,低楼层/27层,28,筑华年,中装
整租,距离地铁北苑482米,押2付3,16000,中楼层/18层,130.3,福熙大道,精装
整租,距离地铁北苑1181米,押2付3,8000,中楼层/11层,89,润泽悦溪,豪装
整租,距离地铁立水桥南223米,押1付3,12000,中楼层/10层,138,华发颐园,精装
整租,距离地铁北苑路北372米,押2付3,15000,底层/32层,588,傲城融富中心,中装
整租,距离地铁立水桥1047米,押1付3,12000,顶层/27层,131,世华泊郡,精装
整租,距离地铁立水桥南630米,押2付3,11000,中楼层/25层,129,北苑家园望春园,精装
整租,距离地铁北苑路北529米,押2付3,12000,低楼层/32层,126,天畅园,精装
整租,距离地铁北苑路北294米,押1付3,8500,高楼层/30层,124,拂林园,中装
整租,距离地铁北苑684米,押2付3,8500,低楼层/20层,67,华贸城7号院,精装
整租,距离地铁北苑655米,押1付3,17000,高楼层/31层,177,华贸城8号院,精装
整租,距离地铁北苑路北529米,押1付3,12000,中楼层/32层,133,天畅园,简装
整租,,押2付3,7000,高楼层/28层,80,恒大名都嘉园,精装
整租,,押2付3,7500,低楼层/22层,80,恒大名都嘉园,中装
整租,距离地铁北苑684米,押2付3,6000,中楼层/20层,60,华贸城7号院,中装
整租,距离地铁北苑684米,押1付3,5500,高楼层/30层,54.87,华贸城7号院,精装
整租,距离地铁北苑577米,押1付3,12500,顶层/12层,114.83,中国铁建国际城,精装
整租,,押2付3,7500,中楼层/28层,95,恒大名都嘉园,精装
合租,距离地铁北苑577米,押2付3,2200,底层/21层,20,中国铁建国际城,精装
整租,距离地铁立水桥南630米,押1付3,6500,中楼层/25层,76,北苑家园望春园,中装
整租,距离地铁北苑路北294米,押2付3,9500,高楼层/30层,125,拂林园,精装
合租,距离地铁北苑1102米,押2付3,2600,低楼层/23层,20,广华居,中装
整租,距离地铁北苑684米,押1付3,6300,中楼层/20层,67,华贸城7号院,精装
整租,距离地铁立水桥南643米,押2付3,9000,中楼层/32层,110,平安嘉苑,精装
整租,距离地铁立水桥南223米,押1付3,10000,底层/10层,120,华发颐园,精装
整租,距离地铁北苑243米,押2付3,18000,中楼层/5层,206,时代庄园,中装
整租,距离地铁北苑路北841米,押1付3,14000,低楼层/16层,170,北卫新园,豪装
整租,距离地铁北苑482米,押1付3,15000,高楼层/31层,148,福熙大道,精装
整租,距离地铁北苑920米,押1付3,15000,顶层/7层,150,花语城,精装
整租,距离地铁北苑1463米,押2付3,25000,底层/4层,224.86,润泽庄园,简装
整租,距离地铁北苑522米,押1付3,16000,底层/12层,120,北苑家园紫绶园,中装
整租,距离地铁立水桥南861米,押1付3,10000,低楼层/14层,123,茉藜园,精装
整租,距离地铁北苑705米,押1付3,7500,高楼层/25层,102.71,清友园,精装
整租,距离地铁北苑482米,押1付3,27000,低楼层/31层,199,福熙大道,精装
整租,距离地铁北苑路北841米,押2付3,12700,中楼层/16层,156,北卫新园,精装
整租,距离地铁北苑路北745米,押2付3,19000,低楼层/32层,198,上元,豪装
整租,距离地铁北苑路北841米,押2付3,15000,低楼层/16层,179,北卫新园,中装
整租,距离地铁北苑482米,押2付3,10500,中楼层/31层,106,福熙大道,精装
整租,距离地铁北苑1329米,押2付3,8000,中楼层/23层,88.73,润泽公馆,精装
合租,距离地铁北苑819米,押2付3,2500,低楼层/14层,15,北苑家园绣菊园,精装
整租,距离地铁北苑1445米,押1付3,13500,高楼层/12层,191.51,北京青年城,精装
整租,距离地铁北苑路北1378米,押1付3,6200,低楼层/24层,80,来北家园,简装
整租,距离地铁北苑482米,押1付3,8800,高楼层/31层,111,福熙大道,精装
整租,距离地铁北苑1181米,押2付3,8000,中楼层/11层,88,润泽悦溪,精装
