chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁常营674米,押1付3,4600,低楼层/27层,45.02,富力阳光美园,中装
整租,距离地铁黄渠653米,押2付3,2800,低楼层/11层,50,苹果派,精装
整租,距离地铁常营708米,押2付3,6500,顶层/27层,89,北辰福第北区,精装
整租,距离地铁常营654米,押2付3,18000,底层/8层,146,万象新天天际高尔夫,精装
整租,距离地铁常营866米,押2付3,6500,低楼层/18层,90,保利嘉园一号院,精装
整租,距离地铁常营1097米,押1付3,4700,低楼层/20层,53,北京新天地四期,精装
整租,距离地铁常营654米,押2付3,16000,顶层/6层,145.66,万象新天天际高尔夫,豪装
整租,距离地铁管庄814米,押1付3,5500,高楼层/26层,62,北京新天地三期,精装
整租,距离地铁常营462米,押1付3,5800,高楼层/11层,60,万象新天四区,精装
整租,距离地铁黄渠653米,押2付3,6800,低楼层/11层,82,苹果派,精装
整租,距离地铁常营674米,押1付3,7000,低楼层/26层,89,富力阳光美园,精装
整租,距离地铁常营674米,押2付3,7000,低楼层/23层,88,富力阳光美园,精装
整租,距离地铁常营462米,押2付3,16000,高楼层/11层,154.18,万象新天四区,精装
整租,距离地铁常营170米,押2付3,12000,底层/16层,150.63,万象新天三区,精装
整租,距离地铁常营654米,押1付3,14000,低楼层/20层,162.63,万象新天天际高尔夫,精装
整租,距离地铁常营674米,押2付3,7500,高楼层/31层,89,富力阳光美园,精装
整租,距离地铁常营674米,押2付3,7000,高楼层/22层,88.85,富力阳光美园,精装
整租,距离地铁常营510米,押1付3,6500,底层/27层,83,北辰福第中区,精装
整租,距离地铁黄渠715米,押1付3,6800,中楼层/6层,93,常营民族家园,简装
整租,距离地铁常营674米,押2付3,7000,中楼层/31层,90,富力阳光美园,精装
整租,距离地铁常营674米,押2付3,6800,高楼层/30层,88,富力阳光美园,精装
整租,距离地铁常营674米,押2付3,5500,高楼层/31层,76,富力阳光美园,简装
整租,距离地铁常营510米,押2付3,6500,底层/22层,80.84,北辰福第中区,精装
整租,距离地铁常营462米,押2付3,7000,中楼层/5层,80,万象新天四区,精装
整租,距离地铁常营510米,押2付3,4800,中楼层/22层,50,北辰福第中区,精装
整租,距离地铁管庄986米,押1付3,5500,中楼层/27层,67,北京新天地五期,精装
