chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁青年路854米,押1付3,14000,中楼层/12层,139,华纺易城,精装
整租,距离地铁青年路494米,押2付3,12000,高楼层/24层,135.88,朝阳雅筑,简装
整租,,押2付3,6000,中楼层/19层,67,姚家园东里8号院,精装
整租,距离地铁青年路1300米,押2付3,33000,底层/31层,294,国美第一城2号院,豪装
整租,距离地铁青年路280米,押1付3,8900,高楼层/20层,72,青年汇佳园,精装
整租,距离地铁青年路494米,押2付3,3500,高楼层/24层,93,朝阳雅筑,精装
整租,距离地铁青年路280米,押1付3,9500,中楼层/20层,94,青年汇佳园,精装
整租,距离地铁青年路1300米,押2付6,10000,中楼层/31层,117,国美第一城2号院,精装
合租,距离地铁青年路280米,押2付3,4500,中楼层/18层,91.88,青年汇佳园,豪装
整租,距离地铁青年路494米,押2付3,8500,高楼层/24层,103,朝阳雅筑,精装
整租,距离地铁青年路854米,押1付3,16000,底层/18层,138.03,华纺易城,中装
整租,距离地铁青年路1300米,押1付3,7500,高楼层/28层,77.46,国美第一城2号院,中装
合租,距离地铁青年路565米,押1付3,2000,中楼层/6层,70.73,青年路小区,中装
整租,,押1付6,12000,底层/12层,123,五洲家园,中装
整租,距离地铁青年路280米,押2付3,4000,底层/14层,25,青年汇佳园,简装
整租,距离地铁青年路854米,押2付3,6800,中楼层/18层,65.5,华纺易城,精装
整租,距离地铁青年路280米,押1付3,6600,中楼层/20层,57.49,青年汇佳园,精装
整租,距离地铁四惠东1173米,押2付3,4700,中楼层/6层,39,东郊木材厂宿舍,精装
合租,距离地铁青年路1300米,押2付3,3300,底层/31层,20,国美第一城2号院,中装
整租,距离地铁青年路1300米,押1付3,9000,高楼层/30层,98.99,国美第一城2号院,精装
整租,距离地铁青年路565米,押2付3,6200,底层/6层,52.25,青年路小区,精装
整租,距离地铁青年路1300米,押2付3,7000,中楼层/31层,80,国美第一城2号院,精装
整租,,押2付3,8500,中楼层/6层,90,五洲家园,精装
整租,距离地铁青年路280米,押2付3,11000,中楼层/18层,121.5,青年汇佳园,精装
整租,距离地铁青年路280米,押2付3,6800,中楼层/12层,66,青年汇佳园,中装
整租,距离地铁青年路1300米,押2付3,15000,中楼层/27层,138.92,国美第一城2号院,中装
整租,距离地铁青年路1194米,押1付3,6500,中楼层/31层,58.68,国美第一城3号院,中装
距离地铁青年路565米,距离地铁青年路565米,押1付3,2600,低楼层/24层,15,青年路小区,合租
距离地铁青年路565米,距离地铁青年路565米,押1付3,2200,顶层/6层,15,青年路小区,合租
距离地铁青年路565米,距离地铁青年路565米,押1付3,2500,顶层/6层,18,青年路小区,合租
朝青,距离地铁青年路690米,押1付3,10500,中楼层/17层,108,润枫水尚东区,其他
朝青,距离地铁青年路979米,押1付3,6500,低楼层/3层,60,华纺新天地,其他
距离地铁青年路565米,距离地铁青年路565米,押1付3,1800,顶层/6层,13,青年路小区,合租
朝青,距离地铁青年路494米,押1付3,8700,低楼层/24层,94,朝阳雅筑,其他
朝青,距离地铁青年路854米,押1付3,2450,高楼层/18层,20,华纺易城,其他
,,押1付3,3000,高楼层/10层,20,特警学院家属院,合租
,,押1付3,3700,高楼层/10层,35,特警学院家属院,合租
,,押1付3,4200,高楼层/10层,35,特警学院家属院,合租
朝青,距离地铁青年路494米,押1付3,3200,高楼层/24层,30,朝阳雅筑,其他
,,押1付3,3200,高楼层/10层,23,特警学院家属院,合租
朝青,距离地铁青年路494米,押1付3,8000,低楼层/24层,85,朝阳雅筑,其他
朝青,距离地铁青年路565米,押1付3,2500,中楼层/24层,20,青年路小区,其他
朝青,距离地铁青年路854米,押1付3,8700,中楼层/18层,100,华纺易城,其他
朝青,距离地铁青年路854米,押1付3,3200,低楼层/18层,20,华纺易城,其他
朝青,距离地铁青年路854米,押1付3,3800,低楼层/12层,25,华纺易城,其他
朝青,距离地铁青年路565米,押1付3,2500,中楼层/24层,20,青年路小区,其他
朝青,距离地铁青年路494米,押1付3,8300,顶层/24层,103,朝阳雅筑,其他
朝青,距离地铁青年路565米,押1付3,2400,顶层/6层,15,青年路小区,其他
朝青,距离地铁青年路854米,押1付3,8600,低楼层/18层,100,华纺易城,其他
整租,距离地铁青年路1194米,押1付3,8500,高楼层/31层,96,国美第一城3号院,精装
整租,距离地铁青年路280米,押2付3,14500,高楼层/12层,120.6,青年汇佳园,精装
朝青,,押1付3,13800,高楼层/10层,157.47,特警学院家属院,其他
整租,距离地铁青年路1194米,押2付3,4000,低楼层/31层,45.82,国美第一城3号院,中装
整租,,押1付3,7200,低楼层/18层,83,姚家园东里7号院,精装
整租,距离地铁青年路565米,押2付3,3300,高楼层/24层,17,青年路小区,精装
整租,距离地铁青年路1194米,押2付3,7500,中楼层/31层,99,国美第一城3号院,精装
合租,距离地铁青年路1300米,押1付3,4000,低楼层/31层,60,国美第一城2号院,中装
整租,,押2付3,7000,低楼层/18层,80,姚家园东里7号院,中装
整租,距离地铁青年路494米,押2付3,72000,底层/24层,300,朝阳雅筑,精装
合租,距离地铁青年路565米,押1付1,2300,中楼层/24层,115.84,青年路小区,精装
整租,距离地铁青年路1194米,押2付3,8000,高楼层/31层,108,国美第一城3号院,精装
朝青,距离地铁青年路854米,押1付3,11500,低楼层/18层,126.6,华纺易城,其他
整租,距离地铁青年路1194米,押2付3,8000,中楼层/31层,96,国美第一城3号院,精装
朝青,距离地铁青年路494米,押1付3,3000,高楼层/24层,25,朝阳雅筑,其他
,,押1付3,3300,高楼层/10层,30,特警学院家属院,合租
朝青,,押1付3,2300,中楼层/6层,10,万杰医院家属楼,其他
,,押1付3,3300,顶层/11层,18,特警学院家属院,合租
朝青,距离地铁四惠东1173米,押1付3,4400,顶层/6层,49.19,东郊木材厂宿舍,其他
朝青,距离地铁青年路854米,押1付3,4200,中楼层/12层,40,华纺易城,其他
朝青,距离地铁青年路690米,押1付3,2800,高楼层/18层,20,润枫水尚东区,其他
朝青,,押1付3,7000,高楼层/19层,88,姚家园东里8号院,其他
朝青,距离地铁青年路854米,押1付3,8500,高楼层/15层,89,华纺易城,其他
,,押1付3,2500,底层/18层,18,姚家园东里7号院,合租
,,押1付3,3200,底层/18层,20,姚家园东里7号院,合租
,,押1付3,3000,底层/18层,20,姚家园东里7号院,合租
距离地铁青年路565米,距离地铁青年路565米,押1付3,3200,低楼层/24层,18,青年路小区,合租
朝青,距离地铁青年路280米,押1付3,2000,高楼层/14层,25,青年汇佳园,其他
朝青,距离地铁青年路494米,押1付3,3300,高楼层/24层,25,朝阳雅筑,其他
朝青,距离地铁青年路494米,押1付3,3300,低楼层/24层,30,朝阳雅筑,其他
朝青,距离地铁青年路854米,押1付3,8500,低楼层/18层,89,华纺易城,其他
朝青,,押1付3,3000,高楼层/21层,18,姚家园东里8号院,其他
距离地铁青年路565米,距离地铁青年路565米,押1付3,2500,低楼层/24层,15,青年路小区,合租
