chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁朝阳公园209米,押2付3,150000,顶层/33层,525,棕榈泉,精装
整租,距离地铁十里堡1490米,押2付3,30000,低楼层/21层,198,泛海国际碧海园,精装
整租,距离地铁朝阳公园454米,押2付3,38000,高楼层/28层,280,丽水嘉园,豪装
整租,距离地铁朝阳公园209米,押2付3,43000,高楼层/33层,137,棕榈泉,精装
整租,距离地铁枣营746米,押2付3,45000,高楼层/26层,274,北京GOLF公寓,精装
整租,距离地铁朝阳公园209米,押2付3,25000,高楼层/33层,133.53,棕榈泉,简装
整租,距离地铁东风北桥958米,押2付3,6500,高楼层/6层,60,南十里居,中装
整租,距离地铁朝阳公园454米,押2付3,12000,中楼层/28层,98,丽水嘉园,中装
整租,距离地铁朝阳公园454米,押2付3,30000,高楼层/28层,268,丽水嘉园,豪装
朝阳公园,距离地铁东风北桥997米,押1付3,7600,高楼层/28层,78.01,泰华滨河苑,其他
整租,距离地铁枣营746米,押2付3,40000,低楼层/22层,270,北京GOLF公寓,豪装
朝阳公园,距离地铁东风北桥958米,押1付3,6600,顶层/6层,53.84,南十里居,其他
朝阳公园,距离地铁东风北桥958米,押1付3,5500,顶层/6层,62,南十里居,其他
距离地铁东风北桥760米,距离地铁东风北桥760米,押1付3,3200,低楼层/18层,18,东风家园,合租
整租,距离地铁朝阳公园454米,押2付3,12000,中楼层/28层,98,丽水嘉园,精装
整租,距离地铁东风北桥997米,押2付3,8200,中楼层/18层,100,泰华滨河苑,精装
整租,距离地铁朝阳公园1380米,押2付3,60000,顶层/31层,530,观湖国际,中装
整租,距离地铁朝阳公园708米,押2付3,15000,低楼层/31层,89,公园大道,精装
整租,距离地铁朝阳公园454米,押2付3,16500,低楼层/29层,132,丽水嘉园,精装
整租,距离地铁东风北桥997米,押2付3,6500,中楼层/28层,77.6,泰华滨河苑,精装
整租,距离地铁朝阳公园454米,押2付3,18500,中楼层/29层,132,丽水嘉园,精装
整租,距离地铁东风北桥958米,押2付3,6600,中楼层/6层,70,南十里居,精装
整租,距离地铁东风北桥997米,押2付3,8500,中楼层/27层,120,泰华滨河苑,精装
整租,距离地铁朝阳公园454米,押2付3,12000,低楼层/29层,113,丽水嘉园,精装
整租,距离地铁东风北桥958米,押2付3,5800,顶层/6层,55,南十里居,中装
整租,距离地铁东风北桥958米,押1付3,6200,顶层/6层,70,南十里居,精装
整租,距离地铁东风北桥958米,押2付3,6000,中楼层/6层,60,南十里居,精装
整租,距离地铁东风北桥958米,押1付3,7500,顶层/6层,69,南十里居,精装
