chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁朝阳门920米,押2付3,10000,中楼层/6层,71,雅宝里,精装
整租,距离地铁东大桥630米,押2付3,6300,低楼层/6层,56,天福园,精装
整租,距离地铁朝阳门524米,押2付3,7500,中楼层/24层,58,新金山,精装
整租,距离地铁东大桥322米,押1付3,9500,中楼层/6层,80,芳草地北巷,精装
整租,距离地铁东四十条512米,押2付3,8000,高楼层/7层,65,新中西街,精装
整租,距离地铁朝阳门524米,押1付3,14500,高楼层/24层,116,新金山,精装
合租,距离地铁东四十条512米,押2付3,2600,高楼层/7层,12,新中西街,中装
整租,距离地铁朝阳门484米,押2付3,5700,高楼层/7层,61.43,吉祥里,中装
整租,距离地铁东大桥755米,押1付3,9000,顶层/5层,70.5,东大桥路,精装
整租,距离地铁东四十条512米,押2付3,5700,中楼层/7层,48,新中西街,精装
整租,距离地铁朝阳门696米,押2付3,17500,低楼层/6层,128.58,唐缘,精装
整租,距离地铁朝阳门524米,押2付3,7500,底层/24层,58,新金山,精装
整租,距离地铁朝阳门536米,押1付3,11000,中楼层/9层,98,吉庆里,精装
整租,距离地铁东大桥755米,押2付3,7000,中楼层/14层,57.95,东大桥路,毛坯
整租,距离地铁东大桥755米,押2付3,2200,中楼层/18层,68.6,东大桥路,中装
合租,距离地铁东大桥755米,押2付3,2800,中楼层/5层,71.23,东大桥路,精装
整租,距离地铁东大桥630米,押1付12,12000,底层/6层,58,天福园,精装
整租,距离地铁朝阳门733米,押2付3,8000,低楼层/20层,95,朝阳门南大街,中装
整租,距离地铁东大桥823米,押1付3,9500,顶层/20层,80,日坛上街,精装
整租,距离地铁朝阳门740米,押2付3,16000,低楼层/18层,118,怡景园,精装
合租,距离地铁朝阳门733米,押2付3,4000,高楼层/20层,20,朝阳门南大街,中装
整租,距离地铁东大桥755米,押2付3,11000,低楼层/18层,80,东大桥路,精装
整租,距离地铁东大桥515米,押2付3,7600,中楼层/5层,60,芳草地西街,精装
整租,距离地铁东大桥755米,押2付3,7500,高楼层/18层,65.2,东大桥路,精装
整租,距离地铁东大桥755米,押2付3,8800,底层/5层,65,东大桥路,精装
整租,距离地铁东大桥755米,押2付3,8000,低楼层/14层,57.95,东大桥路,中装
整租,距离地铁东大桥755米,押2付3,7700,中楼层/14层,56.5,东大桥路,中装
整租,距离地铁东大桥755米,押1付3,8000,低楼层/14层,65,东大桥路,中装
合租,距离地铁东大桥755米,押2付3,2300,底层/5层,10,东大桥路,简装
整租,距离地铁东大桥515米,押1付3,13000,中楼层/13层,125,芳草地西街,精装
整租,距离地铁朝阳门796米,押1付3,22000,中楼层/23层,217,京华豪园,精装
整租,距离地铁朝阳门484米,押2付3,7800,高楼层/18层,65,吉祥里,中装
整租,距离地铁朝阳门796米,押2付3,20000,高楼层/23层,182.06,京华豪园,简装
整租,距离地铁朝阳门710米,押2付3,7000,中楼层/6层,56.5,三丰里小区,中装
整租,距离地铁朝阳门733米,押2付3,8500,中楼层/20层,77,朝阳门南大街,精装
整租,距离地铁朝阳门710米,押1付3,6000,底层/18层,50,三丰里小区,精装
整租,距离地铁朝阳门524米,押2付3,7000,中楼层/24层,58,新金山,精装
朝阳门,距离地铁朝阳门710米,押1付3,7600,顶层/6层,60.4,三丰里小区,其他
整租,距离地铁建国门712米,押1付3,7250,中楼层/20层,80,雅宝路,豪装
朝阳门,距离地铁东大桥755米,押1付3,8000,顶层/5层,49.47,东大桥路,其他
朝阳门,距离地铁东大桥515米,押1付3,3300,中楼层/13层,15,芳草地西街,其他
朝阳门,距离地铁朝阳门859米,押1付3,5500,低楼层/5层,50,朝外市场街,其他
朝阳门,距离地铁朝阳门733米,押1付3,6200,底层/16层,34.67,朝阳门南大街,其他
朝阳门,距离地铁东大桥755米,押1付3,6500,低楼层/14层,39,东大桥路,其他
朝阳门,距离地铁东大桥755米,押1付3,8300,中楼层/14层,61.79,东大桥路,其他
朝阳门,距离地铁东大桥823米,押1付3,9700,低楼层/20层,70.62,日坛上街,其他
整租,距离地铁朝阳门696米,押2付3,30000,低楼层/8层,209.54,唐缘,豪装
整租,距离地铁建国门598米,押2付3,19890,底层/30层,102,华声国际大厦,精装
整租,距离地铁东大桥823米,押2付3,7500,中楼层/20层,48,日坛上街,精装
整租,距离地铁东四十条512米,押2付3,8800,高楼层/7层,58,新中西街,豪装
整租,距离地铁东大桥622米,押2付3,13000,顶层/6层,120,日坛北路,精装
朝阳门,距离地铁朝阳门524米,押1付3,7500,底层/24层,58.24,新金山,其他
整租,距离地铁朝阳门453米,押2付3,19000,中楼层/20层,155.39,蓝筹名座,精装
整租,距离地铁朝阳门696米,押2付3,30000,低楼层/8层,208.86,唐缘,豪装
整租,距离地铁朝阳门484米,押2付3,5800,中楼层/7层,46.1,吉祥里,中装
朝阳门,距离地铁朝阳门710米,押1付3,6300,高楼层/6层,36.21,三丰里小区,其他
整租,距离地铁朝阳门484米,押1付3,2500,低楼层/19层,81.27,吉祥里,中装
朝阳门,距离地铁东大桥515米,押1付3,8500,中楼层/13层,66.6,芳草地西街,其他
整租,距离地铁朝阳门536米,押2付3,11000,中楼层/19层,110,吉庆里,精装
整租,距离地铁东大桥322米,押2付3,8500,底层/6层,70,芳草地北巷,简装
整租,距离地铁朝阳门536米,押2付3,14000,低楼层/9层,145.13,吉庆里,豪装
整租,距离地铁朝阳门524米,押1付3,7500,中楼层/24层,58,新金山,精装
整租,距离地铁东大桥630米,押1付3,7000,中楼层/6层,59,天福园,精装
合租,距离地铁朝阳门536米,押2付3,2800,高楼层/20层,20,吉庆里,精装
整租,距离地铁朝阳门714米,押2付3,21000,高楼层/28层,152,昆泰国际公寓,精装
整租,距离地铁朝阳门796米,押2付3,20000,中楼层/23层,223.5,京华豪园,精装
整租,距离地铁东大桥515米,押2付3,9000,低楼层/5层,50,芳草地西街,精装
整租,距离地铁朝阳门920米,押2付3,7500,顶层/6层,60,雅宝里,精装
整租,距离地铁东大桥515米,押2付3,13000,低楼层/13层,125,芳草地西街,精装
整租,距离地铁朝阳门733米,押2付3,5000,中楼层/20层,58.35,朝阳门南大街,中装
整租,距离地铁东大桥755米,押2付3,1600,低楼层/5层,10,东大桥路,毛坯
整租,距离地铁朝阳门536米,押2付3,12000,底层/9层,115,吉庆里,中装
