chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁望京南747米,押2付3,11000,底层/22层,103.66,宏源公寓,中装
整租,距离地铁望京南930米,押2付3,6000,顶层/18层,75,荧屏里,精装
整租,距离地铁望京南558米,押1付3,5800,中楼层/6层,60,大山子北里,简装
整租,,押2付3,20000,高楼层/26层,276,银枫家园,精装
合租,距离地铁望京南558米,押1付3,1500,中楼层/6层,20,大山子北里,精装
整租,距离地铁望京南558米,押1付3,4500,顶层/4层,40,大山子北里,精装
整租,,押2付3,5000,顶层/5层,45,北窑地,精装
合租,距离地铁望京南510米,押2付3,2200,中楼层/6层,12,大山子西里,中装
整租,,押2付3,12500,底层/9层,139,银枫家园,精装
整租,距离地铁望京南930米,押1付3,6500,高楼层/18层,65,荧屏里,中装
整租,距离地铁望京南930米,押2付3,6200,高楼层/18层,65,荧屏里,中装
合租,距离地铁望京南510米,押1付3,2800,低楼层/6层,20,大山子西里,精装
整租,,押1付3,6000,顶层/6层,70,北窑地,精装
整租,距离地铁望京南558米,押1付3,6500,高楼层/6层,62,大山子北里,精装
整租,,押1付3,5500,底层/5层,55,北窑地,中装
整租,,押2付3,12000,高楼层/9层,137,银枫家园,精装
整租,距离地铁望京南747米,押2付3,45000,顶层/22层,280,宏源公寓,精装
整租,,押2付3,24000,高楼层/26层,254.07,银枫家园,豪装
整租,距离地铁望京南930米,押1付3,5000,中楼层/18层,65,荧屏里,中装
整租,距离地铁将台1210米,押2付3,9000,顶层/8层,113,万红里小区,简装
整租,,押1付3,8000,低楼层/9层,114,银枫家园,精装
整租,距离地铁将台1210米,押1付3,6500,高楼层/8层,78.63,万红里小区,精装
整租,,押1付3,6000,中楼层/6层,60,北窑地,中装
整租,距离地铁将台1210米,押2付3,8500,底层/8层,113,万红里小区,精装
整租,,押2付3,6200,中楼层/6层,56,北窑地,精装
整租,距离地铁望京南558米,押1付3,9500,底层/6层,90,大山子北里,中装
整租,距离地铁望京南558米,押2付3,5500,底层/4层,40,大山子北里,中装
整租,,押2付3,6500,底层/6层,60,北窑地,精装
整租,距离地铁望京南747米,押1付12,7500,高楼层/22层,83.11,宏源公寓,精装
合租,距离地铁望京南930米,押1付3,3000,中楼层/18层,15,荧屏里,精装
整租,,押3付1,139000,底层/3层,1000,银湖别墅,豪装
整租,距离地铁望京南510米,押2付3,3000,顶层/4层,20,大山子西里,简装
距离地铁望京南558米,距离地铁望京南558米,押1付6,5800,底层/6层,63.29,大山子北里,整租
整租,距离地铁望京南510米,押2付3,10000,顶层/3层,150,大山子西里,精装
整租,,押2付3,28000,底层/22层,406,银枫家园,中装
整租,距离地铁望京南558米,押1付3,8000,底层/5层,69,大山子北里,中装
整租,距离地铁望京南510米,押2付3,8000,中楼层/6层,80,大山子西里,中装
大山子,,押1付3,4600,中楼层/5层,28.7,北窑地,其他
合租,距离地铁望京南510米,押2付3,3000,底层/6层,25,大山子西里,中装
,,押1付3,10500,中楼层/9层,138,银枫家园,整租
大山子,距离地铁望京南930米,押1付3,6400,顶层/18层,43.92,荧屏里,其他
大山子,距离地铁将台1210米,押1付3,8700,底层/8层,111.15,万红里小区,其他
大山子,距离地铁望京南510米,押1付3,6200,底层/6层,56,大山子西里,其他
