chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁大郊亭674米,押1付3,14000,低楼层/28层,121,后现代城,精装
整租,距离地铁大郊亭674米,押2付3,11000,中楼层/28层,95,后现代城,简装
整租,距离地铁大郊亭674米,押2付3,9500,高楼层/18层,89,后现代城,精装
整租,距离地铁九龙山365米,押2付3,12500,中楼层/30层,126,珠江帝景B区,精装
整租,距离地铁大郊亭674米,押1付3,11000,低楼层/18层,102,后现代城,精装
整租,距离地铁大郊亭674米,押2付3,8800,低楼层/18层,95,后现代城,精装
整租,距离地铁九龙山490米,押1付3,10000,低楼层/12层,102,风度柏林,精装
整租,距离地铁九龙山490米,押1付3,15800,高楼层/24层,139.72,风度柏林,精装
整租,距离地铁九龙山491米,押2付3,18000,低楼层/18层,150,金港国际,精装
整租,距离地铁九龙山676米,押2付3,8500,中楼层/28层,94,易构空间,精装
整租,距离地铁九龙山365米,押2付3,13500,高楼层/29层,128,珠江帝景B区,精装
整租,距离地铁九龙山676米,押2付3,4200,中楼层/28层,33,易构空间,精装
整租,距离地铁大郊亭674米,押1付3,10000,中楼层/18层,115.62,后现代城,精装
整租,距离地铁九龙山676米,押2付3,4200,中楼层/28层,25,易构空间,精装
整租,距离地铁九龙山240米,押2付3,28000,低楼层/18层,209,复地首府,精装
整租,距离地铁大郊亭674米,押2付3,6000,中楼层/18层,50,后现代城,精装
整租,距离地铁九龙山676米,押2付3,5800,中楼层/24层,40.43,易构空间,精装
整租,距离地铁平乐园327米,押1付3,9800,高楼层/18层,95.75,东方雅苑,精装
整租,距离地铁大郊亭674米,押2付3,5200,高楼层/14层,39,后现代城,精装
整租,距离地铁大郊亭674米,押2付3,5500,底层/3层,16.96,后现代城,精装
整租,距离地铁大郊亭674米,押2付3,12900,高楼层/28层,129,后现代城,精装
整租,距离地铁九龙山365米,押1付3,22000,中楼层/20层,185,珠江帝景B区,精装
整租,距离地铁九龙山491米,押2付3,13000,高楼层/20层,111,金港国际,精装
整租,距离地铁大郊亭674米,押2付3,7500,中楼层/27层,63.89,后现代城,精装
整租,距离地铁九龙山491米,押2付3,8000,中楼层/10层,69.54,金港国际,精装
整租,距离地铁九龙山491米,押2付3,6200,中楼层/11层,46,金港国际,精装
整租,距离地铁九龙山491米,押1付3,14500,低楼层/9层,131.22,金港国际,中装
整租,距离地铁大郊亭674米,押1付3,14000,底层/28层,86.37,后现代城,精装
整租,距离地铁大郊亭674米,押2付3,6000,低楼层/17层,56,后现代城,精装
整租,距离地铁九龙山365米,押1付3,13000,中楼层/29层,123,珠江帝景B区,精装
整租,距离地铁平乐园173米,押2付3,6500,中楼层/6层,72,西大望路65号院,简装
整租,距离地铁大郊亭674米,押2付3,12500,底层/28层,78.48,后现代城,精装
整租,距离地铁大郊亭674米,押2付3,10000,低楼层/17层,97,后现代城,中装
整租,距离地铁九龙山491米,押2付3,11000,高楼层/10层,112,金港国际,精装
整租,距离地铁大郊亭674米,押2付3,11300,中楼层/18层,128,后现代城,精装
整租,距离地铁九龙山490米,押2付3,17000,中楼层/18层,162.91,风度柏林,豪装
整租,距离地铁九龙山495米,押2付3,15000,低楼层/18层,144,珠江帝景E区,精装
整租,距离地铁九龙山355米,押2付3,30000,高楼层/11层,180,乐成公馆,精装
整租,距离地铁九龙山490米,押2付3,7500,中楼层/28层,68,风度柏林,精装
整租,距离地铁九龙山676米,押2付3,7500,高楼层/28层,73,易构空间,精装
整租,距离地铁九龙山490米,押2付3,10000,中楼层/28层,100,风度柏林,精装
整租,距离地铁九龙山676米,押2付3,6500,中楼层/28层,53,易构空间,精装
整租,距离地铁九龙山271米,押2付3,9000,低楼层/16层,70,乐成豪丽,精装
大望路,距离地铁大郊亭674米,押1付3,9400,中楼层/17层,108,后现代城,其他
整租,距离地铁九龙山491米,押2付3,75000,底层/10层,108.93,金港国际,精装
整租,距离地铁大郊亭674米,押1付3,26000,中楼层/11层,127.46,后现代城,精装
大望路,距离地铁九龙山491米,押1付3,6300,中楼层/22层,60,金港国际,其他
大望路,距离地铁大郊亭674米,押1付3,5500,高楼层/20层,52,后现代城,其他
大望路,距离地铁大郊亭674米,押1付3,8700,高楼层/17层,83,后现代城,其他
整租,距离地铁九龙山240米,押2付3,85000,中楼层/5层,377.91,复地首府,精装
整租,距离地铁九龙山676米,押2付3,13000,底层/17层,126,易构空间,精装
整租,距离地铁九龙山491米,押2付3,28000,高楼层/20层,180,金港国际,豪装
整租,距离地铁九龙山355米,押2付3,42000,高楼层/11层,258,乐成公馆,精装
整租,距离地铁大郊亭674米,押2付3,6000,底层/3层,11.71,后现代城,中装
整租,距离地铁大郊亭674米,押2付3,7000,底层/20层,65,后现代城,精装
整租,距离地铁大郊亭856米,押2付3,22000,底层/32层,168,万科蓝山,精装
整租,距离地铁九龙山491米,押2付3,75000,底层/10层,82.62,金港国际,精装
整租,距离地铁九龙山365米,押1付3,17000,高楼层/29层,162,珠江帝景B区,精装
整租,距离地铁大望路635米,押2付3,5500,中楼层/7层,43.41,西大望路北小区,中装
整租,距离地铁九龙山505米,押2付3,21000,低楼层/19层,189,珠江帝景C区,精装
整租,距离地铁九龙山365米,押2付3,20000,中楼层/20层,166,珠江帝景B区,精装
整租,距离地铁大郊亭856米,押2付3,23000,高楼层/25层,166.59,万科蓝山,精装
整租,距离地铁大望路635米,押1付3,4500,底层/7层,45,西大望路北小区,中装
整租,距离地铁九龙山365米,押2付3,22000,高楼层/30层,220,珠江帝景B区,精装
大望路,距离地铁九龙山262米,押1付3,9500,中楼层/19层,86.88,大旸楼,其他
大望路,距离地铁平乐园327米,押1付3,4700,中楼层/28层,32.89,东方雅苑,其他
大望路,距离地铁大郊亭674米,押1付3,6900,低楼层/18层,64.09,后现代城,其他
距离地铁九龙山302米,距离地铁九龙山302米,押1付3,7000,高楼层/16层,68,石韵浩庭,整租
大望路,距离地铁九龙山271米,押1付3,9300,低楼层/18层,68.97,乐成豪丽,其他
大望路,距离地铁大望路349米,押1付3,5000,底层/6层,48.36,西大望路12号院,其他
大望路,距离地铁大郊亭674米,押1付3,11500,高楼层/18层,99.2,后现代城,其他
大望路,距离地铁平乐园327米,押1付3,5200,低楼层/22层,50,东方雅苑,其他
大望路,距离地铁九龙山676米,押1付3,7000,中楼层/28层,80,易构空间,其他
大望路,距离地铁平乐园327米,押1付3,5200,底层/25层,48.37,东方雅苑,其他
大望路,距离地铁九龙山490米,押1付3,7200,中楼层/26层,72,风度柏林,其他
大望路,距离地铁大郊亭674米,押1付3,7300,低楼层/18层,68,后现代城,其他
大望路,距离地铁大郊亭674米,押1付3,5700,中楼层/18层,46.39,后现代城,其他
大望路,距离地铁大郊亭674米,押1付3,9000,中楼层/28层,85.7,后现代城,其他
大望路,距离地铁八里桥587米,押1付3,3700,底层/6层,49.16,铁路宿舍,其他
