chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁青年路613米,押2付3,26000,高楼层/26层,260,天鹅湾南区,豪装
整租,距离地铁青年路613米,押2付3,14000,低楼层/22层,140.92,天鹅湾南区,中装
整租,距离地铁青年路613米,押1付3,30000,中楼层/26层,293,天鹅湾南区,精装
整租,距离地铁青年路613米,押1付3,11000,低楼层/25层,87,天鹅湾南区,精装
整租,距离地铁青年路613米,押2付3,25000,中楼层/18层,138,天鹅湾南区,豪装
整租,距离地铁青年路613米,押2付3,14000,中楼层/23层,119,天鹅湾南区,豪装
整租,距离地铁青年路613米,押2付3,25000,底层/25层,136.46,天鹅湾南区,中装
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,3800,高楼层/26层,28,首开熙悦尚郡,合租
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,2800,高楼层/25层,20,首开熙悦尚郡,合租
大悦城,距离地铁青年路1491米,押1付3,15500,中楼层/25层,139.81,首开熙悦尚郡,其他
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,2900,中楼层/26层,24,首开熙悦尚郡,合租
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,2900,中楼层/25层,18,首开熙悦尚郡,合租
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,2900,中楼层/25层,20,首开熙悦尚郡,合租
,,押1付3,2600,底层/10层,15,金隅凤麟洲西区,合租
,,押1付3,2600,底层/10层,18,金隅凤麟洲西区,合租
距离地铁青年路1491米,距离地铁青年路1491米,押1付12,2500,中楼层/25层,15,首开熙悦尚郡,合租
大悦城,距离地铁青年路1491米,押1付3,12800,中楼层/24层,136,首开熙悦尚郡,其他
大悦城,距离地铁青年路1491米,押1付3,14000,低楼层/25层,140.05,首开熙悦尚郡,其他
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,2900,高楼层/26层,17,首开熙悦尚郡,合租
大悦城,距离地铁青年路613米,押1付3,17000,中楼层/16层,85.39,天鹅湾南区,其他
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,2400,高楼层/26层,14,首开熙悦尚郡,合租
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,2800,高楼层/26层,15,首开熙悦尚郡,合租
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,3700,高楼层/26层,24,首开熙悦尚郡,合租
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,3200,高楼层/26层,16,首开熙悦尚郡,合租
大悦城,距离地铁青年路392米,押1付3,4200,中楼层/17层,20,珠江罗马嘉园东区,其他
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,2900,高楼层/26层,20,首开熙悦尚郡,合租
整租,距离地铁青年路613米,押2付3,25000,底层/25层,180,天鹅湾南区,中装
整租,距离地铁青年路613米,押2付6,25000,高楼层/25层,224,天鹅湾南区,精装
整租,距离地铁青年路613米,押1付3,25000,中楼层/16层,250,天鹅湾南区,精装
整租,距离地铁青年路613米,押2付3,25000,中楼层/27层,227.3,天鹅湾南区,精装
整租,距离地铁青年路613米,押1付3,35000,低楼层/14层,201.9,天鹅湾南区,精装
整租,距离地铁青年路613米,押2付3,16000,高楼层/25层,137,天鹅湾南区,精装
整租,距离地铁青年路613米,押2付3,20000,高楼层/23层,167,天鹅湾南区,豪装
整租,距离地铁青年路392米,押1付3,12000,高楼层/22层,119,珠江罗马嘉园东区,精装
大悦城,距离地铁青年路613米,押1付3,8200,高楼层/15层,39.86,天鹅湾南区,其他
大悦城,距离地铁青年路613米,押1付3,7800,高楼层/15层,37.66,天鹅湾南区,其他
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,2800,低楼层/24层,18,首开熙悦尚郡,合租
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,2800,底层/26层,15,首开熙悦尚郡,合租
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,2200,底层/26层,10,首开熙悦尚郡,合租
大悦城,距离地铁青年路613米,押1付12,12000,中楼层/15层,73.12,天鹅湾南区,其他
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,2800,低楼层/25层,25,首开熙悦尚郡,合租
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,3300,高楼层/25层,30,首开熙悦尚郡,合租
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,3300,高楼层/25层,30,首开熙悦尚郡,合租
距离地铁青年路1491米,距离地铁青年路1491米,押1付3,3000,低楼层/25层,25,首开熙悦尚郡,合租
整租,距离地铁青年路613米,押1付3,29000,高楼层/11层,350,天鹅湾南区,精装
整租,距离地铁青年路613米,押2付3,27000,中楼层/17层,270,天鹅湾南区,精装
