chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁褡裢坡702米,押2付3,4600,高楼层/6层,57.32,定福庄北里1号院,中装
合租,距离地铁褡裢坡702米,押2付3,2200,高楼层/6层,60,定福庄北里1号院,精装
整租,距离地铁传媒大学566米,押2付3,6000,高楼层/18层,60,花园闸北里小区,精装
整租,距离地铁传媒大学1006米,押2付3,5000,高楼层/16层,55,妇联小区,精装
整租,距离地铁褡裢坡835米,押2付3,5000,顶层/5层,60,北齿宿舍,中装
整租,距离地铁褡裢坡1103米,押1付3,4500,低楼层/12层,67,东领鉴筑,精装
整租,距离地铁传媒大学766米,押2付3,7000,中楼层/27层,95,聚福苑,中装
整租,距离地铁褡裢坡584米,押1付3,6100,中楼层/6层,79,美然动力街区A3,精装
整租,距离地铁褡裢坡761米,押1付3,3500,顶层/6层,45,定福庄北里2号院,简装
整租,距离地铁褡裢坡771米,押1付3,6800,低楼层/6层,85,福怡苑北区,精装
合租,距离地铁传媒大学497米,押2付3,2000,中楼层/6层,70,电建南院,中装
整租,距离地铁褡裢坡702米,押1付3,5800,中楼层/6层,71,定福庄北里1号院,精装
合租,距离地铁黄渠650米,押2付3,2000,低楼层/27层,18,泰福苑,简装
整租,距离地铁褡裢坡771米,押1付3,7800,底层/6层,95,福怡苑北区,精装
整租,距离地铁传媒大学1006米,押2付3,3800,中楼层/6层,50,金星小区,中装
整租,距离地铁常营924米,押1付3,4500,中楼层/5层,55,三间房东路,中装
整租,距离地铁褡裢坡584米,押2付3,5000,中楼层/6层,55,美然动力街区A3,精装
整租,距离地铁传媒大学544米,押2付3,3600,顶层/5层,50,定福庄南里3号院,简装
整租,距离地铁褡裢坡771米,押1付3,4500,中楼层/6层,60,福怡苑北区,中装
合租,距离地铁褡裢坡611米,押1付3,2900,高楼层/20层,60,福盈家园4号院,豪装
整租,距离地铁传媒大学387米,押1付3,5500,中楼层/18层,80,定福庄西街,精装
合租,距离地铁褡裢坡761米,押1付3,2500,中楼层/6层,20,定福庄北里2号院,精装
整租,距离地铁传媒大学1116米,押2付3,6200,中楼层/24层,104,绿岛苑西区,中装
整租,距离地铁传媒大学894米,押2付3,5000,高楼层/6层,55,三间房南里7号院,精装
整租,距离地铁褡裢坡426米,押2付3,4500,低楼层/21层,98.53,定福家园南里2号院,精装
整租,距离地铁传媒大学566米,押2付3,4800,高楼层/6层,60,花园闸北里小区,精装
整租,距离地铁传媒大学566米,押1付3,4300,中楼层/6层,57,花园闸北里小区,中装
整租,距离地铁传媒大学566米,押1付3,4200,低楼层/6层,45,花园闸北里小区,精装
整租,距离地铁褡裢坡835米,押2付3,4700,低楼层/6层,60,北齿宿舍,精装
整租,距离地铁传媒大学1006米,押1付3,4000,底层/6层,60,金星小区,精装
合租,距离地铁双桥776米,押2付3,1800,低楼层/6层,18,三间房南里4号院,简装
合租,距离地铁褡裢坡806米,押2付3,2500,高楼层/6层,20,天泰定福苑,精装
整租,距离地铁传媒大学1006米,押2付3,5800,中楼层/16层,65,妇联小区,精装
整租,距离地铁传媒大学566米,押1付3,4500,高楼层/6层,58,花园闸北里小区,中装
定福庄,距离地铁褡裢坡1040米,押1付3,5400,低楼层/18层,90,金福家园,其他
整租,距离地铁褡裢坡830米,押2付3,17000,顶层/8层,175,鲁班大厦,精装
距离地铁褡裢坡1040米,距离地铁褡裢坡1040米,押1付3,2500,高楼层/18层,23,金福家园,合租
合租,距离地铁褡裢坡313米,押2付3,2500,中楼层/9层,170,定福景园,精装
整租,距离地铁褡裢坡350米,押2付3,2800,低楼层/10层,40,福盈家园1号院,精装
定福庄,距离地铁传媒大学1006米,押1付3,4500,底层/8层,70,妇联小区,其他
整租,距离地铁褡裢坡181米,押1付3,7800,底层/21层,110,定福家园南里3号院,精装
整租,距离地铁褡裢坡771米,押2付3,5000,高楼层/6层,60,福怡苑北区,中装
整租,距离地铁传媒大学785米,押2付3,5500,底层/6层,68,电建北院,精装
整租,距离地铁黄渠650米,押2付3,6300,高楼层/27层,90,泰福苑,精装
整租,距离地铁传媒大学719米,押2付3,5600,中楼层/6层,58,定福庄东街,精装
整租,距离地铁褡裢坡806米,押2付3,6500,底层/18层,89,天泰定福苑,中装
合租,距离地铁传媒大学580米,押2付3,2200,低楼层/19层,25,定福庄南里4号院,精装
整租,距离地铁传媒大学1006米,押1付3,4800,中楼层/6层,70,妇联小区,中装
定福庄,距离地铁常营924米,押1付3,4900,底层/5层,60,三间房东路,其他
定福庄,距离地铁褡裢坡702米,押1付3,5600,高楼层/6层,67,定福庄北里1号院,其他
定福庄,距离地铁褡裢坡761米,押1付3,1700,低楼层/6层,16,定福庄北里2号院,其他
整租,距离地铁褡裢坡830米,押2付3,24000,高楼层/8层,280,鲁班大厦,精装
定福庄,距离地铁褡裢坡835米,押1付3,5300,高楼层/21层,80,北齿宿舍,其他
电话预约,距离地铁黄渠576米,押1付3,16700,低楼层/16层,144.62,定福家园南里1号院,中装
定福庄,距离地铁褡裢坡702米,押1付3,5600,低楼层/6层,57.94,定福庄北里1号院,其他
定福庄,距离地铁传媒大学387米,押1付3,5600,底层/6层,52.88,定福庄西街,其他
定福庄,距离地铁褡裢坡806米,押1付3,4300,中楼层/6层,55.92,天泰定福苑,其他
