chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,5200,中楼层/6层,76,红松园,豪装
整租,,押2付3,7800,中楼层/6层,96,首开常青藤三期,精装
整租,,押2付3,4900,中楼层/20层,80,金泰丽富,中装
整租,,押1付3,5200,高楼层/21层,80,金隅景和园,中装
整租,,押2付3,6500,低楼层/21层,95,朝新嘉园西里,中装
整租,,押2付3,5200,高楼层/17层,80,金泰丽富,精装
整租,,押1付3,10000,底层/9层,126,奥林匹克花园三期,简装
整租,,押1付3,4800,中楼层/21层,70,金隅景和园,精装
整租,,押2付3,5500,顶层/21层,86,东泽园,中装
整租,,押1付3,5500,高楼层/21层,80,朝新嘉园西里,精装
整租,,押2付3,5200,中楼层/21层,87.27,金隅景和园,精装
整租,,押2付3,5000,顶层/6层,76,朝阳新城一区,中装
整租,,押2付3,5000,中楼层/21层,85,金隅景和园,精装
整租,,押2付3,9500,中楼层/8层,150,奥林匹克花园三期,精装
整租,,押1付3,4800,低楼层/21层,87,金隅景和园,中装
整租,,押2付3,6300,低楼层/29层,88,恒大江湾,中装
整租,,押2付3,6200,中楼层/6层,105,朝阳新城二区,中装
整租,,押1付3,6700,低楼层/29层,89,汇景苑,精装
整租,,押2付3,23000,顶层/9层,220,奥林匹克花园四期,豪装
整租,,押2付3,8500,中楼层/9层,123,奥林匹克花园三期,精装
整租,,押2付3,11000,中楼层/9层,150,奥林匹克花园三期,精装
整租,,押2付3,11000,低楼层/12层,120,利锦府,精装
整租,,押1付3,5300,高楼层/20层,80,金泰丽富,精装
整租,,押1付3,9200,低楼层/9层,135,奥林匹克花园四期,精装
整租,,押2付3,6200,中楼层/21层,90,金隅景和园,精装
整租,,押1付3,7800,高楼层/9层,110,奥林匹克花园三期,精装
整租,,押1付3,6200,高楼层/21层,90,金隅景和园,精装
整租,,押2付3,7200,中楼层/6层,130.2,朝阳新城三区,精装
整租,,押2付3,6500,高楼层/21层,90,金隅景和园,精装
整租,,押1付3,13000,底层/8层,160,奥林匹克花园三期,精装
整租,,押2付3,6000,低楼层/21层,90,金隅景和园,精装
整租,,押2付3,13500,底层/9层,160,首开常青藤一期,豪装
整租,,押2付3,5000,中楼层/21层,80,朝新嘉园西里,精装
整租,,押2付3,7500,中楼层/6层,125,朝阳新城二区,精装
整租,,押2付3,5200,高楼层/21层,77,金隅景和园,中装
整租,,押2付3,4500,顶层/12层,65,上东上品,精装
整租,,押2付3,8500,中楼层/6层,92.34,首开常青藤一期,精装
整租,,押1付3,5000,低楼层/28层,80,朝新嘉园西里,精装
整租,,押2付3,4000,高楼层/18层,60,东泽园,精装
整租,,押2付3,6000,低楼层/21层,90,龙湖天璞,中装
整租,,押1付3,7000,中楼层/21层,90,金泰丽富,精装
整租,,押2付3,5500,顶层/21层,93,东泽园,精装
整租,,押1付3,16000,高楼层/9层,131,龙湖天璞,精装
整租,,押2付3,4300,顶层/6层,60,高杨树南里,简装
整租,,押2付3,4800,低楼层/17层,80,金泰丽富,中装
整租,,押2付3,4500,中楼层/30层,87,金隅景和园,精装
整租,,押2付3,15000,底层/9层,200,奥林匹克花园三期,中装
整租,,押2付3,5200,低楼层/21层,78,朝新嘉园西里,精装
整租,,押2付3,7800,中楼层/8层,119,富北嘉园,精装
整租,,押1付3,8000,高楼层/6层,88,首开常青藤四期,精装
整租,,押1付3,5500,低楼层/28层,85,恒大江湾,中装
整租,,押1付3,4600,低楼层/21层,80,金泽家园,精装
整租,,押2付3,7500,中楼层/6层,120,朝阳新城五区,精装
整租,,押2付3,4800,高楼层/6层,88,朝阳新城五区,简装
整租,,押1付3,5800,低楼层/10层,55,利锦府,精装
整租,,押1付3,3500,顶层/6层,58,康静里,中装
整租,,押2付3,5000,中楼层/21层,83,金泽家园,精装
整租,,押1付3,5500,低楼层/29层,87,汇景苑,中装
整租,,押2付3,6200,中楼层/22层,89,恒大江湾,精装
整租,,押2付3,4000,中楼层/9层,57,上东上品,中装
整租,,押2付3,5000,顶层/6层,77,朝阳新城二区,中装
东坝,,押1付3,6000,中楼层/6层,106.79,红松园1号内,其他
东坝,,押1付3,6000,中楼层/21层,80.21,利锦府,其他
整租,,押2付3,7500,顶层/9层,73,奥林匹克花园四期,精装
东坝,,押1付3,13000,中楼层/9层,179.31,奥林匹克花园四期,其他
东坝,,押1付3,4000,高楼层/6层,61.31,朝阳新城三区,其他
东坝,,押1付3,5100,低楼层/21层,68.02,华纺星海家园,其他
东坝,,押1付3,8200,低楼层/9层,126.57,奥林匹克花园三期,其他
