chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁金台夕照477米,押2付3,40000,低楼层/30层,188.55,新城国际,精装
整租,距离地铁东大桥532米,押1付3,6500,中楼层/18层,45,工体南路,精装
整租,距离地铁呼家楼497米,押2付3,8500,中楼层/6层,65,核桃园北里,精装
整租,距离地铁金台夕照190米,押2付3,35000,中楼层/45层,162,北京财富中心,精装
整租,距离地铁金台夕照477米,押2付3,25000,低楼层/25层,131.34,新城国际,精装
合租,距离地铁东大桥151米,押1付3,7500,中楼层/5层,15,工体东路,中装
整租,距离地铁呼家楼259米,押2付3,8300,低楼层/25层,75,向军南里,精装
整租,距离地铁呼家楼497米,押1付3,6000,中楼层/20层,55,核桃园北里,中装
整租,距离地铁东大桥151米,押1付3,8000,中楼层/5层,60,工体东路,精装
整租,距离地铁东大桥532米,押2付3,5500,底层/18层,40,工体南路,精装
整租,距离地铁东大桥202米,押2付3,8500,顶层/6层,80,农丰里,精装
整租,距离地铁呼家楼259米,押2付3,10000,低楼层/25层,90,向军南里,精装
整租,距离地铁呼家楼211米,押2付3,7500,高楼层/18层,69,向军北里,精装
整租,距离地铁东大桥202米,押2付3,5700,高楼层/6层,50,农丰里,精装
整租,距离地铁东大桥151米,押1付3,7500,顶层/5层,64,工体东路,中装
整租,距离地铁东大桥305米,押2付3,6000,中楼层/10层,60,东大桥东里,毛坯
整租,距离地铁呼家楼497米,押2付3,11800,顶层/6层,96.2,核桃园北里,精装
整租,距离地铁呼家楼497米,押2付3,7800,高楼层/18层,71.33,核桃园北里,中装
整租,距离地铁呼家楼389米,押2付3,30000,中楼层/7层,224,世茂宫园,豪装
整租,距离地铁呼家楼497米,押2付3,8500,顶层/6层,70,核桃园北里,中装
整租,距离地铁呼家楼497米,押1付3,6400,低楼层/18层,45,核桃园北里,精装
整租,距离地铁金台夕照477米,押2付3,25000,中楼层/36层,126,新城国际,精装
整租,距离地铁呼家楼497米,押2付3,7500,底层/6层,60,核桃园北里,精装
合租,距离地铁呼家楼400米,押2付3,2800,高楼层/18层,12,关东店北街,中装
整租,距离地铁呼家楼211米,押2付3,7000,高楼层/18层,56,向军北里,中装
整租,距离地铁呼家楼211米,押1付3,7500,中楼层/5层,60,向军北里,精装
整租,距离地铁呼家楼211米,押1付3,16000,底层/18层,60,向军北里,中装
东大桥,距离地铁东大桥305米,押1付3,6000,底层/6层,60,东大桥东里,其他
东大桥,距离地铁东大桥305米,押1付3,8500,底层/6层,63.14,东大桥东里,其他
合租,距离地铁呼家楼211米,押2付3,5500,底层/18层,50,向军北里,豪装
合租,距离地铁呼家楼400米,押2付3,2800,高楼层/6层,15,关东店北街,中装
整租,距离地铁呼家楼259米,押2付3,1000,中楼层/6层,20,向军南里,中装
合租,距离地铁呼家楼411米,押1付3,2500,低楼层/4层,15,关东店,中装
整租,距离地铁呼家楼211米,押1付3,5700,中楼层/15层,50,向军北里,简装
整租,距离地铁呼家楼497米,押1付3,5500,中楼层/6层,45,核桃园北里,中装
距离地铁呼家楼497米,距离地铁呼家楼497米,押1付3,8100,高楼层/20层,85,核桃园北里,整租
合租,距离地铁呼家楼259米,押2付3,1300,低楼层/6层,9,向军南里,中装
东大桥,距离地铁东大桥151米,押1付3,7500,顶层/5层,47.89,工体东路,其他
整租,距离地铁呼家楼389米,押1付3,30000,高楼层/30层,210,世茂宫园,豪装
东大桥,距离地铁呼家楼497米,押1付3,9200,底层/20层,70.57,核桃园北里,其他
距离地铁呼家楼211米,距离地铁呼家楼211米,押1付3,7800,中楼层/5层,50,向军北里,整租
东大桥,距离地铁东大桥305米,押1付3,7500,中楼层/6层,59.07,东大桥东里,其他
东大桥,距离地铁东大桥402米,押1付3,7500,中楼层/24层,58,复地国际公寓,其他
整租,距离地铁呼家楼211米,押2付3,6500,高楼层/6层,50,向军北里,精装
东大桥,距离地铁呼家楼497米,押1付3,3500,低楼层/20层,20,核桃园北里,其他
东大桥,距离地铁呼家楼400米,押1付3,8500,底层/15层,63.76,关东店北街,其他
整租,距离地铁呼家楼400米,押2付3,8500,中楼层/15层,75,关东店北街,精装
整租,距离地铁呼家楼211米,押2付3,3500,低楼层/5层,65,向军北里,中装
合租,距离地铁呼家楼211米,押2付3,3600,高楼层/18层,20,向军北里,精装
整租,距离地铁永安里747米,押2付3,42000,中楼层/35层,262,世贸国际公寓,精装
整租,距离地铁金台夕照477米,押1付3,30000,低楼层/33层,165,新城国际,精装
整租,距离地铁金台夕照477米,押2付3,40000,低楼层/36层,180,新城国际,精装
整租,距离地铁金台夕照477米,押2付3,20000,中楼层/31层,76,新城国际,中装
整租,距离地铁东大桥151米,押1付3,5800,中楼层/22层,48,工体东路,中装
合租,距离地铁呼家楼211米,押2付3,3500,顶层/6层,20,向军北里,精装
整租,距离地铁呼家楼211米,押1付3,21000,中楼层/14层,169.8,向军北里,精装
整租,距离地铁东大桥151米,押1付3,8000,底层/5层,60,工体东路,精装
整租,距离地铁呼家楼497米,押2付3,8800,中楼层/20层,75,核桃园北里,精装
整租,距离地铁东大桥532米,押1付3,5800,低楼层/18层,45,工体南路,中装
整租,距离地铁东大桥305米,押2付3,7500,中楼层/6层,60,东大桥东里,中装
整租,距离地铁东大桥305米,押2付3,3200,中楼层/6层,65,东大桥东里,精装
整租,距离地铁东大桥151米,押1付3,7900,顶层/5层,50,工体东路,精装
整租,距离地铁呼家楼211米,押2付3,8300,低楼层/14层,65.57,向军北里,精装
