chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁焦化厂1377米,押2付3,3200,低楼层/18层,89,恒大御景湾,豪装
整租,距离地铁焦化厂1377米,押1付3,5800,高楼层/20层,89,恒大御景湾,精装
整租,,押1付3,6000,低楼层/27层,90,富力又一城C区,精装
整租,,押2付3,4300,中楼层/18层,80,朝丰家园8号院,精装
整租,,押1付3,4600,低楼层/18层,74,朝丰家园8号院,精装
整租,距离地铁焦化厂1377米,押1付3,5800,中楼层/20层,90,恒大御景湾,精装
整租,,押2付3,3500,低楼层/21层,47,富力又一城C区,精装
整租,距离地铁焦化厂1377米,押1付3,6000,中楼层/18层,90,恒大御景湾,精装
整租,,押2付3,3500,低楼层/18层,54,朝丰家园8号院,中装
整租,,押2付3,4500,中楼层/18层,80,朝丰家园6号院,精装
整租,,押1付3,4400,高楼层/16层,80,朝丰家园15号院,精装
整租,,押2付3,5600,高楼层/27层,90,富力又一城C区,豪装
整租,距离地铁焦化厂1377米,押1付3,5500,低楼层/18层,90,恒大御景湾,精装
整租,,押1付3,7500,低楼层/26层,139,富力又一城A区,精装
整租,,押2付3,14000,高楼层/6层,176,京城雅居,精装
整租,,押2付3,16000,中楼层/5层,300,京城雅居,精装
整租,,押2付3,4500,中楼层/18层,80,朝丰家园6号院,精装
整租,,押1付3,4500,中楼层/18层,79,朝丰家园8号院,中装
整租,,押1付3,5300,中楼层/23层,81.76,富力又一城B区,精装
整租,距离地铁焦化厂1377米,押2付3,5200,中楼层/18层,90,恒大御景湾,精装
整租,,押2付3,5600,底层/21层,100,富力又一城B区,精装
整租,,押2付3,14000,中楼层/4层,250,京城雅居,精装
整租,,押2付3,7000,高楼层/26层,123,富力又一城B区,精装
整租,,押2付3,3900,中楼层/18层,50,朝丰家园6号院,精装
整租,,押2付3,4300,高楼层/18层,80,朝丰家园8号院,精装
整租,,押1付3,4300,低楼层/16层,85,朝丰家园8号院,精装
整租,,押2付3,5000,中楼层/18层,110,朝丰家园6号院,精装
整租,,押2付3,12000,底层/1层,37.69,扬州水乡,精装
整租,,押2付3,4500,中楼层/18层,80,朝丰家园15号院,简装
整租,,押2付3,3800,低楼层/21层,50,富力又一城C区,精装
整租,,押2付3,4300,高楼层/16层,80,朝丰家园15号院,精装
整租,,押2付3,11000,中楼层/6层,200,京城雅居,精装
整租,,押2付3,5000,高楼层/21层,91,富力又一城B区,中装
整租,,押2付3,3500,低楼层/15层,60,怡景城花园,精装
豆各庄,距离地铁焦化厂1377米,押1付3,4800,高楼层/19层,89.74,恒大御景湾,其他
整租,,押2付3,4300,中楼层/18层,80,朝丰家园8号院,精装
豆各庄,,押1付3,4500,低楼层/28层,79.48,青荷里南山园,其他
整租,,押2付3,17000,中楼层/4层,205,京城雅居,中装
豆各庄,距离地铁焦化厂1300米,押1付3,3800,低楼层/13层,57.89,恒大领寓,其他
整租,,押2付3,15000,中楼层/6层,206,京城雅居,精装
整租,,押2付3,30000,底层/4层,400,京城雅居,精装
整租,距离地铁焦化厂1300米,押1付3,4300,低楼层/13层,53,恒大领寓,精装
合租,,押2付3,13000,顶层/3层,290,扬州水乡,毛坯
整租,,押1付3,22000,底层/1层,291,扬州水乡,精装
整租,距离地铁焦化厂1300米,押2付3,5500,低楼层/13层,54,恒大领寓,中装
整租,,押1付3,4500,底层/18层,73,朝丰家园8号院,精装
整租,,押2付3,4500,中楼层/18层,80,朝丰家园8号院,简装
整租,,押2付3,15000,底层/30层,237,富力又一城C区,精装
整租,距离地铁焦化厂1300米,押1付3,4500,低楼层/19层,53,恒大领寓,精装
