chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁欢乐谷景区1194米,押1付3,4500,中楼层/5层,61,垡头西里,中装
整租,距离地铁双合288米,押2付3,5000,中楼层/24层,90,双合家园,精装
整租,距离地铁欢乐谷景区587米,押1付3,9500,中楼层/16层,106,格林莱雅,精装
整租,距离地铁双合288米,押1付3,5300,高楼层/24层,84,双合家园,精装
整租,距离地铁欢乐谷景区735米,押2付3,4500,高楼层/7层,72,金蝉北里,精装
整租,距离地铁欢乐谷景区735米,押2付3,3900,高楼层/18层,61.51,金蝉北里,精装
整租,距离地铁双合288米,押2付3,6500,高楼层/24层,91.06,双合家园,精装
整租,距离地铁欢乐谷景区735米,押1付3,4100,中楼层/18层,61,金蝉北里,中装
整租,距离地铁欢乐谷景区547米,押1付3,6000,高楼层/25层,81,金蝉南里,精装
整租,距离地铁双合288米,押2付3,5600,中楼层/24层,90,双合家园,精装
整租,,押2付3,5000,底层/28层,76,祈东家园二期,精装
整租,距离地铁双合288米,押1付3,4500,底层/24层,55,双合家园,精装
整租,距离地铁双合288米,押2付3,5000,中楼层/24层,90,双合家园,精装
整租,距离地铁焦化厂363米,押2付3,5200,高楼层/28层,85,祈东家园一期,精装
整租,距离地铁焦化厂363米,押1付3,4800,中楼层/28层,80,祈东家园一期,精装
整租,距离地铁欢乐谷景区1194米,押2付3,4500,中楼层/6层,65,垡头西里,精装
整租,距离地铁欢乐谷景区1194米,押2付3,3700,高楼层/6层,48,垡头西里,精装
整租,距离地铁双合288米,押2付3,4700,高楼层/24层,90,双合家园,精装
合租,距离地铁欢乐谷景区547米,押2付3,2000,底层/25层,85,金蝉南里,精装
整租,距离地铁欢乐谷景区1194米,押2付3,4500,顶层/6层,55,垡头西里,精装
整租,距离地铁双合288米,押2付3,5000,中楼层/24层,90,双合家园,精装
整租,距离地铁欢乐谷景区547米,押2付3,10000,中楼层/25层,118,金蝉南里,简装
整租,,押1付3,5300,低楼层/28层,81,祈东家园二期,精装
整租,距离地铁双合288米,押2付3,5200,中楼层/24层,87,双合家园,精装
整租,距离地铁双合288米,押2付3,7000,高楼层/24层,90,双合家园,豪装
合租,距离地铁欢乐谷景区639米,押2付3,3500,底层/6层,25,金蝉里,精装
