chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁四惠东358米,押2付3,4500,低楼层/6层,45,康家园,中装
整租,距离地铁四惠东358米,押2付3,4500,中楼层/6层,45,康家园,中装
整租,距离地铁四惠东726米,押1付3,6500,中楼层/25层,80,都市经典家园,简装
整租,距离地铁四惠东726米,押1付3,6500,中楼层/25层,65,都市经典家园,精装
整租,距离地铁四惠东716米,押2付3,5500,顶层/7层,55,甘露园南里二区,精装
整租,距离地铁四惠东726米,押2付3,5500,高楼层/13层,49.15,都市经典家园,精装
距离地铁十里堡889米,距离地铁十里堡889米,押1付3,4800,顶层/16层,38,天天朝阳,电话预约
整租,距离地铁十里堡889米,押1付3,4800,中楼层/16层,38,天天朝阳,中装
整租,距离地铁青年路542米,押2付3,10000,低楼层/31层,125,朝阳园,中装
整租,距离地铁四惠东716米,押2付3,7500,顶层/18层,99,甘露园南里二区,中装
整租,距离地铁青年路542米,押1付3,25000,高楼层/35层,250,朝阳园,精装
整租,距离地铁青年路542米,押2付3,8800,低楼层/31层,112.32,朝阳园,精装
整租,距离地铁青年路542米,押2付3,13000,低楼层/35层,125,朝阳园,精装
整租,距离地铁青年路835米,押2付3,6500,中楼层/16层,80,丽景馨居,中装
合租,距离地铁青年路813米,押1付3,2500,底层/22层,18,甘露晴苑,中装
整租,距离地铁四惠东358米,押2付3,4600,低楼层/6层,50,康家园,中装
整租,距离地铁四惠东358米,押2付3,6000,中楼层/6层,68,康家园,中装
整租,距离地铁四惠东757米,押2付3,6000,高楼层/7层,60,甘露园南里一区,中装
整租,距离地铁四惠东716米,押2付3,6000,底层/6层,65,甘露园南里二区,中装
整租,距离地铁四惠东358米,押2付3,6200,中楼层/6层,75,康家园,中装
合租,距离地铁青年路813米,押2付3,2600,低楼层/22层,20,甘露晴苑,中装
合租,距离地铁青年路478米,押2付3,2500,中楼层/16层,15,新九楼,简装
整租,距离地铁四惠东716米,押1付3,5500,高楼层/6层,65,甘露园南里二区,简装
整租,距离地铁四惠东757米,押2付3,4600,中楼层/6层,45,甘露园南里一区,中装
整租,距离地铁青年路542米,押2付3,10000,中楼层/35层,122,朝阳园,中装
整租,距离地铁四惠东726米,押2付3,7500,中楼层/24层,83.95,都市经典家园,中装
整租,距离地铁四惠东757米,押1付3,4600,中楼层/6层,49.94,甘露园南里一区,中装
合租,距离地铁青年路847米,押1付3,3600,高楼层/25层,25,朝阳无限,中装
甘露园,距离地铁四惠东358米,押1付3,4600,中楼层/6层,42.72,康家园,其他
整租,距离地铁青年路542米,押1付3,8600,中楼层/32层,94,朝阳园,精装
甘露园,距离地铁青年路813米,押1付3,2500,底层/22层,20,甘露晴苑,其他
甘露园,距离地铁四惠东358米,押1付3,6000,高楼层/6层,87,康家园,其他
整租,距离地铁青年路542米,押1付3,13000,中楼层/32层,144,朝阳园,精装
甘露园,距离地铁青年路641米,押1付3,5200,中楼层/6层,54.2,甘露家园,其他
整租,距离地铁四惠东491米,押2付3,9000,高楼层/13层,120,白领家园,精装
整租,距离地铁青年路542米,押2付3,11000,中楼层/35层,113,朝阳园,精装
整租,距离地铁青年路542米,押2付3,13000,低楼层/31层,138.1,朝阳园,精装
整租,距离地铁十里堡889米,押2付3,5000,低楼层/16层,40,天天朝阳,精装
整租,距离地铁四惠东491米,押2付3,10000,顶层/5层,147,白领家园,精装
整租,距离地铁青年路847米,押1付3,11000,中楼层/27层,147,朝阳无限,中装
整租,距离地铁四惠东757米,押2付3,4000,高楼层/6层,45,甘露园南里一区,简装
甘露园,距离地铁青年路847米,押1付3,2400,底层/25层,25,朝阳无限,其他
甘露园,距离地铁四惠东358米,押1付3,5000,底层/6层,49.56,康家园,其他
甘露园,距离地铁青年路813米,押1付3,5800,中楼层/22层,85,甘露晴苑,其他
甘露园,距离地铁青年路847米,押1付3,9200,中楼层/25层,115.7,朝阳无限,其他
甘露园,距离地铁青年路835米,押1付3,7000,中楼层/22层,90,丽景馨居,其他
甘露园,距离地铁四惠东757米,押1付3,4800,低楼层/6层,36.85,甘露园南里一区,其他
距离地铁青年路847米,距离地铁青年路847米,押1付3,3800,高楼层/27层,26,朝阳无限,合租
距离地铁青年路847米,距离地铁青年路847米,押1付3,3000,高楼层/27层,15,朝阳无限,合租
甘露园,距离地铁四惠东716米,押1付3,5800,中楼层/6层,60,甘露园南里二区,其他
甘露园,距离地铁四惠东358米,押1付3,5800,高楼层/16层,50,康家园,其他
整租,距离地铁四惠东757米,押2付3,5400,中楼层/6层,65,甘露园南里一区,简装
整租,距离地铁四惠东757米,押2付3,8500,底层/6层,85,甘露园南里一区,中装
甘露园,距离地铁四惠东757米,押1付3,6000,底层/6层,40.86,甘露园南里一区,其他
整租,距离地铁四惠东716米,押1付3,6500,中楼层/6层,61.19,甘露园南里二区,中装
整租,距离地铁四惠东757米,押2付3,4500,底层/6层,45,甘露园南里一区,简装
甘露园,距离地铁青年路641米,押1付3,7200,底层/6层,70,甘露家园,其他
甘露园,距离地铁青年路910米,押1付3,5800,底层/6层,43.64,甘露园西里,其他
甘露园,距离地铁十里堡889米,押1付3,3200,高楼层/16层,20,天天朝阳,其他
甘露园,距离地铁青年路542米,押1付3,10500,低楼层/32层,113,朝阳园,其他
甘露园,距离地铁四惠东358米,押1付3,4400,高楼层/6层,45,康家园,其他
