chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁高碑店1334米,押2付3,6700,高楼层/29层,89,金隅汇星苑,精装
高碑店,距离地铁高碑店621米,押1付3,6000,中楼层/6层,73,兴隆家园二期,其他
高碑店,距离地铁高碑店1334米,押1付3,7000,低楼层/27层,83,金隅汇星苑,其他
高碑店,距离地铁高碑店1334米,押1付3,6800,中楼层/29层,88,金隅汇星苑,其他
高碑店,距离地铁高碑店1334米,押1付3,7800,中楼层/29层,89,金隅汇星苑,其他
高碑店,距离地铁高碑店1334米,押1付3,6100,高楼层/29层,58.81,金隅汇星苑,其他
高碑店,距离地铁高碑店1334米,押1付12,6500,高楼层/27层,83,金隅汇星苑,其他
高碑店,距离地铁高碑店621米,押1付3,6700,低楼层/23层,75,兴隆家园二期,其他
高碑店,距离地铁青年路1058米,押1付3,6000,中楼层/19层,64,阿曼寓所,其他
高碑店,距离地铁高碑店1150米,押1付3,5900,中楼层/6层,56.73,南太平庄北巷,其他
高碑店,距离地铁高碑店621米,押1付3,6300,中楼层/6层,86,兴隆家园二期,其他
高碑店,距离地铁高碑店1150米,押1付3,5000,低楼层/6层,65,南太平庄北巷,其他
高碑店,距离地铁高碑店621米,押1付3,3100,中楼层/24层,20,兴隆家园二期,其他
高碑店,距离地铁高碑店1150米,押1付3,4500,高楼层/7层,55.5,南太平庄北巷,其他
高碑店,距离地铁青年路1059米,押1付3,6500,低楼层/24层,71,富华家园,其他
合租,距离地铁高碑店1150米,押2付3,2800,中楼层/8层,30,南太平庄北巷,精装
高碑店,距离地铁青年路1059米,押1付3,4800,低楼层/24层,65.6,富华家园,其他
高碑店,距离地铁青年路1059米,押1付3,7700,中楼层/24层,98.47,富华家园,其他
高碑店,距离地铁青年路1059米,押1付3,5500,顶层/24层,52.36,富华家园,其他
高碑店,距离地铁高碑店621米,押1付12,6300,中楼层/24层,67.55,兴隆家园二期,其他
整租,距离地铁高碑店621米,押2付3,9000,中楼层/24层,131,兴隆家园二期,精装
整租,距离地铁高碑店978米,押2付3,50000,底层/4层,283,叠墅,精装
整租,距离地铁青年路1058米,押2付3,15000,低楼层/19层,108.42,阿曼寓所,简装
整租,距离地铁高碑店621米,押2付3,6000,低楼层/24层,67.55,兴隆家园二期,中装
整租,距离地铁高碑店1334米,押2付3,6500,中楼层/26层,66,金隅汇星苑,精装
整租,距离地铁高碑店621米,押2付3,6500,中楼层/24层,78.05,兴隆家园二期,精装
整租,距离地铁高碑店1150米,押2付3,8000,高楼层/7层,110,南太平庄北巷,中装
整租,距离地铁高碑店1150米,押1付3,3800,低楼层/6层,42,南太平庄北巷,精装
整租,距离地铁高碑店1161米,押2付3,6500,中楼层/11层,75,金隅泰和园,中装
合租,距离地铁高碑店1150米,押1付3,1900,中楼层/8层,75,南太平庄北巷,精装
高碑店,距离地铁高碑店1161米,押1付3,6700,底层/11层,85,金隅泰和园,其他
整租,距离地铁高碑店1150米,押2付3,4000,顶层/6层,38,南太平庄北巷,毛坯
高碑店,距离地铁青年路1058米,押1付3,3000,高楼层/18层,20,阿曼寓所,其他
高碑店,距离地铁高碑店1161米,押1付3,6700,高楼层/26层,80,金隅泰和园,其他
合租,距离地铁高碑店1150米,押2付3,2100,顶层/6层,15,南太平庄北巷,精装
整租,距离地铁高碑店1161米,押1付3,5600,低楼层/11层,60,金隅泰和园,中装
整租,距离地铁高碑店621米,押2付3,6800,中楼层/24层,80,兴隆家园二期,精装
整租,距离地铁高碑店978米,押2付3,26000,顶层/5层,280,叠墅,豪装
整租,距离地铁高碑店621米,押2付3,6000,低楼层/24层,101,兴隆家园二期,精装
合租,距离地铁高碑店1150米,押2付3,4000,顶层/6层,103,南太平庄北巷,精装
整租,距离地铁高碑店621米,押1付3,10000,高楼层/14层,122,兴隆家园二期,中装
整租,距离地铁高碑店621米,押2付3,10000,底层/24层,117,兴隆家园二期,中装
合租,距离地铁高碑店1150米,押2付3,2200,底层/6层,10,南太平庄北巷,中装
整租,距离地铁高碑店621米,押2付3,6000,低楼层/24层,67.55,兴隆家园二期,精装
高碑店,距离地铁青年路1058米,押1付12,6000,低楼层/18层,68,阿曼寓所,其他
整租,距离地铁高碑店1150米,押2付3,4000,中楼层/6层,37,南太平庄北巷,精装
高碑店,距离地铁青年路1058米,押1付3,2400,中楼层/18层,25,阿曼寓所,其他
高碑店,距离地铁高碑店692米,押1付3,10500,底层/9层,133.72,美丽亚洲假日花园,其他
高碑店,距离地铁青年路1058米,押1付3,8000,低楼层/8层,110,阿曼寓所,其他
合租,距离地铁高碑店1150米,押2付3,2500,底层/7层,20,南太平庄北巷,中装
距离地铁高碑店621米,距离地铁高碑店621米,押1付3,2400,中楼层/24层,18,兴隆家园二期,合租
高碑店,距离地铁青年路1059米,押1付3,6200,低楼层/24层,73,富华家园,其他
高碑店,距离地铁高碑店621米,押1付3,6300,中楼层/24层,75.24,兴隆家园二期,其他
高碑店,距离地铁青年路1058米,押1付3,5800,高楼层/19层,65,阿曼寓所,其他
高碑店,距离地铁高碑店1334米,押1付3,2600,中楼层/27层,20,金隅汇星苑,其他
高碑店,距离地铁青年路1059米,押1付3,5200,高楼层/24层,59.23,富华家园,其他
高碑店,距离地铁高碑店1161米,押1付12,5700,底层/11层,80,金隅泰和园,其他
高碑店,距离地铁青年路1058米,押1付3,2800,高楼层/18层,18,阿曼寓所,其他
高碑店,距离地铁青年路1058米,押1付3,2500,高楼层/18层,15,阿曼寓所,其他
