chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁朝阳门772米,押2付3,5500,高楼层/7层,36.89,工体西里,精装
整租,距离地铁东四十条610米,押1付3,12500,低楼层/25层,78,阳光都市,精装
整租,距离地铁东四十条894米,押2付3,43000,中楼层/23层,197,永利国际,精装
整租,距离地铁东四十条610米,押1付3,19500,低楼层/25层,175.34,阳光都市,中装
整租,距离地铁东直门1034米,押2付3,8000,中楼层/5层,60,幸福二村,精装
整租,距离地铁东直门1074米,押1付3,23000,高楼层/19层,228,锦绣园,精装
整租,距离地铁东四十条567米,押1付3,7800,顶层/6层,65,新中街,精装
整租,距离地铁朝阳门772米,押1付3,6500,中楼层/20层,56,工体西里,中装
整租,距离地铁东四十条533米,押1付3,8200,高楼层/16层,65,工体北路38、36、40号楼,精装
整租,距离地铁东四十条610米,押1付3,12000,低楼层/25层,78,阳光都市,中装
整租,距离地铁东四十条610米,押1付3,10000,中楼层/25层,70,阳光都市,中装
整租,距离地铁东直门421米,押2付3,8300,顶层/5层,65,十字坡东里,精装
整租,距离地铁东四十条994米,押2付3,14000,中楼层/13层,118,杰座大厦,精装
整租,距离地铁东四十条932米,押1付3,12500,中楼层/18层,105,工体三号,精装
整租,距离地铁东四十条994米,押2付3,9000,中楼层/13层,67,杰座大厦,精装
整租,距离地铁东直门85米,押1付3,8000,中楼层/14层,65,东城区东直门外大街,中装
整租,距离地铁东直门85米,押1付3,6700,中楼层/14层,52.6,东城区东直门外大街,中装
整租,距离地铁东四十条610米,押1付3,11000,高楼层/25层,82.1,阳光都市,中装
整租,距离地铁朝阳门772米,押2付3,6500,高楼层/20层,50,工体西里,精装
整租,距离地铁东四十条894米,押1付3,17500,高楼层/23层,114,永利国际,精装
合租,距离地铁朝阳门772米,押2付3,2600,高楼层/24层,15,工体西里,中装
整租,距离地铁东直门85米,押1付3,6500,中楼层/14层,50,东城区东直门外大街,精装
整租,距离地铁东四十条533米,押2付3,6300,中楼层/16层,50,工体北路38、36、40号楼,精装
整租,距离地铁东直门741米,押1付3,6200,中楼层/6层,43,春秀路小区,精装
整租,距离地铁东直门1034米,押2付3,7500,低楼层/5层,65,幸福二村,精装
整租,距离地铁东直门741米,押2付3,7600,高楼层/6层,62.28,春秀路小区,简装
整租,距离地铁东四十条610米,押2付3,15000,低楼层/28层,117,阳光都市,精装
整租,距离地铁团结湖1161米,押2付3,6000,底层/6层,50.61,幸福一村,精装
合租,距离地铁东直门421米,押1付3,2900,中楼层/5层,55.2,十字坡东里,精装
整租,距离地铁东直门1034米,押2付3,7500,低楼层/6层,55,幸福二村,精装
整租,距离地铁团结湖1157米,押2付3,8000,低楼层/21层,136.2,首开幸福广场,精装
整租,距离地铁东四十条894米,押2付3,75000,低楼层/25层,373,永利国际,精装
整租,距离地铁朝阳门750米,押1付3,40000,低楼层/6层,300,聚龙花园,精装
整租,距离地铁东直门497米,押2付3,20000,高楼层/7层,145,铂晶豪庭,精装
整租,距离地铁东直门674米,押2付3,8500,高楼层/22层,48,海晟国际公寓,精装
整租,距离地铁东大桥833米,押2付3,28000,中楼层/30层,218,光彩国际公寓,精装
整租,距离地铁朝阳门750米,押2付3,65000,中楼层/14层,500,聚龙花园,精装
整租,距离地铁东直门85米,押1付3,6000,中楼层/14层,48,东城区东直门外大街,精装
整租,距离地铁朝阳门750米,押2付3,45000,底层/4层,296,聚龙花园,精装
整租,距离地铁团结湖1161米,押2付3,20000,底层/6层,143,幸福一村,中装
整租,距离地铁东四十条894米,押2付3,90000,底层/23层,300,永利国际,精装
整租,距离地铁东直门1034米,押2付3,10500,高楼层/6层,98,幸福二村,精装
整租,距离地铁团结湖1161米,押1付2,26000,高楼层/6层,200,幸福一村,中装
合租,距离地铁东直门85米,押2付3,20000,中楼层/14层,65,东城区东直门外大街,精装
整租,距离地铁东直门948米,押1付3,6100,低楼层/18层,45,港湾国际,精装
整租,距离地铁东直门85米,押2付3,20000,中楼层/14层,40,东城区东直门外大街,精装
整租,距离地铁东直门85米,押2付3,20000,中楼层/14层,50,东城区东直门外大街,精装
整租,距离地铁东四十条894米,押2付3,21000,底层/23层,123,永利国际,豪装
整租,距离地铁东四十条894米,押2付3,10200,中楼层/23层,67,永利国际,简装
整租,距离地铁团结湖1161米,押2付3,23000,底层/6层,120,幸福一村,精装
合租,距离地铁东四十条824米,押2付3,3500,低楼层/6层,15,工体北里,中装
距离地铁东直门1034米,距离地铁东直门1034米,押1付3,3500,中楼层/5层,10,幸福二村,合租
整租,距离地铁东四十条994米,押2付3,8000,中楼层/13层,46,杰座大厦,精装
整租,距离地铁东直门1074米,押2付3,3700,低楼层/19层,90,锦绣园,精装
整租,距离地铁东直门1074米,押1付3,18000,低楼层/19层,160,锦绣园,精装
整租,距离地铁东直门1074米,押1付3,18000,低楼层/19层,160,锦绣园,中装
整租,距离地铁东直门1074米,押1付3,18000,低楼层/19层,180,锦绣园,精装
整租,距离地铁东四十条1000米,押2付3,65000,底层/18层,900,联宝公寓,毛坯
整租,距离地铁东大桥833米,押2付3,27000,顶层/27层,217,光彩国际公寓,精装
整租,距离地铁东直门1074米,押2付3,2300,中楼层/19层,92,锦绣园,精装
整租,距离地铁东直门1074米,押2付3,2500,高楼层/19层,84,锦绣园,中装
工体,距离地铁东四十条533米,押1付3,7800,低楼层/16层,65,工体北路38、36、40号楼,其他
电话预约,距离地铁东直门1034米,押1付3,19000,中楼层/6层,186,幸福二村,中装
整租,距离地铁朝阳门750米,押2付3,26000,高楼层/6层,220,聚龙花园,精装
整租,距离地铁东直门902米,押2付3,5500,高楼层/7层,50,太平庄南里,精装
整租,距离地铁东直门1034米,押1付3,23000,高楼层/6层,241,幸福二村,精装
整租,距离地铁东四十条1000米,押1付3,18000,高楼层/18层,176,联宝公寓,中装
整租,距离地铁东直门948米,押2付3,7000,低楼层/18层,50,港湾国际,精装
