chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁黄渠800米,押1付3,5500,底层/11层,50.08,柏林爱乐一期,精装
整租,距离地铁管庄549米,押1付12,4500,中楼层/24层,70,京通苑,中装
整租,距离地铁黄渠922米,押2付3,6500,中楼层/10层,75.78,汇鸿家园,精装
整租,距离地铁双桥954米,押1付3,6000,顶层/6层,87,建东苑,中装
整租,距离地铁管庄1053米,押2付3,4700,底层/6层,70,管庄西里,中装
整租,距离地铁黄渠922米,押2付3,7500,中楼层/17层,104,汇鸿家园,精装
整租,距离地铁管庄1053米,押1付3,4300,低楼层/6层,58.68,管庄西里,毛坯
整租,距离地铁常营1016米,押2付3,4100,低楼层/3层,33,管庄东里,精装
整租,距离地铁双桥954米,押2付3,4800,高楼层/6层,65,建东苑,精装
整租,距离地铁双桥389米,押1付3,5000,低楼层/18层,60,华龙美树,中装
整租,距离地铁管庄1053米,押2付3,4500,底层/6层,59.67,管庄西里,中装
整租,距离地铁黄渠800米,押2付3,8000,中楼层/11层,103,柏林爱乐一期,精装
整租,距离地铁黄渠880米,押2付3,5800,低楼层/11层,67,柏林爱乐三期,精装
整租,距离地铁管庄1053米,押1付3,4500,顶层/6层,60,管庄西里,精装
整租,距离地铁草房524米,押2付3,5800,低楼层/21层,72.61,住欣家园,精装
整租,距离地铁草房524米,押1付3,5500,高楼层/26层,69.76,住欣家园,精装
整租,距离地铁黄渠880米,押2付3,7500,中楼层/11层,103,柏林爱乐三期,精装
整租,距离地铁常营650米,押1付3,8900,中楼层/30层,86.13,常楹公元,精装
整租,距离地铁常营892米,押1付3,5000,低楼层/24层,50,柏林爱乐二期,精装
整租,距离地铁黄渠880米,押2付3,5600,中楼层/21层,68,柏林爱乐三期,精装
整租,距离地铁常营892米,押2付3,4500,低楼层/22层,49.16,柏林爱乐二期,精装
整租,距离地铁草房524米,押1付3,5500,高楼层/26层,70,住欣家园,精装
整租,距离地铁管庄1053米,押1付3,5500,低楼层/6层,58,管庄西里,精装
整租,距离地铁常营1016米,押1付3,4500,顶层/3层,50.03,管庄东里,简装
随时看房,距离地铁草房524米,,5000,中楼层/21层,55,住欣家园,精装
整租,距离地铁常营892米,押1付3,6500,低楼层/22层,81.9,柏林爱乐二期,精装
整租,距离地铁草房524米,押2付3,5700,高楼层/28层,70,住欣家园,精装
整租,距离地铁常营892米,押2付3,5500,高楼层/11层,60,柏林爱乐二期,精装
整租,距离地铁常营892米,押2付3,7500,低楼层/22层,94.92,柏林爱乐二期,精装
整租,距离地铁管庄1053米,押2付3,4700,高楼层/7层,62,管庄西里,精装
整租,距离地铁黄渠880米,押2付3,6200,中楼层/11层,70.52,柏林爱乐三期,精装
整租,距离地铁常营650米,押2付3,13000,中楼层/25层,127,常楹公元,精装
整租,距离地铁管庄631米,押1付3,7000,顶层/28层,144.69,北京新天地一期,精装
整租,距离地铁管庄1053米,押2付3,4000,中楼层/6层,60,管庄西里,精装
整租,距离地铁常营151米,押2付3,15000,高楼层/21层,141.58,龙湖长楹天街,精装
合租,距离地铁草房524米,押2付3,3500,中楼层/23层,90.57,住欣家园,精装
整租,距离地铁草房524米,押2付3,5800,高楼层/28层,70,住欣家园,精装
整租,距离地铁管庄549米,押2付3,5600,高楼层/24层,80,京通苑,中装
整租,距离地铁常营892米,押2付3,7000,低楼层/11层,110,柏林爱乐二期,精装
整租,距离地铁黄渠556米,押1付3,5800,高楼层/15层,68,柏林爱乐四期,精装
整租,距离地铁管庄1053米,押2付3,4300,中楼层/6层,70,管庄西里,中装
整租,距离地铁草房524米,押2付3,4000,高楼层/28层,68,住欣家园,精装
整租,距离地铁黄渠832米,押2付3,4500,高楼层/6层,75,荟康苑,中装
整租,距离地铁黄渠832米,押2付3,8000,高楼层/6层,90,荟康苑,精装
合租,距离地铁草房524米,押2付3,2000,低楼层/28层,15,住欣家园,精装
整租,距离地铁管庄1053米,押1付3,4800,高楼层/6层,72.84,管庄西里,中装
整租,距离地铁黄渠800米,押2付3,8200,中楼层/11层,101.24,柏林爱乐一期,精装
整租,距离地铁黄渠800米,押2付3,5500,中楼层/11层,65.9,柏林爱乐一期,简装
整租,距离地铁双桥604米,押2付3,2500,低楼层/5层,30,管庄周井大院,精装
管庄,距离地铁管庄549米,押1付3,1000,高楼层/21层,15,京通苑,其他
整租,距离地铁常营696米,押1付3,5800,中楼层/28层,78,管庄北二里,精装
管庄,距离地铁双桥635米,押1付3,5100,底层/6层,75,京烟宿舍,其他
整租,距离地铁黄渠832米,押2付3,5000,底层/6层,68,荟康苑,中装
整租,距离地铁常营696米,押2付3,7500,中楼层/28层,72,管庄北二里,中装
整租,距离地铁黄渠832米,押1付3,4500,中楼层/6层,60,荟康苑,精装
整租,距离地铁管庄549米,押2付3,6000,低楼层/24层,110,京通苑,精装
管庄,距离地铁管庄1053米,押1付3,4800,低楼层/6层,55.15,管庄西里,其他
整租,距离地铁常营151米,押1付3,15000,中楼层/20层,140,龙湖长楹天街,精装
整租,距离地铁管庄1053米,押1付3,6000,中楼层/6层,110,管庄西里,中装
整租,距离地铁常营650米,押0付3,9500,高楼层/27层,86.47,常楹公元,精装
整租,距离地铁管庄811米,押2付3,6500,中楼层/18层,92,众亿嘉园,精装
合租,距离地铁草房828米,押2付3,2500,中楼层/6层,15,连心园,精装
整租,距离地铁双桥693米,押2付3,6500,中楼层/18层,115,尚东阁,精装
整租,距离地铁双桥604米,押1付12,3100,顶层/5层,45,管庄周井大院,中装
