chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁柳芳829米,押1付3,5000,底层/6层,45,左家庄北里,中装
合租,距离地铁柳芳957米,押1付3,2300,顶层/6层,16,左家庄南里,简装
整租,距离地铁柳芳509米,押1付3,8800,中楼层/16层,71,柳芳北里,中装
整租,距离地铁三元桥571米,押2付3,5200,底层/6层,50,静安东里,中装
整租,距离地铁柳芳829米,押1付3,5200,底层/6层,50,左家庄北里,精装
整租,距离地铁三元桥1111米,押2付3,3500,中楼层/22层,60.06,左家庄东里,中装
整租,距离地铁柳芳829米,押2付3,7500,中楼层/12层,57.2,左家庄北里,精装
整租,距离地铁三元桥1111米,押2付3,8500,顶层/6层,106,左家庄东里,简装
整租,距离地铁柳芳616米,押1付3,5500,中楼层/18层,44.76,柳芳南里,中装
合租,距离地铁三元桥1013米,押2付3,2100,高楼层/6层,12,香河园中里,中装
整租,距离地铁柳芳829米,押2付3,6200,中楼层/6层,60,左家庄北里,中装
整租,距离地铁三元桥1013米,押2付3,5200,高楼层/6层,45.65,香河园中里,中装
合租,距离地铁三元桥932米,押2付3,2800,底层/5层,15,静安庄一区,精装
合租,距离地铁三元桥1013米,押1付3,1800,低楼层/6层,10,香河园中里,精装
整租,距离地铁柳芳509米,押1付3,5000,底层/16层,42,柳芳北里,精装
整租,距离地铁柳芳509米,押1付3,5000,底层/16层,46,柳芳北里,中装
合租,距离地铁柳芳829米,押1付3,2200,顶层/6层,15,左家庄北里,简装
整租,距离地铁三元桥571米,押1付3,6000,顶层/6层,61.9,静安东里,简装
整租,距离地铁柳芳600米,押2付3,13000,高楼层/24层,143,力鸿花园,中装
整租,距离地铁柳芳1008米,押2付3,6000,中楼层/8层,60,左家庄西街,中装
整租,距离地铁三元桥1111米,押2付3,5500,低楼层/21层,49.6,左家庄东里,精装
整租,距离地铁三元桥1111米,押2付3,6800,高楼层/22层,68.59,左家庄东里,精装
整租,距离地铁柳芳116米,押2付3,10500,高楼层/30层,110,新天第,精装
合租,距离地铁柳芳829米,押2付3,3200,中楼层/6层,15,左家庄北里,中装
合租,距离地铁柳芳829米,押1付3,2500,高楼层/6层,15,左家庄北里,精装
整租,距离地铁三元桥571米,押2付3,6500,顶层/6层,62.03,静安东里,中装
整租,距离地铁三元桥571米,押2付3,5600,底层/18层,40.43,静安东里,豪装
整租,距离地铁柳芳509米,押2付3,5500,底层/6层,60,柳芳北里,中装
整租,距离地铁柳芳829米,押2付3,5400,低楼层/21层,60,左家庄北里,精装
整租,距离地铁柳芳509米,押1付3,5600,高楼层/18层,43,柳芳北里,中装
国展,距离地铁三元桥888米,押1付3,5600,底层/6层,55.85,静安里,其他
距离地铁柳芳829米,距离地铁柳芳829米,押1付3,5200,底层/6层,43,左家庄北里,整租
整租,距离地铁柳芳829米,押2付3,6500,顶层/6层,60,左家庄北里,简装
距离地铁三元桥888米,距离地铁三元桥888米,押1付3,2900,底层/12层,8,静安里,合租
国展,距离地铁三元桥888米,押1付3,7800,底层/6层,57.95,静安里,其他
距离地铁三元桥888米,距离地铁三元桥888米,押1付3,2600,底层/12层,10,静安里,合租
国展,距离地铁柳芳957米,押1付3,5500,低楼层/14层,53,左家庄南里,其他
距离地铁三元桥571米,距离地铁三元桥571米,押1付3,3800,顶层/18层,20,静安东里,合租
距离地铁三元桥888米,距离地铁三元桥888米,押1付3,3700,底层/12层,13,静安里,合租
整租,距离地铁柳芳221米,押2付3,26000,低楼层/25层,130,林达大厦,精装
整租,距离地铁柳芳221米,押2付3,30000,中楼层/14层,217,林达大厦,中装
整租,距离地铁柳芳221米,押2付3,30000,低楼层/14层,268,林达大厦,中装
国展,距离地铁柳芳509米,押1付3,7200,底层/6层,37.77,柳芳北里,其他
整租,距离地铁柳芳221米,押2付3,65000,中楼层/25层,586,林达大厦,精装
整租,距离地铁柳芳838米,押2付3,8100,中楼层/25层,50,豪成大厦,豪装
整租,距离地铁柳芳829米,押1付3,3500,顶层/3层,25,左家庄北里,精装
整租,距离地铁柳芳92米,押2付3,35000,低楼层/26层,251.1,浩鸿园,精装
整租,距离地铁柳芳116米,押1付3,15000,高楼层/29层,168,新天第,中装
整租,距离地铁柳芳600米,押1付3,12500,高楼层/24层,143,力鸿花园,精装
整租,距离地铁柳芳616米,押1付3,5500,中楼层/18层,45,柳芳南里,中装
整租,距离地铁柳芳829米,押2付3,2600,顶层/6层,15,左家庄北里,精装
距离地铁柳芳1089米,距离地铁柳芳1089米,押1付3,3800,低楼层/14层,18,瑞福楼,合租
距离地铁柳芳1089米,距离地铁柳芳1089米,押1付3,4200,低楼层/14层,20,瑞福楼,合租
距离地铁柳芳1089米,距离地铁柳芳1089米,押1付3,3800,低楼层/14层,18,瑞福楼,合租
国展,距离地铁柳芳616米,押1付3,5200,中楼层/6层,42.23,柳芳南里,其他
距离地铁柳芳1089米,距离地铁柳芳1089米,押1付3,4600,低楼层/14层,20,瑞福楼,合租
国展,距离地铁柳芳829米,押1付3,5200,底层/6层,41,左家庄北里,其他
距离地铁三元桥571米,距离地铁三元桥571米,押1付3,2700,中楼层/6层,15,静安东里,合租
距离地铁三元桥1013米,距离地铁三元桥1013米,押1付3,2800,顶层/6层,15,香河园中里,合租
国展,距离地铁柳芳616米,押1付3,6000,中楼层/18层,50.12,柳芳南里,其他
国展,距离地铁三元桥888米,押1付3,7900,底层/6层,93.21,静安里,其他
国展,距离地铁柳芳509米,押1付3,6200,底层/18层,43.66,柳芳北里,其他
距离地铁柳芳616米,距离地铁柳芳616米,押1付3,2500,高楼层/18层,10,柳芳南里,合租
国展,距离地铁三元桥1111米,押1付3,5500,低楼层/22层,43.49,左家庄东里,其他
国展,距离地铁柳芳829米,押1付3,5800,底层/12层,45.09,左家庄北里,其他
距离地铁柳芳1008米,距离地铁柳芳1008米,押1付3,3000,底层/8层,10,左家庄西街,合租
国展,距离地铁三元桥1013米,押1付3,6800,中楼层/6层,57.92,香河园中里,其他
国展,距离地铁柳芳509米,押1付3,7000,底层/6层,57.09,柳芳北里,其他
国展,距离地铁柳芳829米,押1付3,5200,底层/20层,47.69,左家庄北里,其他
整租,距离地铁柳芳838米,押2付3,10000,低楼层/25层,120,豪成大厦,精装
国展,距离地铁柳芳1005米,押1付3,6600,高楼层/14层,68,静安西街,其他
整租,距离地铁柳芳258米,押2付3,7500,中楼层/24层,64,芳馨园,精装
整租,距离地铁柳芳838米,押2付3,7000,高楼层/25层,60,豪成大厦,精装
整租,距离地铁柳芳829米,押2付3,7000,顶层/6层,62,左家庄北里,精装
整租,距离地铁三元桥1013米,押2付3,8500,中楼层/6层,50.76,香河园中里,精装
整租,距离地铁柳芳838米,押2付3,14000,低楼层/25层,118,豪成大厦,中装
距离地铁柳芳1008米,距离地铁柳芳1008米,押1付3,3500,底层/8层,10,左家庄西街,合租
距离地铁柳芳1008米,距离地铁柳芳1008米,押1付3,1800,底层/8层,6,左家庄西街,合租
整租,距离地铁柳芳829米,押2付3,5000,中楼层/12层,45,左家庄北里,精装
距离地铁柳芳1008米,距离地铁柳芳1008米,押1付3,2300,底层/8层,6,左家庄西街,合租
距离地铁柳芳1008米,距离地铁柳芳1008米,押1付3,2600,底层/8层,10,左家庄西街,合租
距离地铁柳芳1008米,距离地铁柳芳1008米,押1付3,1200,底层/8层,6,左家庄西街,合租
距离地铁柳芳1008米,距离地铁柳芳1008米,押1付3,2500,底层/8层,10,左家庄西街,合租
国展,距离地铁柳芳829米,押1付3,6600,底层/6层,42.32,左家庄北里,其他
国展,距离地铁柳芳957米,押1付3,6300,低楼层/14层,50.6,左家庄南里,其他
整租,距离地铁柳芳92米,押2付3,14000,高楼层/30层,125,浩鸿园,精装
国展,距离地铁三元桥1111米,押1付3,6000,高楼层/21层,49,左家庄东里,其他
距离地铁柳芳829米,距离地铁柳芳829米,押1付3,6500,低楼层/22层,65,左家庄北里,整租
整租,距离地铁三元桥871米,押1付3,5200,中楼层/26层,147,国际友谊花园,精装
国展,距离地铁三元桥571米,押1付3,8000,中楼层/6层,62.99,静安东里,其他
电话预约,距离地铁柳芳1224米,,2900,中楼层/6层,10,左家庄甲12号院,精装
合租,距离地铁柳芳957米,押1付3,2800,低楼层/6层,15,左家庄南里,精装
整租,距离地铁三元桥1111米,押2付3,6300,底层/6层,45,左家庄东里,精装
合租,距离地铁三元桥571米,押2付3,2900,顶层/6层,20,静安东里,简装
整租,距离地铁三元桥888米,押1付3,7800,底层/6层,55,静安里,精装
整租,距离地铁柳芳829米,押2付3,7500,底层/6层,65,左家庄北里,精装
整租,距离地铁柳芳829米,押2付3,7000,中楼层/20层,59.41,左家庄北里,精装
整租,距离地铁三元桥1013米,押2付3,5500,高楼层/16层,45,香河园中里,精装
整租,距离地铁三元桥571米,押1付12,6500,顶层/6层,61.9,静安东里,中装
整租,距离地铁三元桥1111米,押2付3,5300,低楼层/6层,45,左家庄东里,中装
