chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁金台路758米,押1付3,6500,中楼层/6层,65,延静里中街,简装
整租,距离地铁金台路453米,押2付3,6500,中楼层/7层,68,红庙北里,精装
整租,距离地铁金台路453米,押2付3,6000,底层/4层,50,红庙北里,精装
整租,距离地铁金台路425米,押2付3,7000,顶层/6层,60,延静西里,精装
整租,距离地铁金台路505米,押2付3,6000,顶层/6层,62,金台里,中装
合租,距离地铁金台路425米,押2付3,2200,底层/17层,15,延静西里,精装
合租,距离地铁金台路453米,押2付3,3500,中楼层/18层,72.54,红庙北里,中装
整租,距离地铁金台路453米,押2付3,6500,高楼层/7层,56.15,红庙北里,中装
合租,距离地铁呼家楼114米,押2付3,2800,高楼层/14层,77.45,呼家楼北街,精装
整租,距离地铁大望路350米,押2付3,23500,中楼层/23层,151.37,华贸国际公寓,精装
合租,距离地铁金台路425米,押2付3,2600,高楼层/15层,20,延静西里,中装
整租,距离地铁大望路846米,押1付3,6800,高楼层/14层,63,慈云寺,精装
整租,距离地铁大望路846米,押1付3,6200,中楼层/22层,65,慈云寺,中装
整租,距离地铁大望路846米,押2付3,3700,中楼层/6层,24,慈云寺,精装
合租,距离地铁金台路505米,押2付3,2500,中楼层/21层,10,金台里,精装
整租,距离地铁大望路846米,押1付3,7000,高楼层/20层,61.36,慈云寺,中装
合租,距离地铁金台路453米,押2付3,3500,中楼层/5层,15,红庙北里,精装
整租,距离地铁金台路453米,押1付3,7800,中楼层/18层,75,红庙北里,中装
整租,距离地铁金台路774米,押1付3,7500,低楼层/16层,68,人民日报社区,精装
整租,距离地铁金台路774米,押1付3,9000,高楼层/6层,80,人民日报社区,精装
整租,距离地铁金台路425米,押2付3,6500,底层/6层,51.89,延静西里,精装
整租,距离地铁金台路153米,押2付3,5000,中楼层/16层,60,金台北街,简装
整租,距离地铁金台路505米,押2付3,6500,低楼层/16层,50,金台里,精装
整租,距离地铁大望路846米,押2付3,4700,高楼层/16层,47.08,慈云寺,中装
整租,距离地铁呼家楼114米,押2付3,8100,高楼层/16层,74,呼家楼北街,精装
整租,距离地铁大望路350米,押2付3,11000,低楼层/26层,64.31,华贸国际公寓,精装
整租,距离地铁金台路453米,押2付3,7500,底层/6层,65,红庙北里,精装
整租,距离地铁大望路350米,押1付3,23000,中楼层/23层,159.75,华贸国际公寓,精装
整租,距离地铁四惠810米,押2付3,17000,中楼层/29层,215,东区国际,精装
整租,距离地铁大望路350米,押2付3,14500,高楼层/30层,67.58,华贸国际公寓,精装
整租,距离地铁金台路453米,押2付3,3600,底层/4层,40,红庙北里,精装
整租,距离地铁金台路153米,押2付3,4800,中楼层/16层,55,金台北街,中装
整租,距离地铁金台路505米,押2付3,7000,中楼层/16层,65,金台里,精装
整租,距离地铁大望路350米,押2付3,11000,低楼层/27层,67.58,华贸国际公寓,中装
整租,距离地铁金台路453米,押2付3,4800,中楼层/6层,45,红庙北里,中装
整租,距离地铁大望路350米,押2付3,12000,中楼层/29层,64.31,华贸国际公寓,中装
整租,距离地铁金台夕照816米,押2付3,9000,低楼层/35层,191,中国第一商城,精装
整租,距离地铁大望路350米,押1付3,30000,中楼层/26层,142.79,华贸国际公寓,精装
整租,距离地铁大望路350米,押2付3,13000,低楼层/27层,60,华贸国际公寓,精装
合租,距离地铁金台路582米,押2付3,2500,高楼层/6层,12,机械学院宿舍,中装
整租,距离地铁大望路846米,押2付3,6800,高楼层/16层,68,慈云寺,精装
整租,距离地铁四惠810米,押2付3,19000,低楼层/29层,215,东区国际,精装
整租,距离地铁金台路749米,押2付3,8800,中楼层/11层,72,华业玫瑰东方,中装
整租,距离地铁大望路846米,押2付3,6000,底层/18层,78,慈云寺,精装
整租,距离地铁大望路846米,押2付3,5700,高楼层/18层,70,慈云寺,中装
整租,距离地铁大望路758米,押2付3,6500,中楼层/6层,55,柴家湾,中装
整租,距离地铁金台路774米,押2付3,7500,底层/6层,56,人民日报社区,精装
整租,距离地铁金台路758米,押2付3,5500,中楼层/4层,65,延静里中街,中装
合租,距离地铁大望路846米,押2付3,2600,高楼层/14层,13,慈云寺,精装
整租,距离地铁大望路846米,押2付3,8000,中楼层/6层,65,慈云寺,中装
整租,距离地铁四惠810米,押1付3,10000,高楼层/32层,109.96,东区国际,精装
整租,距离地铁大望路350米,押2付3,70800,低楼层/13层,264.65,华贸国际公寓,精装
红庙,距离地铁金台路505米,押1付3,8100,高楼层/6层,61.05,金台里,其他
红庙,距离地铁金台路453米,押1付3,6500,中楼层/6层,59,红庙北里,其他
红庙,距离地铁呼家楼114米,押1付3,5100,低楼层/16层,46.6,呼家楼北街,其他
红庙,距离地铁金台夕照510米,押1付3,4500,底层/6层,20.7,呼家楼南里,其他
红庙,距离地铁大望路846米,押1付3,6600,中楼层/18层,59,慈云寺,其他
红庙,距离地铁金台路425米,押1付3,8000,底层/6层,50.08,延静西里,其他
红庙,距离地铁金台路758米,押1付3,7300,底层/4层,61.08,延静里中街,其他
红庙,距离地铁金台路505米,押1付3,1800,顶层/4层,11.48,金台里,其他
距离地铁大望路846米,距离地铁大望路846米,押1付3,2680,底层/18层,20,慈云寺,合租
红庙,距离地铁金台路774米,押1付3,8000,低楼层/5层,65,人民日报社区,其他
距离地铁大望路846米,距离地铁大望路846米,押1付3,2450,底层/18层,15,慈云寺,合租
红庙,距离地铁金台夕照601米,押1付3,5300,底层/18层,31,呼家楼新街大院,其他
距离地铁金台路425米,距离地铁金台路425米,押1付3,1500,中楼层/15层,8,延静西里,合租
红庙,距离地铁呼家楼114米,押1付3,8600,低楼层/16层,63.12,呼家楼北街,其他
红庙,距离地铁金台夕照510米,押1付3,7100,高楼层/6层,60,呼家楼南里,其他
红庙,距离地铁金台路453米,押1付3,3500,顶层/4层,24.49,红庙北里,其他
距离地铁大望路846米,距离地铁大望路846米,押1付3,2300,底层/18层,15,慈云寺,合租
整租,距离地铁大望路758米,押2付3,2500,中楼层/6层,16,柴家湾,精装
整租,距离地铁呼家楼557米,押1付3,5200,顶层/5层,42,呼家楼北里,精装
整租,距离地铁四惠810米,押1付3,22000,低楼层/29层,203,东区国际,精装
整租,距离地铁四惠810米,押1付3,8000,高楼层/32层,80,东区国际,精装
红庙,距离地铁金台路505米,押1付3,3800,顶层/4层,31.67,金台里,其他
整租,距离地铁金台路425米,押2付3,6200,中楼层/17层,70,延静西里,精装
合租,距离地铁金台路505米,押2付3,3000,底层/4层,20,金台里,中装
合租,距离地铁金台路774米,押2付3,3100,顶层/6层,61,人民日报社区,精装
合租,距离地铁金台路774米,押2付3,5000,低楼层/5层,30,人民日报社区,中装
合租,距离地铁金台夕照510米,押2付3,2600,中楼层/4层,20,呼家楼南里,中装
合租,距离地铁呼家楼557米,押2付3,3500,底层/5层,18,呼家楼北里,中装
整租,距离地铁金台路505米,押2付3,5500,高楼层/16层,65,金台里,精装
整租,距离地铁金台路453米,押1付3,5300,中楼层/6层,61.42,红庙北里,简装
合租,距离地铁金台路425米,押2付3,2500,顶层/6层,20,延静西里,中装
合租,距离地铁金台路505米,押2付3,2800,低楼层/12层,61.62,金台里,精装
合租,距离地铁金台路425米,押2付3,2600,底层/17层,12,延静西里,中装
合租,距离地铁金台路505米,押2付3,2500,低楼层/6层,15,金台里,中装
整租,距离地铁金台路425米,押1付3,7000,高楼层/17层,56.15,延静西里,中装
整租,距离地铁金台路774米,押2付3,11000,中楼层/22层,95,人民日报社区,精装
整租,距离地铁大望路746米,押2付3,6500,高楼层/16层,65,红庙西里,精装
合租,距离地铁金台路425米,押2付3,1500,中楼层/15层,6,延静西里,中装
整租,距离地铁金台路453米,押1付3,4500,中楼层/4层,48,红庙北里,中装
整租,距离地铁金台路425米,押2付3,7000,中楼层/15层,68,延静西里,精装
整租,距离地铁金台路453米,押2付3,2600,中楼层/6层,20,红庙北里,简装
整租,距离地铁四惠810米,押2付3,7500,高楼层/29层,80,东区国际,精装
红庙,距离地铁金台路453米,押1付3,2200,中楼层/6层,13,红庙北里,其他
红庙,距离地铁金台夕照601米,押1付3,5800,底层/6层,50.34,呼家楼新街大院,其他
红庙,距离地铁金台路453米,押1付3,7000,低楼层/5层,57,红庙北里,其他
红庙,距离地铁大望路846米,押1付3,6800,底层/18层,61.36,慈云寺,其他
红庙,距离地铁金台路505米,押1付3,3100,底层/3层,40.6,金台里,其他
合租,距离地铁金台路505米,押2付3,2500,顶层/4层,15,金台里,中装
合租,距离地铁金台路1026米,押2付3,2600,顶层/6层,12,延静里中街3号院,中装
红庙,距离地铁大望路746米,押1付3,7000,低楼层/14层,68,红庙西里,其他
红庙,距离地铁金台路453米,押1付12,5600,中楼层/6层,58,红庙北里,其他
整租,距离地铁四惠810米,押2付3,12000,低楼层/29层,132,东区国际,精装
整租,距离地铁金台夕照816米,押2付3,50000,高楼层/36层,380,中国第一商城,精装
整租,距离地铁金台夕照816米,押2付3,23000,中楼层/36层,192,中国第一商城,中装
整租,距离地铁大望路846米,押2付3,6000,底层/18层,79,慈云寺,中装
整租,距离地铁金台路774米,押2付3,8500,高楼层/6层,70,人民日报社区,中装
整租,距离地铁金台夕照816米,押2付3,10000,中楼层/35层,100,中国第一商城,精装
整租,距离地铁大望路846米,押1付3,5200,底层/18层,52,慈云寺,精装
整租,距离地铁金台路1026米,押2付3,11800,中楼层/22层,136,延静里中街3号院,精装
整租,距离地铁金台路453米,押2付3,1800,底层/16层,8,红庙北里,中装
合租,距离地铁大望路758米,押2付3,2500,高楼层/6层,15,柴家湾,中装
合租,距离地铁金台路758米,押2付3,3500,高楼层/6层,28,延静里中街,中装
整租,距离地铁金台路425米,押2付3,6000,低楼层/17层,57.89,延静西里,精装
整租,距离地铁金台路425米,押1付3,5500,中楼层/17层,60,延静西里,中装
整租,距离地铁金台路505米,押2付3,10000,顶层/21层,114,金台里,中装
合租,距离地铁金台路425米,押2付3,4000,低楼层/17层,68,延静西里,精装
整租,距离地铁金台路774米,押1付3,10000,低楼层/22层,75,人民日报社区,精装
整租,距离地铁金台路749米,押1付3,16000,顶层/11层,180,华业玫瑰东方,精装
整租,距离地铁金台路758米,押2付3,5500,顶层/6层,58,延静里中街,中装
整租,距离地铁金台夕照816米,押2付3,19000,中楼层/34层,167.76,中国第一商城,简装
整租,距离地铁大望路846米,押2付3,2500,中楼层/18层,19,慈云寺,精装
红庙,距离地铁金台路758米,押1付3,5600,中楼层/6层,65,延静里中街,其他
整租,距离地铁金台夕照816米,押2付3,60000,高楼层/35层,380,中国第一商城,精装
红庙,距离地铁金台路774米,押1付3,8800,中楼层/16层,66.62,人民日报社区,其他
整租,距离地铁金台夕照816米,押2付3,36000,高楼层/35层,282,中国第一商城,中装
红庙,距离地铁金台路774米,押1付3,6700,顶层/3层,54.79,人民日报社区,其他
合租,距离地铁金台路505米,押1付3,2300,低楼层/6层,12,金台里,中装
整租,距离地铁金台路505米,押2付3,5500,低楼层/6层,45,金台里,中装
整租,距离地铁金台夕照816米,押2付3,18000,中楼层/36层,167,中国第一商城,精装
整租,距离地铁金台路505米,押1付3,6000,中楼层/6层,72,金台里,简装
整租,距离地铁金台路505米,押1付3,2800,顶层/4层,17,金台里,中装
整租,距离地铁金台路453米,押2付3,6000,中楼层/5层,70,红庙北里,中装
整租,距离地铁金台路1026米,押1付3,14000,中楼层/22层,160,延静里中街3号院,精装
合租,距离地铁金台路505米,押2付3,2500,低楼层/4层,15,金台里,精装
整租,距离地铁金台路425米,押2付3,7000,底层/15层,61.5,延静西里,精装
整租,距离地铁金台路425米,押2付3,5800,高楼层/17层,60,延静西里,中装
整租,距离地铁金台路758米,押2付3,5500,底层/6层,60,延静里中街,中装
合租,距离地铁金台路425米,押2付3,3000,高楼层/17层,20,延静西里,精装
整租,距离地铁金台路453米,押2付3,5500,中楼层/6层,75,红庙北里,精装
整租,距离地铁四惠810米,押1付3,12000,中楼层/32层,125,东区国际,精装
合租,距离地铁金台路453米,押2付3,2500,中楼层/6层,32,红庙北里,中装
红庙,距离地铁金台路1026米,押1付3,2800,高楼层/6层,21.12,延静里中街3号院,其他
整租,距离地铁金台夕照816米,押2付3,21000,低楼层/36层,190.02,中国第一商城,中装
整租,距离地铁大望路350米,押2付3,17000,高楼层/27层,133,华贸国际公寓,中装
整租,距离地铁金台路1026米,押2付3,15000,中楼层/25层,154.15,延静里中街3号院,中装
合租,距离地铁金台路505米,押2付3,3500,中楼层/12层,45,金台里,精装
红庙,距离地铁金台路505米,押1付3,6400,高楼层/6层,60,金台里,其他
整租,距离地铁金台夕照816米,押1付3,20500,低楼层/31层,190.02,中国第一商城,中装
整租,距离地铁大望路350米,押2付3,17000,低楼层/13层,90,华贸国际公寓,豪装
红庙,距离地铁金台夕照348米,押1付3,5500,中楼层/20层,63.42,呼家楼新苑,其他
整租,距离地铁金台路153米,押1付3,5000,中楼层/16层,45,金台北街,中装
整租,距离地铁大望路350米,押2付3,12000,中楼层/27层,62,华贸国际公寓,精装
整租,距离地铁金台路749米,押1付3,17000,中楼层/18层,167,华业玫瑰东方,精装
整租,距离地铁金台路1026米,押2付3,13500,中楼层/22层,160,延静里中街3号院,精装
整租,距离地铁四惠810米,押2付3,11000,中楼层/32层,87.85,东区国际,精装
整租,距离地铁金台夕照510米,押1付3,7700,顶层/5层,58,呼家楼南里,精装
整租,距离地铁金台路453米,押2付3,7000,高楼层/16层,68,红庙北里,精装
整租,距离地铁金台夕照510米,押1付3,2600,底层/4层,14,呼家楼南里,中装
整租,距离地铁大望路846米,押1付3,6000,底层/22层,65,慈云寺,中装
合租,距离地铁金台路425米,押2付3,3000,中楼层/15层,12,延静西里,精装
