chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁南楼梓庄287米,押2付3,5600,中楼层/6层,75,紫南家园,中装
整租,,押2付3,4300,高楼层/28层,60,翠成馨园D区,精装
整租,距离地铁南楼梓庄299米,押1付3,9000,高楼层/30层,99,官悦欣园,豪装
整租,距离地铁欢乐谷景区1061米,押2付3,4000,顶层/16层,55,翠成馨园C区,精装
整租,距离地铁南楼梓庄619米,押2付3,7500,低楼层/14层,102.11,世纪东方城,精装
整租,距离地铁南楼梓庄299米,押1付3,9500,低楼层/30层,98,官悦欣园,豪装
整租,距离地铁南楼梓庄619米,押2付3,6600,中楼层/11层,90,世纪东方城,中装
合租,距离地铁南楼梓庄287米,押1付3,1650,顶层/6层,11,紫南家园,简装
合租,距离地铁欢乐谷景区1243米,押2付3,5300,中楼层/28层,71.71,翠成馨园E区,精装
整租,距离地铁南楼梓庄287米,押2付12,7700,低楼层/11层,87.87,紫南家园,精装
整租,距离地铁南楼梓庄619米,押2付3,7700,中楼层/18层,98,世纪东方城,中装
合租,距离地铁南楼梓庄619米,押1付3,2500,低楼层/12层,13,世纪东方城,中装
整租,距离地铁南楼梓庄619米,押2付3,5200,中楼层/21层,61,世纪东方城,中装
整租,距离地铁欢乐谷景区277米,押2付3,9000,中楼层/18层,100.19,北京华侨城,精装
整租,,押2付3,5200,低楼层/28层,80,翠成馨园D区,精装
整租,距离地铁南楼梓庄619米,押1付3,5000,低楼层/12层,65,世纪东方城,简装
整租,距离地铁欢乐谷景区1061米,押2付3,6500,低楼层/11层,90,翠成馨园C区,中装
合租,距离地铁南楼梓庄619米,押2付3,2200,低楼层/21层,20,世纪东方城,简装
整租,距离地铁南楼梓庄619米,押1付3,5500,低楼层/21层,62,世纪东方城,精装
合租,距离地铁欢乐谷景区1092米,押2付3,2500,顶层/6层,20,翠成馨园A区,精装
整租,距离地铁南楼梓庄287米,押2付3,6000,顶层/6层,80,紫南家园,精装
整租,距离地铁欢乐谷景区1243米,押2付3,4800,低楼层/28层,75,翠成馨园E区,中装
整租,距离地铁欢乐谷景区1061米,押1付3,6500,中楼层/18层,93,翠成馨园C区,精装
整租,距离地铁欢乐谷景区1243米,押2付3,5000,中楼层/28层,78,翠成馨园E区,中装
整租,距离地铁欢乐谷景区1243米,押2付3,5000,中楼层/28层,78.8,翠成馨园E区,精装
整租,,押1付3,5000,高楼层/28层,78,翠成馨园D区,中装
整租,距离地铁南楼梓庄619米,押2付3,12500,高楼层/21层,156,世纪东方城,豪装
整租,距离地铁欢乐谷景区1243米,押2付3,6200,低楼层/23层,105,翠成馨园E区,中装
整租,距离地铁南楼梓庄619米,押1付3,6000,中楼层/21层,60,世纪东方城,精装
整租,距离地铁南楼梓庄619米,押1付3,6300,中楼层/21层,98,世纪东方城,中装
整租,距离地铁欢乐谷景区277米,押2付3,13000,高楼层/18层,169,北京华侨城,简装
合租,距离地铁欢乐谷景区1243米,押1付3,2000,高楼层/28层,20,翠成馨园E区,中装
整租,距离地铁南楼梓庄619米,押1付6,9800,中楼层/22层,165,世纪东方城,中装
合租,距离地铁欢乐谷景区1092米,押1付3,2000,高楼层/14层,15,翠成馨园A区,中装
整租,,押2付3,4800,低楼层/28层,80,翠成馨园D区,精装
整租,距离地铁欢乐谷景区1243米,押1付12,5500,高楼层/28层,80,翠成馨园E区,中装
整租,距离地铁欢乐谷景区1243米,押2付3,5000,中楼层/28层,78,翠成馨园E区,精装
整租,距离地铁欢乐谷景区1243米,押2付3,5200,中楼层/28层,80,翠成馨园E区,精装
整租,距离地铁欢乐谷景区1243米,押2付3,6500,低楼层/28层,74,翠成馨园E区,中装
整租,距离地铁南楼梓庄287米,押1付3,7200,低楼层/6层,90,紫南家园,精装
整租,距离地铁南楼梓庄299米,押2付3,6000,中楼层/30层,58,官悦欣园,精装
整租,距离地铁欢乐谷景区1243米,押2付3,4500,低楼层/28层,60,翠成馨园E区,中装
整租,距离地铁欢乐谷景区1243米,押2付3,4700,高楼层/28层,73,翠成馨园E区,精装
整租,距离地铁南楼梓庄299米,押1付3,5300,中楼层/30层,57,官悦欣园,精装
整租,,押2付3,5000,低楼层/28层,79,翠成馨园D区,精装
整租,距离地铁南楼梓庄619米,押2付3,6500,中楼层/12层,87,世纪东方城,精装
整租,距离地铁南楼梓庄619米,押1付3,9000,中楼层/21层,114,世纪东方城,精装
合租,距离地铁南楼梓庄287米,押1付3,2700,顶层/6层,20,紫南家园,中装
合租,距离地铁南楼梓庄287米,押1付3,1500,中楼层/6层,11,紫南家园,简装
整租,距离地铁欢乐谷景区277米,押2付3,17000,低楼层/12层,190,北京华侨城,精装
整租,距离地铁欢乐谷景区1377米,押1付12,8500,中楼层/18层,130,翠成馨园B区,精装
整租,,押1付3,5000,中楼层/28层,80,翠成馨园D区,简装
整租,距离地铁南楼梓庄619米,押2付3,16000,高楼层/18层,196,世纪东方城,精装
整租,距离地铁欢乐谷景区1061米,押1付3,4000,中楼层/14层,55,翠成馨园C区,中装
整租,距离地铁南楼梓庄839米,押1付3,28000,低楼层/25层,233.61,华瀚国际,豪装
整租,距离地铁南楼梓庄619米,押1付6,10000,低楼层/21层,133,世纪东方城,精装
整租,距离地铁南楼梓庄839米,押1付3,13500,中楼层/21层,102.82,华瀚国际,精装
整租,距离地铁欢乐谷景区1243米,押2付3,4600,中楼层/28层,56,翠成馨园E区,精装
整租,距离地铁欢乐谷景区277米,押2付3,12000,中楼层/12层,121.26,北京华侨城,精装
整租,距离地铁欢乐谷景区277米,押2付3,12000,中楼层/12层,121.26,北京华侨城,精装
整租,距离地铁南楼梓庄299米,押1付3,5000,中楼层/30层,55,官悦欣园,精装
整租,距离地铁南楼梓庄619米,押1付6,7000,底层/14层,73.52,世纪东方城,简装
整租,距离地铁南楼梓庄619米,押1付3,12500,中楼层/21层,141,世纪东方城,精装
整租,,押2付3,5000,高楼层/28层,72,翠成馨园D区,中装
整租,,押2付3,4500,中楼层/28层,60,翠成馨园D区,简装
整租,距离地铁南楼梓庄839米,押1付3,30000,低楼层/25层,278.85,华瀚国际,精装
整租,,押2付3,4800,高楼层/28层,80,翠成馨园D区,精装
合租,,押1付3,2100,高楼层/28层,15,翠成馨园D区,精装
整租,距离地铁欢乐谷景区277米,押2付3,17000,高楼层/30层,214,北京华侨城,精装
整租,距离地铁南楼梓庄619米,押1付3,6500,底层/21层,50,世纪东方城,精装
整租,,押2付3,6500,高楼层/28层,100,翠成馨园D区,精装
整租,距离地铁南楼梓庄299米,押2付3,5200,中楼层/30层,60,官悦欣园,精装
整租,距离地铁欢乐谷景区1243米,押1付3,4000,中楼层/28层,55,翠成馨园E区,精装
整租,距离地铁欢乐谷景区1243米,押2付3,4200,中楼层/28层,55,翠成馨园E区,精装
整租,距离地铁欢乐谷景区1061米,押2付3,6000,高楼层/11层,90,翠成馨园C区,中装
合租,距离地铁欢乐谷景区1243米,押1付3,3300,中楼层/23层,50,翠成馨园E区,中装
整租,距离地铁欢乐谷景区1092米,押1付12,5000,底层/6层,30,翠成馨园A区,中装
整租,距离地铁南楼梓庄299米,押1付3,5200,中楼层/30层,60,官悦欣园,中装
合租,距离地铁欢乐谷景区1061米,押1付3,1950,低楼层/18层,20,翠成馨园C区,精装
整租,距离地铁欢乐谷景区277米,押2付3,20000,中楼层/12层,187,北京华侨城,豪装
整租,距离地铁欢乐谷景区1243米,押2付3,6000,低楼层/28层,100,翠成馨园E区,精装
整租,距离地铁南楼梓庄299米,押2付3,5200,低楼层/30层,60,官悦欣园,精装
合租,距离地铁南楼梓庄619米,押1付3,2200,底层/21层,20,世纪东方城,精装
整租,距离地铁欢乐谷景区1061米,押2付3,80000,低楼层/18层,693.17,翠成馨园C区,毛坯
整租,距离地铁欢乐谷景区1243米,押2付3,5500,高楼层/28层,90,翠成馨园E区,中装
整租,距离地铁南楼梓庄619米,押1付3,4800,高楼层/21层,56,世纪东方城,精装
整租,距离地铁南楼梓庄619米,押2付3,15000,中楼层/18层,192,世纪东方城,豪装
整租,距离地铁欢乐谷景区1243米,押2付3,5500,顶层/28层,89.32,翠成馨园E区,精装
整租,距离地铁欢乐谷景区1243米,押2付3,3800,高楼层/23层,50,翠成馨园E区,精装
整租,距离地铁南楼梓庄619米,押1付3,4500,中楼层/12层,55,世纪东方城,中装
整租,,押2付3,4700,高楼层/28层,76,翠成馨园D区,精装
整租,,押2付3,5600,顶层/28层,76,翠成馨园D区,豪装
整租,距离地铁欢乐谷景区1243米,押1付3,6000,底层/28层,95,翠成馨园E区,精装
整租,距离地铁欢乐谷景区277米,押1付3,18000,高楼层/12层,189,北京华侨城,精装
合租,,押2付3,2300,高楼层/28层,16,翠成馨园D区,精装
整租,距离地铁欢乐谷景区277米,押2付3,13000,高楼层/18层,179,北京华侨城,精装
整租,距离地铁南楼梓庄299米,押2付3,5500,中楼层/30层,60,官悦欣园,精装
整租,,押2付3,6000,低楼层/28层,75,翠成馨园D区,精装
整租,距离地铁欢乐谷景区277米,押2付3,16500,高楼层/18层,165.77,北京华侨城,精装
整租,距离地铁欢乐谷景区1377米,押2付3,11000,中楼层/6层,124,翠成馨园B区,精装
合租,距离地铁南楼梓庄287米,押2付3,1800,顶层/6层,25,紫南家园,精装
整租,,押1付3,4900,低楼层/28层,76,翠成馨园D区,中装
整租,,押1付3,4800,高楼层/28层,78,翠成馨园D区,中装
整租,距离地铁欢乐谷景区277米,押2付3,13000,高楼层/18层,179,北京华侨城,精装
整租,距离地铁南楼梓庄619米,押2付3,22000,底层/21层,134.43,世纪东方城,精装
整租,距离地铁欢乐谷景区1243米,押1付3,5600,低楼层/28层,90,翠成馨园E区,中装
整租,距离地铁欢乐谷景区1243米,押2付3,4000,高楼层/28层,50,翠成馨园E区,精装
整租,,押1付3,4400,中楼层/28层,60,翠成馨园D区,精装
整租,距离地铁欢乐谷景区1061米,押2付3,6000,中楼层/11层,90,翠成馨园C区,精装
整租,距离地铁欢乐谷景区1092米,押2付3,6500,中楼层/18层,98,翠成馨园A区,精装
整租,距离地铁欢乐谷景区1061米,押2付3,4000,低楼层/13层,56,翠成馨园C区,精装
合租,距离地铁欢乐谷景区1243米,押1付3,2100,低楼层/22层,15,翠成馨园E区,中装
整租,距离地铁南楼梓庄299米,押2付3,7500,低楼层/30层,102,官悦欣园,中装
欢乐谷,距离地铁南楼梓庄287米,押1付3,5000,底层/6层,67.12,紫南家园,其他
欢乐谷,距离地铁南楼梓庄619米,押1付3,5600,底层/21层,60,世纪东方城,其他
整租,距离地铁南楼梓庄299米,押1付3,8000,中楼层/30层,90,官悦欣园,中装
整租,距离地铁欢乐谷景区1092米,押2付6,7500,高楼层/14层,130,翠成馨园A区,精装
欢乐谷,距离地铁欢乐谷景区277米,押1付3,15000,高楼层/18层,204,北京华侨城,整租
整租,距离地铁欢乐谷景区277米,押1付3,10000,中楼层/30层,87,北京华侨城,豪装
随时看房,距离地铁南楼梓庄619米,押1付3,3500,高楼层/21层,100,世纪东方城,精装
整租,距离地铁欢乐谷景区277米,押2付3,10000,底层/18层,102,北京华侨城,精装
整租,距离地铁南楼梓庄619米,押1付3,4600,中楼层/21层,57,世纪东方城,精装
合租,距离地铁欢乐谷景区1377米,押2付3,1900,高楼层/6层,15,翠成馨园B区,精装
合租,距离地铁南楼梓庄287米,押1付3,2200,高楼层/7层,133.49,紫南家园,中装
整租,距离地铁欢乐谷景区277米,押2付3,20000,高楼层/32层,214.83,北京华侨城,精装
整租,距离地铁南楼梓庄619米,押1付3,16000,中楼层/21层,195,世纪东方城,豪装
整租,距离地铁欢乐谷景区277米,押1付3,13500,中楼层/30层,170,北京华侨城,精装
整租,距离地铁南楼梓庄619米,押2付3,12000,高楼层/21层,152,世纪东方城,精装
整租,距离地铁欢乐谷景区1092米,押1付12,7000,高楼层/13层,126.94,翠成馨园A区,精装
整租,距离地铁南楼梓庄619米,押1付3,7500,低楼层/21层,92.98,世纪东方城,中装
整租,距离地铁南楼梓庄287米,押1付3,4700,中楼层/11层,62,紫南家园,精装
整租,距离地铁欢乐谷景区1243米,押2付3,5200,高楼层/20层,80,翠成馨园E区,精装
整租,,押2付3,4800,高楼层/28层,80,翠成馨园D区,精装
整租,距离地铁欢乐谷景区1243米,押2付3,5100,中楼层/28层,80,翠成馨园E区,精装
合租,距离地铁欢乐谷景区1243米,押2付3,2200,中楼层/28层,20,翠成馨园E区,精装
整租,距离地铁欢乐谷景区1243米,押2付3,5000,高楼层/23层,75,翠成馨园E区,中装
整租,距离地铁南楼梓庄619米,押1付3,8000,低楼层/21层,96,世纪东方城,精装
整租,距离地铁欢乐谷景区1092米,押1付3,6200,中楼层/14层,97,翠成馨园A区,精装
整租,距离地铁欢乐谷景区1061米,押2付3,4200,低楼层/16层,55,翠成馨园C区,中装
整租,距离地铁欢乐谷景区1061米,押1付3,5000,中楼层/16层,55,翠成馨园C区,精装
整租,距离地铁欢乐谷景区1092米,押1付3,4700,中楼层/13层,65,翠成馨园A区,简装
整租,距离地铁南楼梓庄619米,押2付3,4600,高楼层/11层,48,世纪东方城,简装
合租,距离地铁南楼梓庄299米,押2付3,2300,低楼层/30层,15,官悦欣园,精装
整租,距离地铁南楼梓庄619米,押1付3,6500,中楼层/21层,60,世纪东方城,精装
合租,距离地铁欢乐谷景区1061米,押2付3,4500,底层/18层,20,翠成馨园C区,简装
整租,距离地铁欢乐谷景区1061米,押1付3,4500,中楼层/11层,60,翠成馨园C区,精装
整租,距离地铁欢乐谷景区277米,押2付3,22000,中楼层/33层,243,北京华侨城,精装
整租,距离地铁南楼梓庄299米,押1付3,7700,高楼层/30层,98,官悦欣园,精装
整租,距离地铁欢乐谷景区1243米,押2付3,4200,顶层/28层,60,翠成馨园E区,中装
整租,距离地铁南楼梓庄299米,押2付3,5500,中楼层/30层,55,官悦欣园,精装
