chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁北工大西门879米,押2付3,16000,低楼层/21层,150,美景东方,豪装
整租,距离地铁十里河364米,押2付3,14000,中楼层/38层,130,御景园,精装
整租,距离地铁十里河364米,押2付3,16000,低楼层/38层,170,御景园,精装
整租,距离地铁十里河364米,押2付3,19000,低楼层/38层,206,御景园,精装
整租,距离地铁北工大西门627米,押1付3,4200,顶层/6层,46,双龙南里,中装
整租,距离地铁十里河364米,押2付3,8000,中楼层/38层,118,御景园,中装
整租,距离地铁北工大西门879米,押2付3,8500,中楼层/25层,98,美景东方,中装
整租,距离地铁十里河773米,押2付3,6500,低楼层/24层,79,方华苑,精装
整租,距离地铁北工大西门879米,押2付3,15000,低楼层/20层,150,美景东方,精装
整租,距离地铁北工大西门879米,押2付3,11000,低楼层/30层,103,美景东方,中装
整租,距离地铁十里河561米,押2付3,11000,低楼层/14层,137,龙头公寓,中装
整租,距离地铁北工大西门879米,押2付3,8300,中楼层/9层,97.17,美景东方,中装
整租,距离地铁十里河561米,押2付3,13000,高楼层/14层,163.6,龙头公寓,精装
整租,距离地铁北工大西门627米,押1付3,5500,底层/6层,47,双龙南里,豪装
合租,距离地铁北工大西门879米,押2付3,3800,高楼层/25层,20,美景东方,精装
整租,距离地铁北工大西门879米,押2付3,7800,低楼层/20层,76.02,美景东方,精装
整租,距离地铁十里河364米,押2付3,16000,中楼层/38层,189.75,御景园,简装
整租,距离地铁北工大西门644米,押2付3,7500,中楼层/6层,73.45,南新园,精装
整租,距离地铁潘家园635米,押2付3,6800,高楼层/22层,98.76,汉华苑,中装
整租,距离地铁十里河364米,押2付3,16000,低楼层/38层,192,御景园,精装
整租,距离地铁十里河561米,押1付3,14000,高楼层/14层,170,龙头公寓,精装
整租,距离地铁北工大西门627米,押2付3,4500,高楼层/18层,49.49,双龙南里,精装
整租,距离地铁北工大西门879米,押2付3,8200,底层/23层,85,美景东方,中装
整租,距离地铁潘家园802米,押1付3,7600,高楼层/23层,87.22,东景苑,精装
华威桥,距离地铁北工大西门879米,押1付3,6000,底层/23层,50.78,美景东方,其他
华威桥,距离地铁北工大西门879米,押1付3,8500,高楼层/28层,101,美景东方,其他
华威桥,距离地铁北工大西门879米,押1付3,6500,中楼层/23层,77,美景东方,其他
华威桥,距离地铁潘家园635米,押1付3,2700,高楼层/22层,25,汉华苑,其他
华威桥,距离地铁北工大西门627米,押1付3,5600,中楼层/18层,83,双龙南里,其他
距离地铁北工大西门627米,距离地铁北工大西门627米,押1付12,4500,低楼层/6层,46,双龙南里,整租
华威桥,距离地铁北工大西门879米,押1付3,12200,高楼层/25层,125.76,美景东方,其他
华威桥,距离地铁北工大西门879米,押1付3,8400,低楼层/23层,90,美景东方,其他
华威桥,距离地铁潘家园746米,押1付3,5880,底层/24层,69.89,书香庭,其他
华威桥,距离地铁北工大西门879米,押1付3,8600,中楼层/23层,82,美景东方,其他
华威桥,距离地铁北工大西门627米,押1付3,4200,高楼层/6层,47,双龙南里,其他
华威桥,距离地铁十里河561米,押1付3,4700,低楼层/20层,54.75,龙头公寓,其他
华威桥,距离地铁十里河561米,押1付3,4700,中楼层/14层,45,龙头公寓,其他
华威桥,距离地铁北工大西门627米,押1付3,3900,顶层/6层,46,双龙南里,其他
华威桥,距离地铁北工大西门644米,押1付3,4500,高楼层/24层,53.08,南新园,其他
距离地铁北工大西门644米,距离地铁北工大西门644米,押1付3,2200,中楼层/6层,12,南新园,合租
华威桥,距离地铁北工大西门627米,押1付3,4100,高楼层/6层,47,双龙南里,其他
华威桥,距离地铁北工大西门879米,押1付3,2400,低楼层/25层,18,美景东方,其他
华威桥,距离地铁北工大西门879米,押1付3,7200,高楼层/25层,90,美景东方,其他
华威桥,距离地铁北工大西门627米,押1付3,5200,中楼层/6层,36.7,双龙南里,其他
华威桥,距离地铁北工大西门627米,押1付3,5400,底层/6层,58.65,双龙南里,其他
整租,距离地铁潘家园635米,押2付3,7500,顶层/22层,80,汉华苑,中装
随时看房,距离地铁北工大西门879米,,8300,高楼层/28层,101,美景东方,精装
整租,距离地铁北工大西门879米,押2付3,15000,低楼层/30层,120,美景东方,精装
整租,距离地铁北工大西门879米,押2付3,11000,中楼层/23层,110,美景东方,中装
整租,距离地铁北工大西门879米,押1付12,8200,底层/21层,188,美景东方,中装
华威桥,距离地铁北工大西门627米,押1付3,7700,低楼层/18层,73.99,双龙南里,其他
华威桥,距离地铁北工大西门644米,押1付3,2200,高楼层/24层,12,南新园,其他
合租,距离地铁潘家园802米,押2付3,2700,高楼层/23层,15,东景苑,中装
华威桥,距离地铁北工大西门627米,押1付3,4700,顶层/6层,43.6,双龙南里,其他
华威桥,距离地铁北工大西门644米,押1付3,5100,中楼层/24层,47.32,南新园,其他
整租,距离地铁十里河561米,押2付3,7000,高楼层/14层,70,龙头公寓,精装
整租,距离地铁北工大西门879米,押2付3,13500,低楼层/23层,156,美景东方,精装
整租,距离地铁北工大西门943米,押2付3,17000,底层/9层,110,山水文园一期,精装
整租,距离地铁十里河773米,押1付3,6300,高楼层/22层,69.21,方华苑,精装
整租,距离地铁北工大西门879米,押2付3,6000,中楼层/23层,50,美景东方,精装
整租,距离地铁潘家园746米,押2付3,8000,中楼层/24层,90,书香庭,精装
整租,距离地铁北工大西门879米,押2付3,11000,高楼层/25层,113,美景东方,精装
整租,距离地铁北工大西门879米,押1付12,18000,底层/22层,60,美景东方,精装
整租,距离地铁北工大西门879米,押2付3,15000,中楼层/20层,150,美景东方,精装
整租,距离地铁北工大西门627米,押1付3,4700,低楼层/6层,46,双龙南里,精装
整租,距离地铁北工大西门627米,押2付3,5200,高楼层/6层,58.65,双龙南里,简装
合租,距离地铁北工大西门627米,押2付3,2400,底层/6层,15,双龙南里,中装
