chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁惠新西街南口208米,押2付3,19000,低楼层/17层,87.29,惠新西街33号院,豪装
整租,距离地铁惠新西街北口230米,押1付3,10000,中楼层/25层,106,千鹤家园,简装
合租,距离地铁惠新西街北口983米,押1付3,2800,中楼层/12层,13,惠新东街乙8号楼,精装
整租,距离地铁惠新西街北口410米,押2付1,11500,中楼层/25层,141.59,罗马花园,简装
整租,距离地铁光熙门648米,押2付3,5200,高楼层/6层,50,樱花东街,中装
整租,距离地铁惠新西街南口502米,押1付3,6500,顶层/6层,58,惠新里,中装
整租,距离地铁惠新西街北口446米,押2付3,8000,底层/16层,78.19,惠新北里,精装
合租,距离地铁光熙门648米,押1付3,2800,中楼层/6层,18,樱花东街,中装
整租,距离地铁惠新西街南口502米,押2付3,5500,底层/6层,56.55,惠新里,中装
合租,距离地铁惠新西街北口983米,押2付3,2600,顶层/12层,80,惠新东街乙8号楼,精装
整租,距离地铁和平西桥537米,押2付3,6500,高楼层/6层,55,胜古东里,中装
整租,距离地铁惠新西街南口208米,押2付3,7500,中楼层/6层,75,惠新西街33号院,精装
整租,距离地铁光熙门648米,押2付3,6500,中楼层/6层,70,樱花东街,精装
整租,距离地铁惠新西街南口502米,押2付3,6500,顶层/4层,58,惠新里,中装
整租,距离地铁惠新西街南口502米,押2付3,5500,顶层/6层,45,惠新里,精装
整租,距离地铁惠新西街北口379米,押2付3,7000,顶层/6层,70,惠新西街甲15号院,精装
整租,距离地铁惠新西街南口502米,押2付3,5500,顶层/6层,42.3,惠新里,精装
整租,距离地铁惠新西街南口208米,押2付3,7000,低楼层/17层,72.53,惠新西街33号院,中装
整租,距离地铁惠新西街南口502米,押2付3,9000,低楼层/6层,70,惠新里,精装
整租,距离地铁惠新西街北口230米,押1付12,37000,中楼层/25层,298,千鹤家园,精装
整租,距离地铁惠新西街南口502米,押2付3,6800,中楼层/14层,62,惠新里,中装
整租,距离地铁惠新西街南口398米,押2付3,8500,低楼层/16层,98,樱花园,豪装
整租,距离地铁和平西桥537米,押2付3,5600,高楼层/6层,44,胜古东里,中装
整租,距离地铁惠新西街南口398米,押2付3,6800,中楼层/6层,65,樱花园,精装
整租,距离地铁惠新西街南口232米,押2付3,5000,底层/6层,56,胜古北里,中装
随时看房,距离地铁惠新西街北口230米,,43000,低楼层/25层,330,千鹤家园,精装
整租,距离地铁惠新西街北口706米,押2付3,16500,中楼层/32层,178,世纪嘉园,精装
整租,距离地铁惠新西街北口265米,押1付3,11000,高楼层/11层,136,惠新苑,中装
整租,距离地铁惠新西街北口410米,押2付3,12000,中楼层/19层,144.7,罗马花园,精装
合租,距离地铁惠新西街南口232米,押2付3,2600,中楼层/6层,20,胜古北里,简装
合租,距离地铁惠新西街南口502米,押2付3,3000,低楼层/6层,15,惠新里,精装
整租,距离地铁惠新西街南口502米,押2付3,5300,顶层/6层,45,惠新里,中装
整租,距离地铁惠新西街北口230米,押2付3,10000,低楼层/25层,106,千鹤家园,精装
合租,距离地铁惠新西街南口502米,押2付3,2700,中楼层/5层,20,惠新里,中装
合租,距离地铁惠新西街南口398米,押2付3,3000,中楼层/6层,20,樱花园,简装
合租,距离地铁惠新西街北口230米,押2付3,5500,底层/25层,90,千鹤家园,精装
整租,距离地铁惠新西街南口502米,押2付3,5500,中楼层/5层,50,惠新里,精装
整租,距离地铁惠新西街南口398米,押2付3,2800,高楼层/6层,15,樱花园,中装
合租,距离地铁惠新西街南口398米,押2付3,4000,高楼层/6层,20,樱花园,精装
整租,距离地铁惠新西街北口230米,押2付3,10000,低楼层/25层,102,千鹤家园,精装
整租,距离地铁惠新西街北口446米,押2付3,10000,中楼层/10层,138,惠新北里,中装
整租,距离地铁惠新西街北口230米,押1付3,11000,中楼层/25层,110,千鹤家园,中装
距离地铁惠新西街南口487米,距离地铁惠新西街南口487米,押1付3,4700,中楼层/12层,20,小关北里,合租
合租,距离地铁惠新西街南口208米,押2付3,3500,中楼层/17层,25,惠新西街33号院,精装
合租,距离地铁惠新西街南口398米,押2付3,2650,顶层/6层,15,樱花园,中装
距离地铁惠新西街北口491米,距离地铁惠新西街北口491米,押1付3,2800,低楼层/6层,15,惠新东街5号院,合租
整租,距离地铁惠新西街南口398米,押2付3,5500,中楼层/6层,50,樱花园,中装
距离地铁惠新西街南口502米,距离地铁惠新西街南口502米,押1付3,3500,高楼层/12层,20,惠新里,合租
距离地铁惠新西街北口446米,距离地铁惠新西街北口446米,押1付3,7000,低楼层/16层,66.16,惠新北里,整租
距离地铁惠新西街北口491米,距离地铁惠新西街北口491米,押1付3,3400,低楼层/6层,20,惠新东街5号院,合租
惠新西街,距离地铁惠新西街北口443米,押1付3,5000,顶层/6层,56.93,北四环东路104号,其他
惠新西街,距离地铁惠新西街北口230米,押1付3,13500,低楼层/25层,105.96,千鹤家园,其他
惠新西街,距离地铁惠新西街北口560米,押1付3,4700,底层/6层,32,安苑东里一区,其他
惠新西街,距离地铁惠新西街南口724米,押1付3,3500,中楼层/6层,25,OLD惠新里,其他
惠新西街,距离地铁惠新西街北口560米,押1付3,2200,低楼层/6层,20,安苑东里一区,其他
惠新西街,距离地铁惠新西街南口487米,押1付3,6100,低楼层/14层,33.81,小关北里,其他
距离地铁惠新西街北口983米,距离地铁惠新西街北口983米,押1付3,2100,中楼层/12层,8,惠新东街乙8号楼,合租
距离地铁惠新西街南口724米,距离地铁惠新西街南口724米,押1付3,5100,中楼层/5层,35.05,OLD惠新里,整租
距离地铁惠新西街南口452米,距离地铁惠新西街南口452米,押1付3,5500,顶层/6层,40,OLD樱花园,整租
惠新西街,距离地铁惠新西街北口230米,押1付3,10800,中楼层/25层,95.75,千鹤家园,其他
惠新西街,距离地铁惠新西街南口724米,押1付3,6600,中楼层/6层,56.4,OLD惠新里,其他
距离地铁惠新西街南口237米,距离地铁惠新西街南口237米,押1付3,3600,顶层/6层,12,惠新南里5号院,合租
距离地铁惠新西街南口237米,距离地铁惠新西街南口237米,押1付3,4000,顶层/6层,20,惠新南里5号院,合租
