chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁奥体中心849米,押2付3,5500,中楼层/6层,47,华严北里小区,中装
健翔桥,距离地铁奥体中心1281米,押1付3,6400,顶层/6层,70,丝竹园,其他
距离地铁奥体中心849米,距离地铁奥体中心849米,押1付3,3700,中楼层/18层,12,华严北里小区,合租
健翔桥,距离地铁健德门668米,押1付3,6800,低楼层/6层,65,华严北里9号院,其他
健翔桥,距离地铁奥体中心1281米,押1付3,5500,底层/6层,41.03,丝竹园,其他
健翔桥,距离地铁奥体中心849米,押1付3,2800,顶层/6层,15,华严北里小区,其他
整租,距离地铁奥体中心849米,押2付3,6500,低楼层/10层,60,华严北里小区,简装
健翔桥,距离地铁奥体中心1027米,押1付12,3200,底层/22层,18,亚奥人家,其他
距离地铁奥体中心849米,距离地铁奥体中心849米,押1付3,2500,高楼层/18层,12,华严北里小区,合租
整租,距离地铁奥体中心849米,押1付3,6000,中楼层/6层,95,华严北里小区,中装
整租,距离地铁健德门540米,押1付3,5500,中楼层/11层,50,华严北里2号院,精装
整租,距离地铁奥体中心849米,押2付3,7300,中楼层/6层,65,华严北里小区,精装
整租,距离地铁健德门296米,押2付3,8000,顶层/6层,70,华严里,中装
整租,距离地铁奥体中心849米,押1付3,5300,中楼层/16层,45,华严北里小区,毛坯
合租,距离地铁奥体中心1018米,押2付3,3000,高楼层/28层,15,外国专家大厦,精装
整租,距离地铁奥体中心1018米,押2付3,9500,底层/28层,85,外国专家大厦,精装
整租,距离地铁奥体中心849米,押2付3,6000,高楼层/18层,52.24,华严北里小区,中装
整租,距离地铁奥体中心741米,押2付3,9600,底层/12层,94.91,北四环中路33号院,精装
整租,距离地铁健德门352米,押2付3,20000,中楼层/24层,166,马甸经典,豪装
整租,距离地铁健德门698米,押2付3,5000,底层/6层,50,华严北里二区1号院,简装
整租,距离地铁健德门970米,押2付3,7500,中楼层/16层,62,华严北里中科院,精装
