chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁劲松335米,押2付3,5200,中楼层/24层,50,农光里小区,精装
整租,距离地铁劲松335米,押1付3,2300,中楼层/6层,20,农光里小区,精装
整租,距离地铁劲松741米,押1付3,7600,低楼层/18层,86,农光东里,精装
整租,距离地铁劲松335米,押1付3,6500,中楼层/6层,65,农光里小区,精装
整租,距离地铁劲松335米,押1付3,6200,顶层/6层,60.75,农光里小区,中装
合租,距离地铁北工大西门702米,押1付3,2600,顶层/6层,15,武圣东里,精装
整租,距离地铁劲松335米,押2付3,8000,高楼层/6层,78,农光里小区,精装
整租,距离地铁劲松498米,押2付3,3600,顶层/4层,50,垂杨柳东里,简装
整租,距离地铁潘家园357米,押2付3,7000,中楼层/6层,77.24,建业苑,精装
整租,距离地铁劲松335米,押2付3,5600,中楼层/23层,70,农光里小区,中装
整租,距离地铁劲松335米,押2付3,6000,高楼层/6层,70,农光里小区,精装
合租,距离地铁潘家园451米,押1付1,2300,低楼层/6层,15,武圣西里,精装
整租,距离地铁劲松640米,押2付3,6400,底层/4层,54,劲松二区,精装
整租,距离地铁劲松335米,押2付3,6500,中楼层/12层,70,农光里小区,中装
整租,距离地铁潘家园346米,押1付3,9000,低楼层/20层,113,紫东苑,中装
整租,距离地铁潘家园357米,押1付3,8500,中楼层/19层,120,建业苑,精装
合租,距离地铁劲松482米,押2付3,2500,高楼层/28层,15,华腾园,精装
整租,距离地铁劲松335米,押1付3,6500,高楼层/24层,62.3,农光里小区,中装
整租,距离地铁劲松335米,押1付3,4500,中楼层/6层,45,农光里小区,简装
整租,距离地铁劲松428米,押2付3,11000,高楼层/17层,102,龙辉大厦,精装
整租,距离地铁劲松335米,押2付3,5800,低楼层/24层,45,农光里小区,精装
整租,距离地铁劲松335米,押1付3,6000,中楼层/20层,60,农光里小区,精装
整租,距离地铁劲松1180米,押2付3,6500,低楼层/6层,58,劲松七区,精装
整租,距离地铁劲松335米,押2付3,5000,中楼层/20层,50,农光里小区,简装
整租,距离地铁平乐园587米,押2付3,4500,底层/6层,45,农光南路,精装
整租,距离地铁劲松335米,押2付3,5500,高楼层/6层,50,农光里小区,中装
整租,距离地铁劲松590米,押2付3,5500,低楼层/6层,52.65,劲松四区,简装
整租,距离地铁双井247米,押2付3,12000,中楼层/30层,100,优士阁,精装
整租,距离地铁劲松335米,押2付3,8000,中楼层/23层,97,农光里小区,中装
整租,距离地铁劲松335米,押1付3,10000,高楼层/14层,110,农光里小区,豪装
整租,距离地铁广渠门外366米,押1付3,7600,低楼层/18层,78,广泉小区,简装
整租,距离地铁劲松269米,押1付3,6000,中楼层/5层,60,劲松三区,精装
合租,距离地铁劲松640米,押2付3,2200,低楼层/6层,15,劲松二区,精装
整租,距离地铁劲松384米,押1付3,6200,低楼层/6层,47,劲松南路,精装
合租,距离地铁潘家园193米,押1付3,2700,低楼层/6层,18,松榆北路,中装
整租,距离地铁劲松335米,押1付3,6000,中楼层/6层,62,农光里小区,精装
整租,距离地铁劲松335米,押1付3,4500,中楼层/6层,50,农光里小区,精装
整租,距离地铁劲松335米,押2付3,6500,中楼层/24层,67,农光里小区,中装
整租,距离地铁劲松482米,押2付3,11800,高楼层/28层,128.4,华腾园,豪装
整租,距离地铁劲松741米,押1付3,5000,高楼层/6层,50,农光东里,简装
合租,距离地铁潘家园357米,押2付3,2200,高楼层/19层,100.9,建业苑,精装
整租,距离地铁广渠门外366米,押1付3,13000,低楼层/22层,130,广泉小区,中装
整租,距离地铁潘家园346米,押2付3,17000,高楼层/20层,202,紫东苑,精装
整租,距离地铁双井247米,押2付3,13000,高楼层/30层,100,优士阁,中装
整租,距离地铁劲松339米,押2付3,5500,中楼层/5层,53,劲松一区,简装
整租,距离地铁潘家园193米,押1付3,7500,高楼层/6层,80,松榆北路,精装
整租,距离地铁北工大西门702米,押2付3,5000,高楼层/6层,40,武圣东里,精装
整租,距离地铁劲松269米,押2付3,6000,高楼层/16层,62.3,劲松三区,精装
整租,距离地铁广渠门外898米,押1付3,6500,底层/15层,65,广和南里二条,简装
劲松,距离地铁北工大西门702米,押1付3,1900,低楼层/6层,15,武圣东里,其他
劲松,距离地铁劲松482米,押1付3,8650,高楼层/28层,93,华腾园,其他
劲松,距离地铁北工大西门702米,押1付3,6000,高楼层/6层,54.3,武圣东里,其他
劲松,距离地铁双井576米,押1付3,7700,底层/5层,62.56,垂杨柳北里,其他
距离地铁劲松482米,距离地铁劲松482米,押1付3,8000,中楼层/22层,95,华腾园,整租
劲松,距离地铁劲松798米,押1付3,6000,底层/6层,53.3,劲松五区,其他
劲松,距离地铁劲松1180米,押1付3,5500,高楼层/6层,58.99,劲松七区,其他
劲松,距离地铁北工大西门702米,押1付3,2600,高楼层/17层,37.24,武圣东里,其他
劲松,距离地铁劲松1110米,押1付3,4600,顶层/6层,42.32,劲松八区,其他
