chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁将台1475米,押2付3,7300,高楼层/20层,92,上东三角洲,中装
整租,距离地铁东风北桥535米,押2付3,6000,中楼层/6层,75,酒仙桥十街坊,精装
整租,距离地铁东风北桥650米,押2付3,7000,中楼层/5层,60,酒仙桥十二街坊,简装
整租,距离地铁将台1475米,押2付3,8000,低楼层/24层,95,上东三角洲,中装
整租,距离地铁望京南530米,押1付3,5000,高楼层/16层,48,高家园四区,精装
合租,距离地铁望京南530米,押1付3,3500,高楼层/6层,23,高家园四区,中装
合租,距离地铁将台982米,押1付3,2300,中楼层/6层,13,酒仙桥五街坊,简装
整租,距离地铁将台1417米,押1付3,9000,中楼层/9层,95,卡布其诺,精装
整租,距离地铁将台804米,押2付3,6500,高楼层/22层,68.47,丽都宿舍,中装
整租,距离地铁将台108米,押2付3,7200,低楼层/24层,64,飘HOME,精装
整租,距离地铁将台268米,押2付3,6500,中楼层/6层,60,芳园南里,精装
整租,距离地铁将台804米,押2付3,7500,中楼层/23层,72.27,丽都宿舍,精装
整租,距离地铁将台312米,押2付3,5300,低楼层/6层,41,芳园里,中装
合租,,押2付3,2600,中楼层/24层,16,梵谷水郡,中装
整租,距离地铁东风北桥535米,押2付3,5500,顶层/6层,60,酒仙桥十街坊,中装
整租,,押1付3,5600,高楼层/24层,46,梵谷水郡,精装
合租,,押1付3,4000,顶层/24层,45,梵谷水郡,精装
整租,,押1付3,15000,中楼层/23层,110,丽都壹号,精装
整租,距离地铁将台835米,押2付3,12000,高楼层/28层,77,海润国际,精装
整租,,押1付3,6800,低楼层/19层,72,驼房营南里,中装
整租,距离地铁将台538米,押2付3,10000,中楼层/20层,108.73,晶都国际,精装
合租,距离地铁东风北桥535米,押2付3,2900,低楼层/4层,20,酒仙桥十街坊,中装
整租,,押1付3,7200,低楼层/19层,70,驼房营南里,精装
合租,距离地铁将台1402米,押2付3,2600,中楼层/22层,15,电子城小区,简装
整租,距离地铁望京南521米,押1付3,4600,高楼层/16层,48,高家园三区,中装
合租,距离地铁将台1402米,押1付3,3000,低楼层/22层,35,电子城小区,简装
整租,距离地铁将台1316米,押1付3,5300,低楼层/6层,59.28,酒仙桥三街坊,精装
合租,距离地铁将台1402米,押2付3,2700,低楼层/28层,15,电子城小区,中装
整租,距离地铁望京南679米,押1付3,5500,中楼层/5层,60,大山子南里,精装
合租,距离地铁将台1316米,押1付3,2600,顶层/6层,59.61,酒仙桥三街坊,中装
整租,距离地铁将台705米,押2付3,5200,底层/6层,45,酒仙桥一街坊,精装
整租,距离地铁将台705米,押2付3,5000,中楼层/5层,40,酒仙桥一街坊,精装
整租,距离地铁将台538米,押3付3,7000,顶层/21层,69.19,晶都国际,精装
整租,,押1付3,7500,低楼层/28层,86,梵谷水郡,精装
整租,距离地铁将台1475米,押1付3,12000,低楼层/20层,141,上东三角洲,精装
合租,距离地铁将台1475米,押1付3,2700,低楼层/19层,95,上东三角洲,中装
整租,距离地铁将台312米,押2付3,6500,底层/6层,53,芳园里,简装
整租,距离地铁望京南599米,押1付3,6000,中楼层/6层,62,酒仙桥路7号院,中装
整租,距离地铁将台835米,押2付3,23000,高楼层/28层,155,海润国际,精装
整租,,押1付3,5500,中楼层/24层,46,梵谷水郡,精装
整租,,押1付3,8000,中楼层/24层,90,梵谷水郡,中装
整租,距离地铁将台1417米,押2付3,6800,中楼层/9层,60,卡布其诺,精装
整租,,押1付3,11000,高楼层/18层,114.57,梵谷水郡,精装
整租,距离地铁东风北桥1159米,押1付3,5500,顶层/5层,65,广播电视局宿舍,中装
合租,距离地铁将台312米,押1付3,2800,中楼层/6层,70,芳园里,精装
整租,距离地铁将台835米,押1付3,21000,低楼层/28层,155,海润国际,精装
合租,距离地铁将台1402米,押1付3,1600,底层/28层,118,电子城小区,简装
整租,距离地铁将台312米,押2付3,6000,中楼层/5层,55,芳园里,中装
整租,距离地铁将台835米,押1付3,13000,高楼层/28层,80,海润国际,精装
整租,,押1付3,6800,低楼层/20层,55,驼房营南里,精装
整租,,押1付3,8300,顶层/9层,88.13,梵谷水郡,精装
整租,距离地铁将台594米,押1付3,12000,中楼层/15层,117,新华联丽港,精装
整租,距离地铁将台538米,押2付3,9500,高楼层/20层,108.48,晶都国际,精装
整租,距离地铁将台665米,押1付3,7300,低楼层/24层,65.92,风景线,精装
整租,,押2付3,11000,底层/22层,87,丽都壹号,精装
整租,距离地铁将台665米,押2付3,11000,中楼层/24层,111.88,风景线,精装
整租,,押1付3,14000,高楼层/25层,82.94,丽都壹号,精装
整租,距离地铁望京南700米,押1付3,6500,高楼层/16层,58,高家园二区,精装
整租,,押1付3,13000,高楼层/24层,86,丽都壹号,豪装
整租,距离地铁东风北桥650米,押2付3,6000,底层/5层,54,酒仙桥十二街坊,简装
合租,距离地铁将台1324米,押1付3,2600,顶层/6层,18,酒仙桥南路4号院,精装
整租,距离地铁东风北桥535米,押2付3,4000,底层/6层,40,酒仙桥十街坊,中装
整租,距离地铁东风北桥650米,押2付3,6500,底层/5层,70,酒仙桥十二街坊,精装
整租,距离地铁望京南679米,押2付3,6000,中楼层/6层,60,大山子南里,简装
整租,,押2付3,10000,中楼层/22层,61.15,丽都壹号,中装
整租,距离地铁将台835米,押1付3,23000,低楼层/28层,161,海润国际,精装
整租,距离地铁将台886米,押1付3,5500,中楼层/6层,56,酒仙桥二街坊,中装
合租,距离地铁东风北桥788米,押2付3,2800,底层/1层,16,酒仙桥七街坊,简装
整租,距离地铁将台312米,押1付3,4700,中楼层/6层,45,芳园里,中装
整租,距离地铁将台776米,押2付3,15000,底层/28层,157,丽都东方国际公寓,精装
整租,距离地铁望京南530米,押2付3,6500,低楼层/6层,60,高家园四区,精装
整租,距离地铁望京南530米,押2付3,6500,高楼层/6层,62,高家园四区,精装
整租,距离地铁望京南599米,押1付3,8000,中楼层/6层,80,酒仙桥路7号院,中装
整租,距离地铁将台538米,押2付3,6800,中楼层/21层,65,晶都国际,中装
整租,,押2付3,15000,底层/25层,122,丽都壹号,精装
整租,距离地铁将台1337米,押2付3,15000,中楼层/9层,139,丽都东镇,精装
整租,距离地铁将台1475米,押2付3,8000,中楼层/24层,95,上东三角洲,中装
整租,距离地铁将台538米,押2付3,9500,中楼层/21层,95,晶都国际,精装
整租,距离地铁将台538米,押2付3,11000,高楼层/20层,98.32,晶都国际,精装
整租,距离地铁将台1475米,押2付3,7800,中楼层/19层,105,上东三角洲,中装
整租,,押2付3,7200,高楼层/6层,74.18,驼房营南里,中装
整租,距离地铁东风北桥535米,押2付3,5500,高楼层/6层,60,酒仙桥十街坊,中装
整租,距离地铁将台1417米,押1付3,7000,顶层/9层,58,卡布其诺,精装
整租,距离地铁将台321米,押2付3,6600,顶层/6层,60,将台路,中装
整租,距离地铁将台108米,押1付3,7000,中楼层/24层,58,飘HOME,精装
整租,距离地铁将台1316米,押2付3,6000,中楼层/6层,70,酒仙桥三街坊,中装
整租,距离地铁东风北桥254米,押2付3,7000,高楼层/27层,47.6,瞰都国际,精装
整租,距离地铁将台835米,押2付3,13000,低楼层/28层,75,海润国际,精装
整租,距离地铁将台886米,押2付3,5800,底层/6层,69,酒仙桥二街坊,中装
整租,距离地铁将台1417米,押2付3,11500,高楼层/9层,107,卡布其诺,精装
距离地铁将台666米,距离地铁将台666米,押1付3,2800,顶层/6层,12,芳园南里西区,合租
距离地铁将台666米,距离地铁将台666米,押1付3,3800,顶层/6层,15,芳园南里西区,合租
合租,距离地铁将台312米,押1付3,3300,底层/6层,60,芳园里,简装
整租,距离地铁东风北桥254米,押2付3,7500,中楼层/19层,64,瞰都国际,精装
合租,距离地铁将台312米,押2付3,1800,底层/5层,9,芳园里,简装
整租,距离地铁东风北桥595米,押2付3,6000,底层/6层,75,酒仙桥十一街坊,中装
整租,距离地铁东风北桥254米,押2付3,10000,低楼层/17层,86,瞰都国际,中装
整租,距离地铁将台776米,押1付3,15000,高楼层/28层,152.41,丽都东方国际公寓,精装
合租,距离地铁东风北桥254米,押1付3,3500,高楼层/19层,160,瞰都国际,精装
合租,距离地铁望京南521米,押1付3,2600,底层/6层,20,高家园三区,中装
整租,距离地铁将台835米,押2付3,38000,高楼层/28层,175,海润国际,精装
整租,距离地铁东风北桥254米,押1付3,28000,高楼层/25层,140,瞰都国际,精装
整租,距离地铁将台754米,押1付3,8500,高楼层/6层,63,酒仙桥中路3号院,精装
整租,距离地铁东风北桥254米,押2付3,9500,低楼层/25层,88,瞰都国际,精装
