chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁北沙滩692米,押2付3,3000,低楼层/21层,20,懿品阁,精装
整租,距离地铁奥林匹克公园694米,押2付3,4500,底层/11层,30,风林绿洲,精装
整租,距离地铁北沙滩775米,押2付3,6500,高楼层/13层,68,南沙滩小区,中装
整租,距离地铁北沙滩775米,押2付3,8000,中楼层/6层,80,南沙滩小区,精装
整租,距离地铁北沙滩775米,押1付3,5300,中楼层/10层,48.01,南沙滩小区,中装
整租,距离地铁北沙滩415米,押1付3,7100,中楼层/8层,65,北沙滩4号院,精装
整租,距离地铁北沙滩775米,押2付3,5000,低楼层/6层,45,南沙滩小区,简装
整租,距离地铁北沙滩775米,押1付3,6200,低楼层/6层,65,南沙滩小区,精装
整租,距离地铁北沙滩775米,押2付3,6500,中楼层/9层,60,南沙滩小区,中装
整租,距离地铁北沙滩775米,押2付3,6000,中楼层/6层,65,南沙滩小区,简装
合租,距离地铁北沙滩775米,押2付3,3500,顶层/6层,25,南沙滩小区,中装
整租,距离地铁北沙滩627米,押1付3,9500,中楼层/17层,110,天和人家,豪装
整租,距离地铁北沙滩537米,押1付3,7000,低楼层/18层,92,公安局宿舍,中装
整租,距离地铁北沙滩775米,押1付3,5000,低楼层/6层,45,南沙滩小区,精装
合租,距离地铁奥林匹克公园934米,押2付3,3200,高楼层/6层,83,科学园小区,精装
整租,距离地铁北沙滩787米,押1付3,5800,高楼层/18层,64.36,北沙滩8号院,精装
整租,距离地铁北沙滩787米,押1付3,7000,中楼层/18层,80.15,北沙滩8号院,精装
整租,距离地铁奥林匹克公园934米,押2付3,6500,中楼层/6层,51,科学园小区,中装
整租,距离地铁北沙滩775米,押1付3,6000,顶层/6层,42,南沙滩小区,简装
整租,距离地铁北沙滩623米,押1付3,5500,低楼层/16层,47,中天国际,简装
整租,距离地铁北沙滩534米,押1付3,6800,顶层/7层,67,北沙滩6号院,精装
整租,距离地铁北沙滩611米,押1付3,8000,顶层/14层,85,中和家园,精装
整租,距离地铁北沙滩775米,押2付3,5000,中楼层/10层,50,南沙滩小区,简装
整租,距离地铁北沙滩775米,押2付3,6500,低楼层/6层,60,南沙滩小区,精装
整租,距离地铁奥林匹克公园694米,押1付3,5000,中楼层/18层,40,风林绿洲,精装
合租,距离地铁北沙滩775米,押2付3,2600,底层/6层,20,南沙滩小区,简装
合租,距离地铁奥林匹克公园934米,押1付3,1900,低楼层/6层,15,科学园小区,中装
整租,距离地铁北沙滩775米,押1付3,4800,低楼层/10层,48,南沙滩小区,简装
整租,距离地铁北沙滩850米,押1付3,16000,低楼层/18层,92,绿城北京诚园,精装
整租,距离地铁北沙滩850米,押2付3,16000,中楼层/18层,98,绿城北京诚园,精装
整租,距离地铁北沙滩469米,押1付3,5800,低楼层/26层,45,冠军城,中装
整租,距离地铁北沙滩775米,押2付6,8000,高楼层/15层,84.64,南沙滩小区,精装
整租,距离地铁北沙滩850米,押1付3,16000,高楼层/18层,95,绿城北京诚园,精装
整租,距离地铁北沙滩611米,押2付3,7000,中楼层/6层,72,中和家园,中装
南沙滩,距离地铁北沙滩775米,押1付3,5000,高楼层/6层,43.58,南沙滩小区,其他
合租,距离地铁北沙滩534米,押1付3,2500,中楼层/6层,15,北沙滩6号院,精装
合租,距离地铁北沙滩848米,押2付3,3000,高楼层/6层,18,龙欣苑,中装
整租,距离地铁奥林匹克公园934米,押1付3,6500,高楼层/21层,65,科学园小区,精装
整租,距离地铁北沙滩415米,押2付3,6500,低楼层/6层,60,北沙滩4号院,精装
整租,距离地铁北沙滩627米,押2付3,9000,高楼层/28层,109,天和人家,精装
整租,距离地铁北沙滩627米,押1付3,9000,高楼层/22层,102,天和人家,精装
整租,距离地铁北沙滩537米,押2付3,8500,顶层/18层,99,公安局宿舍,精装
整租,距离地铁奥林匹克公园694米,押1付3,17000,低楼层/18层,188,风林绿洲,精装
整租,距离地铁北沙滩470米,押2付3,10000,顶层/6层,108,北沙滩1号院,豪装
整租,距离地铁北沙滩692米,押2付3,6100,高楼层/21层,72,懿品阁,中装
整租,距离地铁奥林匹克公园694米,押2付3,15000,底层/14层,130,风林绿洲,中装
整租,距离地铁北沙滩775米,押2付3,4800,中楼层/6层,45,南沙滩小区,简装
整租,距离地铁北沙滩627米,押1付3,9000,中楼层/17层,110,天和人家,精装
合租,距离地铁北沙滩775米,押2付3,2500,中楼层/6层,25,南沙滩小区,简装
整租,距离地铁奥林匹克公园694米,押2付3,16000,高楼层/9层,190,风林绿洲,中装
整租,距离地铁北沙滩692米,押1付3,5000,低楼层/21层,37.79,懿品阁,精装
整租,距离地铁北沙滩775米,押1付3,9000,底层/6层,100,南沙滩小区,精装
整租,距离地铁北沙滩627米,押2付6,11000,底层/28层,126,天和人家,中装
整租,距离地铁北沙滩775米,押2付3,6500,顶层/6层,60,南沙滩小区,精装
整租,距离地铁北沙滩775米,押2付3,6500,中楼层/6层,60,南沙滩小区,精装
整租,距离地铁北沙滩623米,押1付3,5200,高楼层/16层,48,中天国际,精装
整租,距离地铁北沙滩469米,押2付3,14000,高楼层/23层,157,冠军城,毛坯
整租,距离地铁北沙滩627米,押2付3,8800,高楼层/22层,89.1,天和人家,精装
整租,距离地铁北沙滩627米,押1付3,5500,中楼层/22层,43,天和人家,精装
整租,距离地铁北沙滩775米,押2付3,5500,底层/6层,50,南沙滩小区,精装
南沙滩,距离地铁北沙滩470米,押1付3,3500,底层/6层,25,北沙滩1号院,其他
整租,距离地铁奥林匹克公园694米,押2付3,16000,底层/14层,182,风林绿洲,精装
整租,距离地铁北沙滩623米,押2付3,5300,高楼层/16层,48,中天国际,精装
南沙滩,距离地铁北沙滩905米,押1付3,5300,低楼层/14层,51.56,名苑雅居,其他
整租,距离地铁北沙滩692米,押1付3,8500,低楼层/21层,85,懿品阁,精装
南沙滩,距离地铁北沙滩787米,押1付3,6500,高楼层/18层,73.23,北沙滩8号院,其他
整租,距离地铁北沙滩692米,押1付3,8100,高楼层/21层,85,懿品阁,精装
整租,距离地铁北沙滩627米,押2付3,6500,高楼层/22层,48.66,天和人家,精装
合租,距离地铁北沙滩534米,押2付3,2500,中楼层/6层,15,北沙滩6号院,中装
整租,距离地铁北沙滩775米,押2付3,5800,低楼层/6层,60,南沙滩小区,简装
整租,距离地铁北沙滩627米,押1付3,5200,中楼层/22层,45,天和人家,中装
整租,距离地铁北沙滩775米,押2付3,6700,高楼层/6层,65,南沙滩小区,中装
整租,距离地铁北沙滩627米,押2付3,7500,高楼层/27层,89,天和人家,中装
整租,距离地铁北沙滩775米,押1付3,5000,高楼层/12层,45,南沙滩小区,简装
