chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁枣营258米,押1付3,5800,中楼层/6层,40,枣营北里,中装
整租,距离地铁枣营475米,押2付3,4000,高楼层/6层,50.7,朝阳公园西里北区,简装
整租,距离地铁团结湖193米,押2付3,8000,底层/14层,90,农展南里,中装
整租,距离地铁团结湖193米,押2付3,9800,高楼层/6层,100,农展南里,中装
整租,距离地铁枣营475米,押2付3,7000,低楼层/6层,62.4,朝阳公园西里北区,精装
整租,距离地铁枣营321米,押2付3,12500,低楼层/18层,130,宾都苑,精装
合租,距离地铁枣营258米,押2付3,2900,中楼层/18层,20,枣营北里,精装
整租,距离地铁团结湖193米,押2付3,6500,底层/6层,65,农展南里,精装
整租,距离地铁枣营475米,押2付3,7500,低楼层/6层,65,朝阳公园西里北区,精装
整租,距离地铁朝阳公园497米,押1付3,22000,低楼层/18层,220,京达国际公寓,中装
整租,距离地铁枣营258米,押2付3,8300,高楼层/18层,69.43,枣营北里,精装
农展馆,距离地铁枣营235米,押1付3,3600,中楼层/18层,18,伯宁花园,其他
距离地铁枣营475米,距离地铁枣营475米,押1付3,6000,中楼层/6层,48,朝阳公园西里北区,整租
整租,距离地铁朝阳公园664米,押2付3,17500,中楼层/32层,123.7,博雅园,精装
农展馆,距离地铁枣营248米,押1付3,7500,高楼层/6层,63.41,枣营南里,其他
整租,距离地铁朝阳公园524米,押2付3,26000,低楼层/21层,194.85,景园大厦,中装
整租,距离地铁枣营475米,押2付3,6500,中楼层/6层,60,朝阳公园西里北区,中装
合租,距离地铁朝阳公园720米,押2付3,3200,底层/18层,15,朝阳公园西里南区,中装
整租,距离地铁枣营248米,押2付3,6500,顶层/6层,65.48,枣营南里,精装
整租,距离地铁朝阳公园720米,押1付3,7000,底层/18层,60,朝阳公园西里南区,中装
整租,距离地铁枣营258米,押2付3,9500,中楼层/18层,78.73,枣营北里,精装
整租,距离地铁枣营475米,押2付3,7000,中楼层/6层,65,朝阳公园西里北区,中装
整租,距离地铁枣营258米,押1付3,7500,底层/6层,65,枣营北里,精装
整租,距离地铁枣营475米,押2付3,5300,顶层/6层,46,朝阳公园西里北区,简装
整租,距离地铁枣营492米,押2付3,11500,低楼层/20层,67.74,海悦名门,精装
整租,距离地铁枣营248米,押1付3,8000,顶层/6层,65.48,枣营南里,中装
整租,距离地铁枣营248米,押2付3,8400,低楼层/16层,73.82,枣营南里,精装
