chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
合租,距离地铁潘家园693米,押1付3,2300,高楼层/6层,15,华威西里,中装
整租,距离地铁潘家园378米,押1付3,10000,低楼层/28层,110,翌景嘉园,精装
整租,距离地铁潘家园693米,押2付3,5500,低楼层/6层,48.57,华威西里,精装
合租,距离地铁潘家园1119米,押2付3,2500,顶层/16层,18,潘家园南里,中装
整租,距离地铁潘家园387米,押2付3,6200,顶层/6层,59,华威北里,精装
整租,距离地铁潘家园387米,押1付3,4700,中楼层/18层,45,华威北里,简装
整租,距离地铁十里河691米,押2付3,6000,中楼层/28层,72,弘善家园,精装
整租,距离地铁十里河691米,押1付3,6200,中楼层/28层,74,弘善家园,中装
整租,距离地铁十里河691米,押2付3,5500,高楼层/28层,60,弘善家园,精装
整租,距离地铁北工大西门626米,押1付3,4500,顶层/6层,48.6,松榆里,中装
合租,距离地铁潘家园409米,押1付3,2200,中楼层/6层,12,松榆西里,中装
整租,距离地铁潘家园703米,押2付3,5800,低楼层/18层,76,潘家园东里,精装
整租,距离地铁潘家园409米,押1付3,5800,底层/6层,68.98,松榆西里,精装
整租,距离地铁潘家园1079米,押1付3,8900,中楼层/22层,115.36,方丹苑,精装
整租,距离地铁潘家园1米,押2付3,4500,低楼层/20层,50,潘家园,简装
整租,距离地铁潘家园409米,押1付12,5000,高楼层/18层,62.55,松榆西里,中装
合租,距离地铁潘家园693米,押2付3,2300,底层/6层,63.53,华威西里,精装
整租,距离地铁潘家园409米,押2付3,5800,低楼层/20层,63.57,松榆西里,简装
整租,距离地铁北工大西门626米,押2付3,5300,底层/6层,61.2,松榆里,中装
合租,距离地铁潘家园1023米,押1付3,2600,低楼层/19层,25,嘉禾园,中装
整租,距离地铁潘家园409米,押1付3,6000,顶层/6层,50.19,松榆西里,中装
整租,距离地铁潘家园693米,押2付3,2500,低楼层/22层,20,华威西里,精装
整租,距离地铁潘家园378米,押2付3,9500,高楼层/28层,110,翌景嘉园,精装
整租,距离地铁十里河691米,押1付3,6500,中楼层/16层,73,弘善家园,中装
整租,距离地铁潘家园409米,押1付3,5800,高楼层/6层,65,松榆西里,中装
合租,距离地铁潘家园409米,押2付3,2600,低楼层/6层,25,松榆西里,中装
整租,距离地铁潘家园409米,押1付3,7000,低楼层/6层,86,松榆西里,中装
整租,距离地铁十里河691米,押1付3,6400,低楼层/28层,75,弘善家园,精装
整租,距离地铁十里河691米,押1付3,5600,高楼层/27层,72,弘善家园,精装
合租,距离地铁十里河431米,押1付3,3500,中楼层/23层,149.07,华辉苑,中装
合租,距离地铁潘家园409米,押1付3,3000,中楼层/19层,18,松榆西里,中装
整租,距离地铁潘家园693米,押2付3,4500,顶层/6层,50.35,华威西里,中装
整租,距离地铁潘家园1079米,押1付3,8600,低楼层/22层,115.2,方丹苑,精装
整租,距离地铁潘家园409米,押2付3,5500,中楼层/20层,60,松榆西里,中装
整租,距离地铁潘家园1282米,押2付3,16000,中楼层/24层,173.72,濠景阁,精装
合租,距离地铁潘家园1米,押2付3,2700,高楼层/6层,20,潘家园,简装
合租,距离地铁潘家园693米,押2付3,2200,中楼层/6层,63.24,华威西里,精装
合租,距离地铁北工大西门626米,押2付3,2500,低楼层/6层,20,松榆里,中装
合租,距离地铁潘家园693米,押1付3,3100,中楼层/12层,25,华威西里,精装
整租,距离地铁潘家园273米,押1付3,6300,中楼层/28层,68.95,百环花园,中装
整租,距离地铁潘家园693米,押2付3,5500,底层/6层,53.62,华威西里,简装
整租,距离地铁潘家园1米,押2付3,2300,中楼层/12层,95,潘家园,中装
合租,距离地铁北工大西门626米,押2付3,3000,高楼层/19层,20,松榆里,精装
整租,距离地铁潘家园387米,押1付6,6500,低楼层/18层,62,华威北里,中装
整租,距离地铁北工大西门626米,押2付3,5500,中楼层/18层,66,松榆里,简装
整租,距离地铁北工大西门626米,押2付3,5000,低楼层/18层,44.5,松榆里,精装
整租,距离地铁潘家园378米,押2付3,12500,高楼层/28层,170,翌景嘉园,中装
整租,距离地铁北工大西门626米,押1付3,4500,低楼层/6层,55,松榆里,精装
