chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁团结湖739米,押2付3,7800,中楼层/18层,68,三里屯南路,精装
整租,距离地铁东大桥655米,押2付3,8500,中楼层/22层,63,泰悦豪庭,中装
整租,距离地铁呼家楼357米,押2付3,19000,顶层/25层,105,圣世一品,精装
整租,距离地铁团结湖692米,押2付3,7500,顶层/4层,65,中纺里东里,中装
整租,距离地铁团结湖270米,押2付3,8200,低楼层/12层,56.65,白家庄北里,精装
整租,距离地铁团结湖751米,押2付3,27000,高楼层/29层,162.26,三里屯SOHO公寓,精装
整租,距离地铁团结湖270米,押1付3,7500,高楼层/6层,65,白家庄北里,中装
整租,距离地铁团结湖270米,押2付3,8000,底层/18层,56,白家庄北里,中装
整租,距离地铁团结湖751米,押2付3,33000,低楼层/28层,209.37,三里屯SOHO公寓,精装
整租,距离地铁团结湖751米,押2付3,37000,低楼层/29层,249,三里屯SOHO公寓,精装
整租,距离地铁东大桥615米,押2付3,18000,高楼层/23层,166,康堡花园,精装
整租,距离地铁团结湖509米,押1付3,26000,中楼层/28层,198,富力爱丁堡公馆,精装
整租,距离地铁东大桥656米,押2付3,12500,低楼层/28层,98.75,华源之星,精装
整租,距离地铁东大桥615米,押2付3,30000,底层/23层,214,康堡花园,精装
整租,距离地铁东大桥655米,押1付3,9500,高楼层/22层,70,泰悦豪庭,精装
整租,距离地铁团结湖751米,押2付3,30000,高楼层/34层,156,三里屯SOHO公寓,精装
整租,距离地铁农业展览馆981米,押2付3,43000,中楼层/21层,266,首开铂郡,精装
整租,距离地铁团结湖305米,押1付3,36000,中楼层/19层,167,瑞安君汇,精装
整租,距离地铁团结湖305米,押2付3,38000,低楼层/19层,172,瑞安君汇,豪装
整租,距离地铁团结湖751米,押2付3,28000,高楼层/29层,182,三里屯SOHO公寓,精装
整租,距离地铁东大桥656米,押1付3,7200,低楼层/28层,48,华源之星,精装
整租,距离地铁东大桥615米,押2付3,16500,低楼层/23层,167.06,康堡花园,精装
整租,距离地铁东大桥655米,押2付3,8500,高楼层/22层,57,泰悦豪庭,精装
整租,距离地铁团结湖509米,押2付3,17000,低楼层/28层,103,富力爱丁堡公馆,精装
整租,距离地铁东大桥656米,押2付3,8000,高楼层/28层,60,华源之星,精装
整租,距离地铁东大桥656米,押2付3,15000,中楼层/23层,98.84,华源之星,精装
整租,距离地铁团结湖739米,押2付3,9000,中楼层/12层,68,三里屯南路,精装
整租,距离地铁团结湖739米,押2付3,8500,顶层/4层,65,三里屯南路,精装
整租,距离地铁团结湖458米,押2付3,7700,中楼层/5层,65,东三里屯社区,中装
整租,距离地铁东大桥656米,押1付3,10000,中楼层/28层,98.84,华源之星,豪装
整租,距离地铁团结湖751米,押1付3,29000,低楼层/29层,181.92,三里屯SOHO公寓,精装
整租,距离地铁团结湖509米,押2付3,16000,高楼层/20层,90,富力爱丁堡公馆,豪装
合租,距离地铁团结湖458米,押2付3,4000,中楼层/4层,25,东三里屯社区,中装
整租,距离地铁农业展览馆885米,押2付3,7500,底层/6层,61.06,幸福三村,精装
整租,距离地铁东大桥656米,押1付12,9000,底层/28层,50,华源之星,精装
距离地铁东大桥700米,距离地铁东大桥700米,押1付3,2850,低楼层/6层,22,中纺里,整租
三里屯,距离地铁东大桥615米,押1付3,15000,底层/23层,126.36,康堡花园,其他
三里屯,距离地铁东大桥655米,押1付3,7700,底层/22层,60.46,泰悦豪庭,其他
整租,距离地铁农业展览馆885米,押2付3,2800,高楼层/6层,12,幸福三村,精装
三里屯,距离地铁呼家楼357米,押1付3,31500,顶层/25层,116.15,圣世一品,其他
三里屯,距离地铁团结湖601米,押1付3,4500,中楼层/5层,35,白家庄西里,其他
距离地铁团结湖739米,距离地铁团结湖739米,押1付3,3000,中楼层/18层,10,三里屯南路,合租
三里屯,距离地铁农业展览馆885米,押1付3,7300,中楼层/6层,61.06,幸福三村,其他
距离地铁团结湖739米,距离地铁团结湖739米,押1付3,4300,中楼层/18层,20,三里屯南路,合租
整租,距离地铁东大桥615米,押2付3,18600,中楼层/22层,126.39,康堡花园,精装
