chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁太阳宫574米,押1付3,24000,低楼层/25层,188,UHN国际村,精装
整租,距离地铁三元桥652米,押2付3,5800,高楼层/18层,44,曙光里,中装
合租,距离地铁三元桥652米,押1付3,3800,低楼层/6层,20,曙光里,精装
整租,距离地铁三元桥707米,押1付6,5000,中楼层/6层,42,曙光西里,中装
整租,距离地铁三元桥656米,押2付3,22000,底层/27层,174,太阳星城金星园,精装
整租,距离地铁三元桥656米,押1付3,8000,中楼层/12层,45,太阳星城金星园,精装
整租,距离地铁三元桥652米,押2付3,6500,顶层/3层,58,曙光里,精装
整租,距离地铁三元桥537米,押1付3,14000,低楼层/23层,75,裘马都,精装
整租,距离地铁三元桥707米,押2付3,6000,高楼层/6层,63,曙光西里,精装
整租,距离地铁三元桥516米,押2付3,8000,高楼层/12层,70,尚家楼48号院,精装
整租,距离地铁三元桥537米,押0付3,11000,低楼层/23层,76,裘马都,精装
整租,距离地铁柳芳828米,押2付3,10000,高楼层/20层,99,MASTER领寓,精装
整租,距离地铁三元桥656米,押1付3,22000,中楼层/22层,175.81,太阳星城金星园,精装
整租,距离地铁三元桥707米,押2付3,7000,中楼层/6层,52,曙光西里,中装
整租,距离地铁三元桥516米,押2付3,7000,高楼层/6层,80,尚家楼48号院,中装
整租,距离地铁三元桥652米,押2付3,9000,低楼层/18层,75.7,曙光里,中装
整租,距离地铁柳芳828米,押1付3,8500,底层/20层,58,MASTER领寓,豪装
整租,距离地铁柳芳828米,押1付3,8500,中楼层/20层,68,MASTER领寓,精装
整租,距离地铁太阳宫574米,押2付3,8000,底层/32层,55,UHN国际村,精装
整租,距离地铁三元桥652米,押2付3,5500,中楼层/12层,39.5,曙光里,精装
整租,距离地铁三元桥656米,押1付3,16000,低楼层/22层,147.16,太阳星城金星园,精装
整租,距离地铁三元桥652米,押1付3,6200,中楼层/6层,61.2,曙光里,精装
合租,距离地铁三元桥652米,押1付3,2500,中楼层/6层,11,曙光里,精装
整租,距离地铁太阳宫574米,押1付3,20000,低楼层/32层,198,UHN国际村,精装
整租,距离地铁太阳宫574米,押1付3,8500,高楼层/32层,55,UHN国际村,精装
整租,距离地铁三元桥516米,押2付3,10000,顶层/12层,95,尚家楼48号院,精装
整租,距离地铁三元桥652米,押2付3,5300,中楼层/18层,40.05,曙光里,中装
整租,距离地铁三元桥652米,押1付3,9500,高楼层/18层,82.64,曙光里,中装
合租,距离地铁三元桥707米,押1付3,1000,高楼层/6层,5,曙光西里,中装
整租,距离地铁三元桥656米,押1付3,27000,低楼层/28层,245,太阳星城金星园,精装
整租,距离地铁三元桥652米,押1付3,6500,低楼层/18层,40.85,曙光里,精装
整租,距离地铁三元桥635米,押2付3,11000,高楼层/16层,78.13,时间国际,精装
整租,距离地铁三元桥465米,押2付3,15000,顶层/33层,88,凤凰城二期,精装
整租,距离地铁三元桥635米,押2付3,26460,高楼层/28层,126,时间国际,中装
整租,距离地铁三元桥656米,押1付3,30000,底层/14层,271,太阳星城金星园,精装
整租,距离地铁太阳宫574米,押2付3,17000,低楼层/32层,153,UHN国际村,精装
整租,距离地铁太阳宫574米,押2付3,18500,中楼层/32层,164,UHN国际村,精装
三元桥,距离地铁三元桥656米,押1付3,6700,底层/12层,45,太阳星城金星园,其他
三元桥,距离地铁三元桥652米,押1付3,6750,高楼层/6层,56.53,曙光里,其他
整租,距离地铁三元桥652米,押1付3,7000,顶层/3层,59.6,曙光里,精装
三元桥,距离地铁三元桥707米,押1付3,7200,低楼层/6层,74.08,曙光西里,其他
三元桥,距离地铁三元桥652米,押1付3,7125,高楼层/18层,63.28,曙光里,其他
三元桥,距离地铁三元桥652米,押1付3,6000,顶层/18层,40.05,曙光里,其他
三元桥,距离地铁三元桥652米,押1付3,5500,中楼层/6层,61.2,曙光里,其他
三元桥,距离地铁三元桥652米,押1付3,9000,中楼层/6层,56.53,曙光里,其他
整租,距离地铁三元桥656米,押1付3,20000,中楼层/27层,174,太阳星城金星园,精装
整租,距离地铁三元桥656米,押1付3,16000,低楼层/12层,150,太阳星城金星园,精装
整租,距离地铁三元桥465米,押2付3,22000,高楼层/32层,155.35,凤凰城二期,豪装
整租,距离地铁太阳宫574米,押2付3,30000,顶层/32层,271,UHN国际村,中装
整租,距离地铁三元桥250米,押2付3,17500,高楼层/36层,120,置地公寓,精装
整租,距离地铁柳芳828米,押2付3,8500,高楼层/20层,58,MASTER领寓,精装
距离地铁三元桥652米,距离地铁三元桥652米,押1付3,6800,中楼层/16层,70.14,曙光里,整租
整租,距离地铁太阳宫574米,押1付3,8000,低楼层/25层,60,UHN国际村,精装
