chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁望京西1102米,押2付3,9500,中楼层/25层,110,芍药居北里二区,精装
整租,距离地铁芍药居489米,押1付3,7300,底层/6层,60,芍药居14号院,精装
整租,距离地铁芍药居116米,押2付3,6700,高楼层/24层,76,芍药居,中装
整租,距离地铁望京西1102米,押2付3,5000,低楼层/24层,60,芍药居北里二区,中装
整租,距离地铁望京西1102米,押1付3,8200,高楼层/24层,90.03,芍药居北里二区,中装
整租,距离地铁望京西1102米,押2付3,5800,中楼层/24层,64.33,芍药居北里二区,中装
整租,距离地铁芍药居127米,押1付3,9000,中楼层/16层,100,北桃园,精装
整租,距离地铁芍药居1068米,押2付3,5000,高楼层/7层,45,芍药居北里一区,精装
整租,距离地铁望京西1102米,押2付3,5500,低楼层/24层,60,芍药居北里二区,中装
合租,距离地铁芍药居247米,押1付3,2600,中楼层/6层,15,芍药居2号院,中装
整租,距离地铁芍药居760米,押1付3,8500,低楼层/15层,98,芍药居北里三区,精装
整租,距离地铁望京西1102米,押2付3,5500,低楼层/24层,60,芍药居北里二区,精装
整租,距离地铁芍药居644米,押1付3,5500,高楼层/7层,65,芍药居5号院,中装
整租,距离地铁芍药居247米,押2付3,6000,高楼层/6层,60,芍药居2号院,中装
整租,距离地铁芍药居760米,押2付3,6500,顶层/14层,65,芍药居北里三区,中装
整租,距离地铁芍药居1068米,押1付3,9000,中楼层/7层,85,芍药居北里一区,中装
整租,距离地铁芍药居1068米,押1付3,6500,低楼层/24层,49,芍药居北里一区,精装
整租,距离地铁芍药居330米,押2付3,7500,中楼层/16层,65,隆远阁,精装
整租,距离地铁望京西1102米,押2付3,7000,高楼层/24层,80,芍药居北里二区,中装
合租,距离地铁芍药居760米,押2付3,2000,顶层/6层,14,芍药居北里三区,中装
整租,距离地铁芍药居1068米,押2付3,8000,高楼层/7层,60,芍药居北里一区,精装
整租,距离地铁芍药居116米,押2付3,7800,底层/12层,89,芍药居,精装
整租,距离地铁望京西1102米,押1付3,8000,中楼层/24层,90,芍药居北里二区,精装
整租,距离地铁芍药居1068米,押2付3,6500,中楼层/24层,70,芍药居北里一区,精装
整租,距离地铁芍药居644米,押1付3,3800,底层/5层,23,芍药居5号院,中装
整租,距离地铁芍药居644米,押1付3,5500,中楼层/5层,42,芍药居5号院,简装
整租,距离地铁芍药居1068米,押1付3,5500,高楼层/24层,60,芍药居北里一区,中装
合租,距离地铁芍药居644米,押2付3,2300,顶层/7层,50,芍药居5号院,中装
整租,距离地铁光熙门398米,押1付3,18000,低楼层/18层,150,樱花东街乙2号院,豪装
整租,距离地铁芍药居644米,押2付3,5500,中楼层/6层,45,芍药居5号院,精装
整租,距离地铁芍药居330米,押1付3,7500,高楼层/16层,70,隆远阁,精装
整租,距离地铁芍药居116米,押2付3,5500,中楼层/18层,50,芍药居,中装
整租,距离地铁芍药居426米,押1付3,9000,中楼层/18层,108,芍药居甲2号院,中装
整租,距离地铁芍药居330米,押2付3,6500,高楼层/16层,45,隆远阁,精装
整租,距离地铁望京西1102米,押2付3,6500,中楼层/24层,65,芍药居北里二区,精装
整租,距离地铁望京西1102米,押1付3,6300,中楼层/24层,60,芍药居北里二区,精装
整租,距离地铁芍药居760米,押1付3,8500,顶层/14层,80,芍药居北里三区,精装
整租,距离地铁惠新西街北口871米,押1付3,6500,顶层/6层,65,高原街小区,中装
整租,距离地铁芍药居1068米,押3付3,11000,底层/7层,94,芍药居北里一区,精装
整租,距离地铁芍药居330米,押2付3,6800,低楼层/16层,65,隆远阁,精装
整租,距离地铁芍药居1068米,押2付3,6000,中楼层/24层,75,芍药居北里一区,精装
整租,距离地铁芍药居1068米,押2付3,6500,低楼层/24层,83,芍药居北里一区,中装
整租,距离地铁惠新西街北口871米,押2付3,6800,高楼层/6层,84,高原街小区,精装
整租,距离地铁芍药居760米,押2付3,6800,中楼层/18层,75,芍药居北里三区,精装
整租,距离地铁芍药居760米,押1付3,6000,低楼层/18层,75,芍药居北里三区,中装
整租,距离地铁芍药居1068米,押2付3,7000,顶层/7层,90,芍药居北里一区,精装
整租,距离地铁望京西1102米,押2付3,10000,低楼层/24层,90,芍药居北里二区,中装
整租,距离地铁芍药居1068米,押2付3,5000,中楼层/7层,48,芍药居北里一区,中装
整租,距离地铁芍药居426米,押2付3,7500,高楼层/18层,80,芍药居甲2号院,中装
整租,距离地铁芍药居247米,押2付3,6800,顶层/7层,58.35,芍药居2号院,精装
整租,距离地铁芍药居116米,押2付3,7500,低楼层/24层,80,芍药居,精装
合租,距离地铁芍药居644米,押2付3,3000,中楼层/5层,21,芍药居5号院,精装
整租,距离地铁芍药居644米,押1付3,6000,底层/6层,65,芍药居5号院,中装
整租,距离地铁芍药居424米,押2付3,9500,低楼层/24层,110,吉利家园,精装
合租,距离地铁芍药居644米,押2付3,3100,中楼层/5层,61,芍药居5号院,中装
合租,距离地铁光熙门670米,押2付3,2240,高楼层/6层,20,北三环东路11号院,中装
整租,距离地铁光熙门398米,押2付3,7000,中楼层/18层,70,樱花东街乙2号院,精装
整租,距离地铁芍药居760米,押2付3,8900,低楼层/16层,88.39,芍药居北里三区,精装
整租,距离地铁芍药居247米,押2付3,5800,底层/8层,65,芍药居2号院,简装
合租,距离地铁芍药居116米,押1付3,2500,底层/24层,20,芍药居,中装
整租,距离地铁芍药居1068米,押2付3,5500,低楼层/14层,50,芍药居北里一区,中装
整租,距离地铁芍药居489米,押2付3,7000,中楼层/6层,60,芍药居14号院,中装
整租,距离地铁芍药居116米,押1付3,7000,底层/14层,80,芍药居,中装
整租,距离地铁芍药居760米,押2付3,5300,顶层/6层,60,芍药居北里三区,精装
整租,距离地铁芍药居1068米,押2付3,12500,低楼层/24层,140,芍药居北里一区,精装
距离地铁芍药居116米,距离地铁芍药居116米,押1付3,3000,顶层/18层,20,芍药居,合租
距离地铁芍药居116米,距离地铁芍药居116米,押1付3,2750,顶层/18层,15,芍药居,合租
距离地铁芍药居1006米,距离地铁芍药居1006米,押1付3,2600,高楼层/6层,18,OLD芍药居北里三区,合租
芍药居,距离地铁望京西1102米,押1付3,7700,高楼层/24层,78,OLD芍药居北里二区,其他
芍药居,距离地铁芍药居426米,押1付3,5900,中楼层/15层,42.03,芍药居甲2号院,其他
距离地铁芍药居116米,距离地铁芍药居116米,押1付3,4000,底层/14层,20,芍药居,合租
芍药居,距离地铁望京西1106米,押1付3,2900,高楼层/7层,30,OLD芍药居北里一区,其他
芍药居,距离地铁芍药居489米,押1付3,5700,高楼层/6层,65,芍药居14号院,其他
距离地铁芍药居116米,距离地铁芍药居116米,押1付3,3300,底层/14层,18,芍药居,合租
芍药居,距离地铁芍药居1006米,押1付3,3000,中楼层/26层,20,OLD芍药居北里三区,其他
芍药居,距离地铁芍药居247米,押1付3,2000,中楼层/6层,16.7,芍药居2号院,其他
距离地铁芍药居116米,距离地铁芍药居116米,押1付3,3400,底层/14层,20,芍药居,合租
芍药居,距离地铁芍药居1006米,押1付3,9200,低楼层/28层,94.68,OLD芍药居北里三区,其他
芍药居,距离地铁望京西1106米,押1付12,5800,低楼层/13层,55,OLD芍药居北里一区,其他
芍药居,距离地铁芍药居644米,押1付3,7600,顶层/5层,59.5,芍药居5号院,其他
芍药居,距离地铁望京西1106米,押1付3,7200,低楼层/24层,75,OLD芍药居北里一区,其他
整租,距离地铁芍药居1068米,押2付3,8500,中楼层/24层,102.83,芍药居北里一区,精装
整租,距离地铁光熙门670米,押2付3,5500,中楼层/16层,60,北三环东路11号院,中装
整租,距离地铁芍药居247米,押2付3,7500,底层/8层,60,芍药居2号院,中装
