chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,4500,顶层/3层,78,世豪花园,精装
距离地铁小红门1239米,距离地铁小红门1239米,押1付3,2100,高楼层/21层,19,鸿博家园一期,合租
距离地铁小红门1239米,距离地铁小红门1239米,押1付3,1900,高楼层/21层,19,鸿博家园一期,合租
距离地铁小红门1239米,距离地铁小红门1239米,押1付3,1900,高楼层/28层,15,鸿博家园一期,合租
距离地铁小红门1239米,距离地铁小红门1239米,押1付3,1900,低楼层/21层,15,鸿博家园一期,合租
距离地铁小红门1239米,距离地铁小红门1239米,押1付3,1800,高楼层/21层,15,鸿博家园一期,合租
距离地铁小红门1239米,距离地铁小红门1239米,押1付3,1900,高楼层/21层,8,鸿博家园一期,合租
距离地铁小红门1239米,距离地铁小红门1239米,押1付3,1950,高楼层/7层,20,鸿博家园一期,合租
整租,距离地铁小红门1492米,押2付3,7500,高楼层/11层,65,京泰自主城,精装
十八里店,距离地铁小红门1239米,押1付3,5000,高楼层/18层,78.97,鸿博家园一期,其他
十八里店,距离地铁小红门1239米,押1付3,5000,中楼层/18层,75.68,鸿博家园一期,其他
十八里店,距离地铁小红门1239米,押1付3,4900,低楼层/19层,77.4,鸿博家园一期,其他
整租,,押1付3,9000,顶层/16层,130,恋日绿岛,精装
十八里店,距离地铁小红门1239米,押1付3,4900,底层/19层,77.4,鸿博家园一期,其他
十八里店,距离地铁小红门1239米,押1付3,5000,中楼层/18层,75.68,鸿博家园一期,其他
距离地铁小红门1239米,距离地铁小红门1239米,押1付3,1900,高楼层/28层,20,鸿博家园一期,合租
距离地铁小红门1239米,距离地铁小红门1239米,押1付3,2000,高楼层/28层,18,鸿博家园一期,合租
距离地铁小红门1239米,距离地铁小红门1239米,押1付3,2050,高楼层/28层,19,鸿博家园一期,合租
距离地铁小红门1239米,距离地铁小红门1239米,押1付3,2050,高楼层/28层,19,鸿博家园一期,合租
距离地铁小红门1239米,距离地铁小红门1239米,押1付3,1900,高楼层/28层,15,鸿博家园一期,合租
距离地铁小红门1239米,距离地铁小红门1239米,押1付3,1700,高楼层/28层,15,鸿博家园一期,合租
距离地铁小红门1239米,距离地铁小红门1239米,押1付3,1600,高楼层/28层,15,鸿博家园一期,合租
