chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
合租,距离地铁十里堡864米,押2付3,2000,中楼层/6层,20,十里堡北区,简装
整租,距离地铁十里堡1164米,押2付3,5300,高楼层/6层,48,石佛营西里,精装
整租,距离地铁十里堡141米,押2付3,5800,顶层/6层,60,十里堡南区,中装
整租,距离地铁十里堡1164米,押2付3,7500,顶层/6层,80.83,石佛营西里,精装
整租,距离地铁十里堡1164米,押2付3,5000,顶层/15层,57.59,石佛营西里,精装
整租,距离地铁十里堡858米,押2付3,5500,中楼层/28层,50,炫特嘉园,精装
整租,距离地铁十里堡858米,押2付3,5200,高楼层/18层,50,炫特嘉园,精装
整租,距离地铁十里堡913米,押2付3,5300,低楼层/24层,50,酷特区,中装
整租,距离地铁十里堡1164米,押2付3,4800,高楼层/6层,50,石佛营西里,精装
整租,距离地铁十里堡356米,押1付3,7200,中楼层/28层,87,晨光家园A区,精装
整租,,押2付3,10000,低楼层/28层,81,东风苑小区,精装
合租,距离地铁十里堡1312米,押1付3,2300,中楼层/6层,59.04,石佛营东里105号院,精装
整租,距离地铁十里堡975米,押2付3,5000,中楼层/18层,50,石佛营东里,精装
整租,距离地铁十里堡292米,押2付3,9000,顶层/21层,62.74,公园1872,精装
整租,距离地铁十里堡335米,押1付3,9500,中楼层/9层,108,晨光家园B区,精装
整租,距离地铁十里堡858米,押1付3,8300,低楼层/25层,75,炫特嘉园,精装
整租,距离地铁十里堡1164米,押1付3,7500,中楼层/21层,90.59,石佛营西里,精装
整租,距离地铁十里堡1164米,押2付3,6500,高楼层/6层,70,石佛营西里,精装
整租,距离地铁十里堡858米,押2付3,4900,高楼层/28层,40.72,炫特嘉园,精装
合租,距离地铁十里堡356米,押2付3,2600,高楼层/27层,155.87,晨光家园A区,中装
合租,距离地铁十里堡975米,押2付3,2600,低楼层/18层,20,石佛营东里,中装
整租,距离地铁十里堡858米,押2付3,4700,低楼层/28层,40,炫特嘉园,中装
合租,距离地铁十里堡1207米,押2付3,2300,低楼层/20层,99.09,石佛营东里128号院,精装
整租,距离地铁十里堡1170米,押1付3,8000,低楼层/21层,100,黎明新座,精装
整租,距离地铁十里堡858米,押1付3,6000,中楼层/28层,61.56,炫特嘉园,精装
整租,距离地铁十里堡1164米,押2付3,5500,中楼层/6层,62.18,石佛营西里,精装
合租,距离地铁十里堡356米,押2付3,2200,低楼层/30层,70,晨光家园A区,简装
整租,距离地铁十里堡864米,押1付3,7000,中楼层/6层,61.6,十里堡北区,中装
整租,,押2付3,8500,低楼层/28层,90,东风苑小区,中装
整租,距离地铁十里堡604米,押2付3,10000,底层/6层,101,八里庄北里,中装
整租,距离地铁十里堡356米,押1付3,7000,低楼层/30层,88,晨光家园A区,精装
整租,距离地铁十里堡1164米,押2付3,4700,底层/6层,50,石佛营西里,精装
整租,距离地铁十里堡356米,押1付3,6000,中楼层/26层,67,晨光家园A区,中装
整租,距离地铁十里堡1207米,押2付3,6800,高楼层/20层,80,石佛营东里128号院,中装
整租,距离地铁十里堡858米,押2付3,8200,低楼层/30层,87.59,炫特嘉园,中装
整租,距离地铁十里堡1164米,押2付3,8500,高楼层/21层,95,石佛营西里,精装
整租,,押2付3,12000,低楼层/28层,100,东风苑小区,精装
整租,,押2付3,9000,顶层/28层,80,东风苑小区,精装
整租,距离地铁十里堡858米,押2付3,6000,高楼层/28层,60,炫特嘉园,中装
整租,距离地铁十里堡292米,押2付3,12000,低楼层/21层,96,公园1872,豪装
整租,距离地铁十里堡760米,押2付3,40000,底层/21层,180,保利东郡,中装
整租,距离地铁十里堡604米,押2付3,5000,中楼层/6层,55,八里庄北里,精装
整租,距离地铁十里堡356米,押1付3,7000,顶层/28层,85,晨光家园A区,中装
合租,距离地铁十里堡604米,押2付3,2600,中楼层/6层,15,八里庄北里,精装
合租,,押1付3,3500,高楼层/28层,75,东风苑小区,精装
整租,距离地铁十里堡604米,押2付3,4800,底层/6层,48,八里庄北里,精装
整租,距离地铁十里堡356米,押1付3,12000,高楼层/30层,174.38,晨光家园A区,精装
整租,,押2付3,9000,中楼层/28层,80,东风苑小区,精装
整租,距离地铁十里堡356米,押1付3,7000,低楼层/26层,70,晨光家园A区,精装
整租,距离地铁十里堡356米,押1付3,7000,高楼层/26层,89,晨光家园A区,中装
整租,距离地铁十里堡1164米,押2付3,5000,顶层/6层,50,石佛营西里,精装
合租,距离地铁十里堡1100米,押2付3,3000,低楼层/21层,18,特区808,精装
合租,距离地铁十里堡864米,押2付3,2800,顶层/6层,25,十里堡北区,精装
整租,距离地铁十里堡858米,押2付3,4500,低楼层/28层,40,炫特嘉园,中装
合租,距离地铁十里堡975米,押2付3,3200,高楼层/18层,71.22,石佛营东里,中装
整租,,押2付3,8500,低楼层/21层,48.9,万科金阳国际公寓,精装
石佛营,距离地铁十里堡1207米,押1付3,6800,中楼层/20层,85.46,石佛营东里128号院,其他
距离地铁十里堡858米,距离地铁十里堡858米,押1付3,2700,高楼层/25层,18,炫特嘉园,合租
石佛营,距离地铁十里堡1164米,押1付3,6100,中楼层/15层,67.01,石佛营西里,其他
石佛营,距离地铁十里堡604米,押1付3,4800,中楼层/6层,51,八里庄北里,其他
整租,距离地铁十里堡1164米,押2付3,2300,中楼层/15层,25,石佛营西里,精装
距离地铁十里堡604米,距离地铁十里堡604米,押1付3,3800,高楼层/18层,20,八里庄北里,合租
石佛营,距离地铁十里堡975米,押1付3,6200,高楼层/12层,53.01,石佛营东里,其他
石佛营,距离地铁十里堡1327米,押1付3,7000,底层/18层,90.93,朝阳捷座,其他
石佛营,距离地铁十里堡1312米,押1付3,4300,中楼层/6层,44.7,石佛营东里105号院,其他
石佛营,距离地铁十里堡913米,押1付3,4900,低楼层/24层,45,酷特区,其他
距离地铁十里堡975米,距离地铁十里堡975米,押1付3,800,中楼层/18层,15,石佛营东里,合租
石佛营,距离地铁十里堡604米,押1付3,6500,中楼层/18层,57.8,八里庄北里,其他
石佛营,距离地铁十里堡913米,押1付3,4900,低楼层/24层,41.2,酷特区,其他
石佛营,距离地铁十里堡1312米,押1付3,4700,中楼层/11层,50,石佛营东里105号院,其他
石佛营,,押1付3,8500,低楼层/22层,48.9,万科金阳国际公寓,其他
石佛营,距离地铁十里堡141米,押1付3,7800,低楼层/21层,56.35,润枫嘉尚,其他
石佛营,距离地铁十里堡858米,押1付3,4700,顶层/28层,38,炫特嘉园,其他
石佛营,距离地铁十里堡975米,押1付3,6600,低楼层/6层,62.76,石佛营东里,其他
合租,距离地铁十里堡1312米,押2付3,2500,底层/6层,58.13,石佛营东里105号院,中装
距离地铁十里堡858米,距离地铁十里堡858米,押1付3,4800,低楼层/28层,41,炫特嘉园,整租
石佛营,距离地铁十里堡858米,押1付3,4800,中楼层/28层,45,炫特嘉园,其他
石佛营,距离地铁十里堡858米,押1付3,6000,中楼层/28层,58,炫特嘉园,其他
整租,,押1付3,8000,中楼层/28层,80,东风苑小区,精装
整租,距离地铁十里堡356米,押1付3,6500,高楼层/28层,56.78,晨光家园A区,中装
整租,距离地铁十里堡604米,押1付3,4500,中楼层/6层,48,八里庄北里,精装
整租,距离地铁十里堡292米,押2付3,12000,中楼层/21层,84,公园1872,中装
整租,距离地铁十里堡594米,押1付12,10000,低楼层/28层,136,晨光家园C区,中装
合租,距离地铁十里堡1072米,押2付3,2700,中楼层/21层,20,日月东华,中装
整租,距离地铁十里堡594米,押1付3,14000,中楼层/28层,153,晨光家园C区,精装
合租,距离地铁十里堡604米,押1付3,2200,中楼层/18层,20,八里庄北里,中装
整租,,押2付3,7500,低楼层/28层,58,东风苑小区,精装
合租,距离地铁十里堡1164米,押2付3,2000,顶层/6层,20,石佛营西里,简装
整租,距离地铁十里堡335米,押1付3,13000,高楼层/21层,135,晨光家园B区,精装
合租,距离地铁十里堡604米,押1付3,2500,高楼层/12层,15,八里庄北里,精装
合租,距离地铁十里堡356米,押1付3,2300,低楼层/26层,10,晨光家园A区,中装
整租,,押2付3,8500,高楼层/28层,85,东风苑小区,精装
合租,距离地铁十里堡335米,押2付3,3300,高楼层/21层,20,晨光家园B区,精装
整租,距离地铁十里堡864米,押1付3,5000,中楼层/6层,50,十里堡北区,简装
整租,,押2付3,9000,中楼层/28层,80,东风苑小区,精装
整租,距离地铁十里堡604米,押1付3,4300,中楼层/6层,45,八里庄北里,中装
整租,,押2付3,8500,低楼层/28层,80,东风苑小区,精装
石佛营,距离地铁十里堡858米,押1付3,5300,高楼层/22层,42.64,炫特嘉园,其他
整租,距离地铁十里堡1164米,押1付3,7500,高楼层/21层,90,石佛营西里,中装
整租,,押2付3,9000,低楼层/28层,80,东风苑小区,中装
整租,距离地铁十里堡594米,押1付3,8500,中楼层/28层,90,晨光家园C区,精装
石佛营,距离地铁十里堡913米,押1付3,5100,中楼层/24层,41.61,酷特区,其他
整租,距离地铁十里堡1164米,押1付3,7700,高楼层/18层,95,石佛营西里,中装
石佛营,距离地铁十里堡141米,押1付3,5500,中楼层/21层,40,润枫嘉尚,其他
合租,距离地铁十里堡1072米,押1付3,3900,高楼层/21层,25,日月东华,豪装
整租,距离地铁十里堡141米,押2付3,6000,底层/6层,50,十里堡南区,精装
整租,,押2付3,8000,低楼层/28层,90,东风苑小区,精装
整租,距离地铁十里堡864米,押1付3,5800,顶层/6层,54,十里堡北区,简装
整租,距离地铁十里堡1164米,押2付3,5500,高楼层/6层,46,石佛营西里,简装
整租,距离地铁十里堡858米,押2付3,6000,中楼层/28层,65,炫特嘉园,精装
