chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁十里堡689米,押2付3,7500,底层/28层,84,京棉新城,中装
整租,距离地铁四惠东959米,押1付3,6900,高楼层/14层,84.75,甘露西园,中装
整租,距离地铁十里堡222米,押2付3,2300,高楼层/6层,60,八里庄南里,精装
整租,距离地铁十里堡371米,押2付3,6000,低楼层/21层,60,十里堡北里,精装
整租,距离地铁十里堡222米,押1付3,6200,顶层/6层,56.55,八里庄南里,精装
整租,距离地铁十里堡222米,押1付3,6000,低楼层/6层,65,八里庄南里,精装
整租,距离地铁十里堡767米,押2付3,5000,高楼层/7层,58,十里堡东里,精装
整租,距离地铁十里堡371米,押2付3,5000,中楼层/6层,41.3,十里堡北里,中装
整租,距离地铁十里堡222米,押1付3,6500,底层/6层,60,八里庄南里,简装
整租,距离地铁十里堡371米,押2付3,5500,低楼层/6层,42.1,十里堡北里,精装
合租,距离地铁十里堡371米,押1付3,3200,中楼层/21层,18,十里堡北里,精装
整租,距离地铁十里堡371米,押1付3,5800,中楼层/6层,65,十里堡北里,精装
整租,距离地铁十里堡222米,押2付3,5800,中楼层/18层,53,八里庄南里,精装
合租,距离地铁十里堡371米,押1付3,2100,高楼层/14层,12,十里堡北里,简装
整租,距离地铁十里堡460米,押2付3,6300,低楼层/33层,60,海华堂,精装
整租,距离地铁十里堡781米,押1付3,7500,低楼层/5层,79,十里堡,中装
十里堡,距离地铁四惠东959米,押1付12,6800,高楼层/14层,90,甘露西园,其他
十里堡,距离地铁十里堡781米,押1付3,5500,低楼层/20层,47.92,十里堡,其他
距离地铁十里堡767米,距离地铁十里堡767米,押1付3,2900,中楼层/5层,25,十里堡东里,合租
距离地铁十里堡767米,距离地铁十里堡767米,押1付3,2300,中楼层/5层,15,十里堡东里,合租
十里堡,距离地铁十里堡767米,押1付3,6034,中楼层/12层,52.17,十里堡东里,其他
整租,距离地铁十里堡371米,押2付3,6000,底层/6层,75,十里堡北里,简装
整租,距离地铁十里堡222米,押2付3,6000,顶层/18层,65,八里庄南里,中装
整租,距离地铁四惠东959米,押2付3,7800,中楼层/14层,94,甘露西园,精装
整租,距离地铁四惠708米,押2付3,12500,顶层/27层,136,东恒时代三期,精装
整租,距离地铁四惠东959米,押1付3,4500,低楼层/14层,50,甘露西园,精装
整租,距离地铁十里堡371米,押2付3,6200,中楼层/6层,70,十里堡北里,精装
合租,距离地铁十里堡371米,押2付3,2800,低楼层/14层,15,十里堡北里,精装
整租,距离地铁十里堡371米,押2付3,6600,顶层/21层,59.07,十里堡北里,中装
整租,距离地铁十里堡689米,押2付3,6100,中楼层/32层,68.79,京棉新城,精装
十里堡,距离地铁十里堡222米,押1付3,5600,中楼层/18层,70,八里庄南里,其他
整租,距离地铁十里堡767米,押2付3,5600,高楼层/7层,58,十里堡东里,中装
整租,距离地铁四惠708米,押2付3,14000,低楼层/27层,143,东恒时代三期,精装
合租,距离地铁十里堡781米,押2付3,2700,高楼层/6层,20,十里堡,精装
整租,距离地铁十里堡767米,押2付3,6000,中楼层/7层,58,十里堡东里,中装
整租,距离地铁十里堡729米,押2付3,9000,高楼层/24层,120,朝阳嘉园,精装
合租,距离地铁四惠东959米,押1付3,2500,高楼层/14层,15,甘露西园,精装
整租,距离地铁十里堡767米,押2付3,5000,高楼层/7层,58,十里堡东里,简装
整租,距离地铁十里堡371米,押2付3,6500,高楼层/6层,65,十里堡北里,中装
整租,距离地铁四惠708米,押2付3,6500,中楼层/27层,93,东恒时代三期,精装
整租,距离地铁十里堡371米,押2付3,7500,中楼层/6层,63,十里堡北里,精装
整租,距离地铁十里堡222米,押1付3,6500,低楼层/6层,58,八里庄南里,精装
整租,距离地铁十里堡460米,押2付3,8300,高楼层/33层,112,海华堂,简装
整租,距离地铁十里堡222米,押1付3,6500,低楼层/6层,58,八里庄南里,中装
整租,距离地铁十里堡371米,押1付3,6300,顶层/5层,65,十里堡北里,中装
整租,距离地铁十里堡767米,押1付3,4500,低楼层/5层,45,十里堡东里,精装
整租,距离地铁十里堡460米,押1付3,5700,中楼层/33层,60,海华堂,中装
整租,距离地铁十里堡222米,押2付3,7500,中楼层/6层,57.76,八里庄南里,中装
整租,距离地铁四惠708米,押2付3,14000,低楼层/27层,139,东恒时代三期,精装
整租,距离地铁十里堡767米,押2付3,6500,高楼层/7层,58,十里堡东里,精装
整租,距离地铁四惠708米,押2付3,9000,中楼层/27层,93,东恒时代三期,中装
十里堡,距离地铁十里堡371米,押1付3,2900,底层/6层,10,十里堡北里,其他
十里堡,距离地铁十里堡371米,押1付3,5900,底层/6层,65,十里堡北里,其他
十里堡,距离地铁十里堡222米,押1付3,6600,顶层/6层,61.82,八里庄南里,其他
十里堡,距离地铁十里堡460米,押1付3,2800,顶层/33层,25,海华堂,其他
十里堡,距离地铁十里堡689米,押1付3,6700,中楼层/22层,80,京棉新城,其他
十里堡,距离地铁十里堡767米,押1付3,5100,中楼层/7层,41,十里堡东里,其他
距离地铁十里堡371米,距离地铁十里堡371米,押1付3,5500,高楼层/13层,70,十里堡北里,整租
