chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁北工大西门1253米,押2付3,7000,中楼层/28层,90,周庄嘉园三期,中装
整租,距离地铁北工大西门1253米,押2付3,4500,中楼层/28层,50,周庄嘉园三期,精装
整租,距离地铁北工大西门1253米,押2付3,6300,高楼层/28层,90,周庄嘉园三期,中装
整租,距离地铁北工大西门1253米,押2付3,7000,低楼层/28层,90,周庄嘉园三期,中装
整租,距离地铁北工大西门1253米,押2付3,7000,中楼层/28层,90,周庄嘉园三期,精装
整租,距离地铁北工大西门1253米,押2付3,4600,中楼层/28层,53,周庄嘉园三期,精装
整租,距离地铁北工大西门1253米,押2付3,10000,低楼层/28层,121,周庄嘉园三期,精装
整租,,押1付6,4000,顶层/6层,60,吕营嘉园,精装
整租,距离地铁北工大西门1253米,押2付3,4500,低楼层/28层,56,周庄嘉园三期,中装
整租,距离地铁小红门1469米,押2付3,9000,底层/10层,110,观筑庭园,精装
整租,距离地铁北工大西门1253米,押2付3,6500,高楼层/28层,90,周庄嘉园三期,精装
整租,距离地铁北工大西门1253米,押1付3,6400,高楼层/28层,94,周庄嘉园三期,中装
整租,距离地铁北工大西门1253米,押2付3,4800,低楼层/28层,53,周庄嘉园三期,精装
整租,距离地铁北工大西门1253米,押2付3,4800,中楼层/28层,50,周庄嘉园三期,精装
整租,距离地铁欢乐谷景区1149米,押2付3,25000,顶层/9层,189,山水文园三期,精装
整租,距离地铁北工大西门1253米,押2付3,7000,中楼层/28层,85,周庄嘉园三期,中装
整租,,押2付3,4500,低楼层/6层,50,吕营嘉园,中装
整租,距离地铁北工大西门1312米,押2付3,4500,高楼层/6层,50,周庄嘉园C区,精装
整租,距离地铁北工大西门1253米,押2付3,7200,低楼层/28层,90,周庄嘉园三期,精装
整租,,押2付3,5000,低楼层/6层,60,吕营嘉园,中装
合租,距离地铁北工大西门1253米,押1付3,3000,中楼层/28层,18,周庄嘉园三期,中装
整租,,押1付3,5500,顶层/6层,91,吕营嘉园,中装
整租,距离地铁欢乐谷景区1149米,押1付3,18000,中楼层/12层,164,山水文园三期,中装
整租,距离地铁北工大西门1253米,押1付3,4500,高楼层/28层,50,周庄嘉园三期,精装
整租,,押2付3,5300,顶层/6层,95,吕营嘉园,精装
整租,距离地铁北工大西门1253米,押2付3,6500,中楼层/28层,93,周庄嘉园三期,精装
整租,距离地铁北工大西门1253米,押1付3,10000,底层/28层,121,周庄嘉园三期,精装
整租,,押1付3,5500,低楼层/6层,92,吕营嘉园,中装
整租,距离地铁欢乐谷景区1149米,押2付3,18000,高楼层/12层,189,山水文园三期,精装
整租,距离地铁北工大西门1253米,押2付3,6400,中楼层/28层,90,周庄嘉园三期,精装
整租,距离地铁北工大西门1253米,押2付3,4700,中楼层/28层,50,周庄嘉园三期,中装
整租,,押2付3,5000,低楼层/6层,91,吕营嘉园,精装
十里河,距离地铁北工大西门1253米,押1付3,4500,顶层/28层,56.15,周庄嘉园三期,其他
十里河,距离地铁北工大西门1253米,押1付3,4500,低楼层/28层,47.63,周庄嘉园三期,其他
十里河,距离地铁北工大西门1253米,押1付3,4700,底层/28层,56.15,周庄嘉园三期,其他
十里河,距离地铁北工大西门1291米,押1付3,5600,中楼层/28层,93,建工家园,其他
十里河,距离地铁北工大西门1291米,押1付3,7300,底层/23层,129.68,建工家园,其他
十里河,距离地铁北工大西门1253米,押1付3,5000,底层/28层,56.38,周庄嘉园三期,其他
整租,距离地铁欢乐谷景区1149米,押2付12,25000,低楼层/13层,222.09,山水文园三期,精装
整租,,押2付3,5500,高楼层/6层,90,吕营嘉园,中装
十里河,距离地铁北工大西门1253米,押1付3,5000,底层/28层,56.15,周庄嘉园三期,其他
整租,,押2付3,5000,顶层/6层,90,吕营嘉园,中装
整租,距离地铁小红门1469米,押2付3,14000,底层/2层,292,观筑庭园,精装
