chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁双井346米,押2付3,6500,中楼层/21层,34.64,时代国际,精装
整租,距离地铁双井393米,押2付3,11500,中楼层/32层,62.48,富力城A区,豪装
整租,距离地铁九龙山774米,押2付3,13000,中楼层/31层,109,苹果社区南区,精装
整租,距离地铁九龙山583米,押2付3,9000,低楼层/14层,127,九龙花园,中装
整租,距离地铁双井421米,押1付3,9000,中楼层/28层,109.58,百环家园,精装
整租,距离地铁九龙山583米,押2付12,15000,中楼层/22层,109,九龙花园,中装
整租,距离地铁广渠门外444米,押2付3,6200,顶层/6层,68,双花园西里,精装
整租,距离地铁双井421米,押1付3,8500,顶层/28层,112.25,百环家园,中装
整租,距离地铁双井668米,押2付3,9300,底层/28层,80.4,首城国际,精装
整租,距离地铁双井346米,押2付3,7500,中楼层/21层,52.45,时代国际,精装
整租,距离地铁双井668米,押1付12,12000,中楼层/28层,89,首城国际,精装
合租,距离地铁双井421米,押2付3,1900,顶层/28层,15,百环家园,中装
合租,距离地铁双井479米,押1付3,2800,低楼层/16层,20,双井北里,精装
整租,距离地铁双井255米,押1付3,6500,顶层/6层,58,双井东院,精装
整租,距离地铁双井421米,押2付3,6300,低楼层/28层,70,百环家园,中装
整租,距离地铁双井421米,押2付3,7500,高楼层/26层,97.5,百环家园,精装
合租,距离地铁双井421米,押1付3,3000,低楼层/28层,138.45,百环家园,精装
整租,距离地铁广渠门外725米,押1付3,5500,顶层/6层,45,双花园,精装
整租,距离地铁双井636米,押1付3,12000,高楼层/19层,120,A派公寓,精装
整租,距离地铁双井346米,押2付3,9800,高楼层/21层,79.28,时代国际,精装
整租,距离地铁双井255米,押2付3,7500,高楼层/14层,62,双井东院,精装
整租,距离地铁双井381米,押2付3,7500,中楼层/12层,78,东环18,精装
整租,距离地铁双井346米,押1付12,14000,低楼层/21层,104.2,时代国际,精装
整租,距离地铁双井58米,押2付3,8000,高楼层/24层,80,广渠门外大街,精装
整租,距离地铁双井668米,押2付3,10000,高楼层/28层,90,首城国际,精装
整租,距离地铁双井421米,押2付3,9000,高楼层/28层,100.14,百环家园,精装
整租,距离地铁双井421米,押2付3,8000,中楼层/28层,97.5,百环家园,精装
整租,距离地铁双井346米,押1付3,6800,高楼层/21层,52.45,时代国际,精装
整租,距离地铁九龙山774米,押2付3,7500,高楼层/30层,60,苹果社区南区,中装
整租,距离地铁九龙山774米,押2付3,8500,低楼层/26层,61,苹果社区南区,精装
整租,距离地铁双井359米,押1付3,13000,中楼层/17层,110,天之骄子,精装
合租,距离地铁九龙山774米,押1付3,2800,中楼层/22层,20,苹果社区南区,精装
整租,距离地铁双井421米,押1付3,6000,低楼层/28层,59.6,百环家园,中装
整租,距离地铁双井421米,押2付3,8500,高楼层/26层,97.5,百环家园,精装
合租,距离地铁广渠门外726米,押1付3,2600,高楼层/6层,25,双花园南里一区,中装
整租,距离地铁双井346米,押2付3,6900,顶层/21层,40.69,时代国际,精装
整租,距离地铁九龙山774米,押2付3,8000,中楼层/26层,61,苹果社区南区,精装
