chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁管庄758米,押2付3,5500,低楼层/18层,82,管庄新村,精装
整租,距离地铁管庄1214米,押2付3,5000,高楼层/26层,73.22,东一时区,中装
整租,距离地铁管庄758米,押2付3,4000,高楼层/18层,60,管庄新村,简装
整租,距离地铁传媒大学464米,押2付3,7500,中楼层/29层,100,北花园小区,精装
整租,距离地铁管庄1060米,押2付3,4000,低楼层/18层,54,远洋一方润园6号院,精装
整租,距离地铁管庄953米,押1付3,6300,中楼层/11层,89,远洋一方润园2号院,豪装
整租,距离地铁传媒大学500米,押2付3,5600,高楼层/31层,78.63,珠江绿洲家园,中装
整租,距离地铁双桥334米,押2付3,5200,底层/5层,63,双柳巷小区,中装
整租,距离地铁管庄1214米,押2付3,8000,低楼层/6层,121.37,东一时区,精装
整租,距离地铁双桥165米,押2付3,8500,中楼层/20层,143,滨水动漫城,中装
整租,距离地铁传媒大学1080米,押1付3,4200,中楼层/6层,57,天泰新房苑小区,精装
整租,距离地铁管庄1036米,押2付3,5000,高楼层/15层,73.58,朝阳旺角,中装
整租,距离地铁双桥636米,押2付3,6600,低楼层/20层,90,康惠园1号院,精装
整租,距离地铁管庄1362米,押2付3,5500,高楼层/18层,90,远洋一方林语苑,精装
整租,距离地铁八里桥997米,押2付3,5500,中楼层/28层,95,康泉新城,中装
整租,距离地铁管庄953米,押2付3,8600,中楼层/5层,139.09,远洋一方润园2号院,精装
整租,距离地铁传媒大学464米,押2付3,3800,低楼层/29层,55,北花园小区,中装
整租,距离地铁双桥334米,押1付3,5000,顶层/6层,68,双柳巷小区,中装
整租,距离地铁双桥165米,押1付3,3800,中楼层/20层,55,滨水动漫城,精装
整租,距离地铁管庄746米,押2付3,4500,底层/18层,60,远洋一方润园1号院,简装
整租,距离地铁管庄1036米,押2付3,6300,中楼层/6层,110,朝阳旺角,中装
整租,距离地铁管庄953米,押2付3,7500,低楼层/5层,144,远洋一方润园2号院,精装
整租,距离地铁管庄758米,押2付3,5500,低楼层/18层,80.53,管庄新村,精装
整租,,押2付3,4300,中楼层/20层,80,双桥嘉园,中装
整租,距离地铁双桥910米,押2付3,3700,顶层/5层,45,东柳西里,中装
整租,距离地铁传媒大学500米,押1付3,5500,低楼层/31层,78.63,珠江绿洲家园,中装
整租,距离地铁管庄1068米,押2付3,5300,中楼层/11层,90,远洋一方花语苑,精装
整租,距离地铁管庄1036米,押1付3,6000,低楼层/6层,100,朝阳旺角,中装
整租,距离地铁管庄758米,押2付3,5500,低楼层/18层,82,管庄新村,中装
整租,距离地铁管庄1036米,押1付3,3600,中楼层/15层,50,朝阳旺角,精装
整租,距离地铁双桥334米,押1付3,5200,低楼层/6层,67.97,双柳巷小区,精装
整租,距离地铁管庄758米,押2付3,4200,高楼层/18层,54,管庄新村,精装
整租,距离地铁双桥910米,押2付3,4500,中楼层/5层,46.6,东柳西里,中装
整租,,押2付3,3600,底层/5层,60,广播设备制造厂,中装
整租,,押2付3,5500,高楼层/17层,90,双桥嘉园,中装
整租,距离地铁管庄1047米,押2付3,3300,顶层/6层,43,零点特区,精装
整租,距离地铁双桥590米,押2付3,5200,中楼层/20层,80,康惠园2号院,中装
整租,距离地铁管庄1036米,押2付3,6000,低楼层/15层,105,朝阳旺角,中装
整租,距离地铁双桥521米,押2付3,4500,底层/6层,60,双惠苑,简装
整租,距离地铁双桥590米,押1付3,5500,高楼层/20层,75,康惠园2号院,中装
整租,距离地铁双桥777米,押1付3,30000,底层/20层,300,水郡长安2号院,精装
整租,距离地铁双桥334米,押2付3,4300,中楼层/5层,70,双柳巷小区,中装
整租,距离地铁传媒大学500米,押1付3,7600,低楼层/31层,97,珠江绿洲家园,中装
整租,距离地铁双桥777米,押1付3,4700,中楼层/20层,61,水郡长安2号院,精装
整租,距离地铁管庄1060米,押1付3,3800,低楼层/18层,60,远洋一方润园6号院,中装
整租,距离地铁管庄953米,押1付3,7500,底层/9层,120,远洋一方润园2号院,精装
整租,距离地铁管庄1362米,押2付3,6000,中楼层/18层,89.59,远洋一方林语苑,精装
整租,距离地铁管庄1060米,押2付3,4000,低楼层/18层,55,远洋一方润园6号院,精装
整租,距离地铁八里桥997米,押1付3,5400,高楼层/28层,80,康泉新城,精装
整租,距离地铁管庄915米,押2付3,4500,中楼层/21层,60,远洋一方润园3号院,中装
整租,距离地铁双桥910米,押2付3,4800,中楼层/5层,63,东柳西里,精装
整租,距离地铁八里桥997米,押2付3,5300,中楼层/28层,90,康泉新城,精装
整租,距离地铁双桥519米,押2付3,8800,高楼层/20层,148,水郡长安1号院,精装
整租,距离地铁双桥910米,押1付12,5000,低楼层/5层,58.03,东柳西里,豪装
整租,距离地铁传媒大学500米,押2付3,10000,低楼层/31层,160,珠江绿洲家园,中装
整租,距离地铁双桥521米,押1付3,7500,低楼层/6层,113,双惠苑,精装
电话预约,距离地铁传媒大学852米,,6000,中楼层/12层,80,天泰北双苑小区,简装
整租,距离地铁传媒大学464米,押2付3,4200,中楼层/29层,50,北花园小区,简装
整租,距离地铁管庄1068米,押2付3,9500,低楼层/18层,89,远洋一方花语苑,精装
整租,距离地铁传媒大学852米,押2付3,5500,低楼层/6层,86,天泰北双苑小区,中装
整租,距离地铁传媒大学500米,押2付3,7200,中楼层/31层,100,珠江绿洲家园,中装
整租,距离地铁双桥628米,押2付3,5500,中楼层/6层,83,双柳新居,精装
合租,距离地铁双桥334米,押1付3,2000,底层/6层,20,双柳巷小区,中装
整租,距离地铁管庄1214米,押2付3,3500,高楼层/26层,45,东一时区,中装
整租,距离地铁传媒大学464米,押1付3,6800,高楼层/29层,90,北花园小区,精装
整租,距离地铁管庄953米,押1付3,6200,低楼层/9层,90,远洋一方润园2号院,精装
整租,距离地铁双桥590米,押2付3,5500,低楼层/22层,68.76,康惠园2号院,简装
整租,距离地铁八里桥997米,押1付12,2200,中楼层/28层,16,康泉新城,中装
整租,距离地铁管庄953米,押2付3,6400,底层/6层,90,远洋一方润园2号院,中装
整租,距离地铁八里桥997米,押1付3,5000,高楼层/28层,80,康泉新城,中装
整租,距离地铁管庄746米,押2付3,5800,中楼层/18层,86.06,远洋一方润园1号院,精装
整租,距离地铁管庄953米,押1付3,6300,底层/11层,89,远洋一方润园2号院,精装
整租,距离地铁八里桥997米,押2付3,5000,顶层/28层,78,康泉新城,精装
双桥,距离地铁双桥521米,押1付3,5650,高楼层/6层,92.91,双惠苑,其他
距离地铁双桥519米,距离地铁双桥519米,押1付3,3000,低楼层/20层,30,水郡长安1号院,合租
距离地铁双桥519米,距离地铁双桥519米,押1付3,2400,低楼层/20层,15,水郡长安1号院,合租
双桥,距离地铁八里桥997米,押1付12,5500,中楼层/28层,89,康泉新城,其他
整租,距离地铁双桥165米,押2付3,4000,高楼层/20层,58.7,滨水动漫城,简装
整租,距离地铁管庄1118米,押1付3,5800,底层/11层,88.79,远洋一方溪语苑,精装
双桥,距离地铁八里桥997米,押1付3,5750,中楼层/28层,86,康泉新城,其他
整租,距离地铁双桥777米,押2付3,27000,底层/20层,286,水郡长安2号院,中装
整租,距离地铁双桥910米,押2付3,5200,底层/5层,60,东柳西里,中装
合租,距离地铁双桥334米,押1付3,2200,中楼层/5层,24,双柳巷小区,中装
整租,,押2付3,10000,底层/3层,240,东旭花园别墅,精装
整租,距离地铁双桥334米,押2付3,4300,顶层/6层,50,双柳巷小区,精装
整租,距离地铁管庄1118米,押1付3,6200,顶层/11层,88.7,远洋一方溪语苑,中装
整租,,押2付3,30000,顶层/3层,530,康城花园别墅,精装
整租,距离地铁双桥165米,押2付3,3700,中楼层/20层,60,滨水动漫城,中装
双桥,,押1付3,4400,中楼层/6层,60.35,双桥农场,其他
整租,距离地铁传媒大学1080米,押1付4,4000,中楼层/6层,45,天泰新房苑小区,中装
整租,距离地铁管庄57米,押2付3,5300,底层/6层,72,东会新村,精装
整租,距离地铁传媒大学1228米,押2付3,4500,中楼层/6层,70,新动力,精装
双桥,距离地铁管庄915米,押1付3,4250,底层/21层,53.61,远洋一方润园3号院,其他
双桥,距离地铁管庄915米,押1付3,5100,底层/21层,80,远洋一方润园3号院,其他
双桥,距离地铁管庄1214米,押1付3,7800,高楼层/10层,131,东一时区,其他
双桥,距离地铁传媒大学698米,押1付3,1900,底层/15层,15,艺水芳园,其他
双桥,距离地铁管庄758米,押1付3,1700,低楼层/18层,15,管庄新村,其他
距离地铁管庄1060米,距离地铁管庄1060米,押1付3,2000,高楼层/18层,15,远洋一方润园6号院,合租
距离地铁管庄1060米,距离地铁管庄1060米,押1付3,1680,高楼层/18层,20,远洋一方润园6号院,合租
双桥,距离地铁褡裢坡920米,押1付3,4600,低楼层/6层,42.68,三间房西里,其他
双桥,距离地铁双桥590米,押1付3,6050,中楼层/20层,73.28,康惠园2号院,其他
距离地铁管庄1060米,距离地铁管庄1060米,押1付3,1800,高楼层/18层,10,远洋一方润园6号院,合租
距离地铁管庄1060米,距离地铁管庄1060米,押1付3,1900,高楼层/18层,10,远洋一方润园6号院,合租
距离地铁八里桥1278米,距离地铁八里桥1278米,押1付3,2100,中楼层/14层,18,远洋新悦,合租
距离地铁八里桥1278米,距离地铁八里桥1278米,押1付3,2300,中楼层/14层,25,远洋新悦,合租
距离地铁双桥558米,距离地铁双桥558米,押1付3,5350,高楼层/24层,81,康惠园3号院,整租
距离地铁八里桥1278米,距离地铁八里桥1278米,押1付3,2200,中楼层/14层,20,远洋新悦,合租
距离地铁双桥519米,距离地铁双桥519米,押1付3,3400,低楼层/20层,20,水郡长安1号院,合租
双桥,距离地铁双桥165米,押1付3,3999,低楼层/22层,44.8,滨水动漫城,其他
距离地铁管庄1214米,距离地铁管庄1214米,押1付3,1700,高楼层/26层,28,东一时区,合租
距离地铁八里桥1278米,距离地铁八里桥1278米,押1付3,3000,中楼层/14层,25,远洋新悦,合租
双桥,距离地铁双桥521米,押1付3,2000,中楼层/6层,10,双惠苑,其他
距离地铁双桥910米,距离地铁双桥910米,押1付3,4000,中楼层/5层,45.7,东柳西里,整租
双桥,距离地铁褡裢坡920米,押1付3,4850,高楼层/6层,42.68,三间房西里,其他
双桥,距离地铁管庄57米,押1付3,4500,中楼层/6层,50.21,东会新村,其他
