chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁四惠东327米,押2付3,9800,中楼层/28层,105.54,通惠家园惠民园,精装
整租,距离地铁十里堡877米,押2付3,5500,中楼层/24层,70,晨曦花园,中装
整租,距离地铁四惠东327米,押1付3,6000,底层/28层,65,通惠家园惠民园,精装
整租,距离地铁四惠东685米,押2付3,7500,底层/6层,88,通惠家园惠生园,精装
整租,距离地铁十里堡916米,押2付3,2800,低楼层/4层,45,东八里庄西里,中装
整租,距离地铁四惠1009米,押2付3,13500,低楼层/30层,100,凯德锦绣,精装
整租,距离地铁十里堡916米,押2付3,6000,低楼层/6层,54.03,东八里庄西里,毛坯
整租,距离地铁十里堡916米,押2付3,5500,中楼层/4层,60,东八里庄西里,中装
整租,距离地铁四惠153米,押2付3,9500,高楼层/32层,94.3,东恒时代国际公寓,精装
整租,距离地铁四惠490米,押2付3,9500,底层/9层,101,壹线国际惠泽园,精装
整租,距离地铁十里堡916米,押2付3,5400,底层/21层,77,东八里庄西里,精装
合租,距离地铁四惠153米,押2付3,3600,低楼层/32层,35,东恒时代国际公寓,精装
整租,距离地铁十里堡916米,押2付3,5500,顶层/4层,60,东八里庄西里,中装
合租,距离地铁十里堡884米,押2付3,3200,中楼层/28层,20,京棉新城三厂,精装
整租,距离地铁十里堡648米,押2付3,6000,顶层/6层,62.6,东八里庄东里,简装
整租,距离地铁四惠464米,押2付3,9500,低楼层/21层,96,东恒时代二期A区,精装
合租,距离地铁十里堡556米,押2付3,2500,底层/6层,15,东八里庄东里北巷,精装
整租,距离地铁四惠东685米,押0付3,11000,低楼层/9层,142.6,通惠家园惠生园,精装
整租,距离地铁四惠153米,押1付3,9800,中楼层/32层,110,东恒时代国际公寓,精装
整租,距离地铁四惠464米,押2付3,8000,高楼层/21层,60,东恒时代二期A区,精装
整租,距离地铁四惠153米,押1付3,7000,低楼层/32层,65,东恒时代国际公寓,精装
整租,距离地铁十里堡486米,押2付3,7400,低楼层/28层,90,京棉新城二厂,精装
整租,距离地铁四惠东685米,押2付3,10500,低楼层/9层,142,通惠家园惠生园,精装
整租,距离地铁四惠东327米,押1付3,7000,中楼层/28层,86,通惠家园惠民园,精装
整租,距离地铁四惠1009米,押2付3,12500,中楼层/24层,89.29,凯德锦绣,精装
整租,距离地铁十里堡884米,押2付3,8500,中楼层/28层,95,京棉新城三厂,中装
整租,距离地铁四惠1009米,押2付3,8000,高楼层/27层,65,凯德锦绣,精装
整租,距离地铁四惠393米,押2付3,35000,底层/17层,450,远洋天地三期,简装
整租,距离地铁四惠464米,押1付3,14000,低楼层/21层,140,东恒时代二期A区,精装
