chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁芍药居513米,押2付3,14000,低楼层/22层,89,太阳公元2组团,精装
整租,距离地铁太阳宫291米,押2付3,9500,低楼层/18层,77,半岛国际公寓,精装
整租,距离地铁太阳宫139米,押2付3,8000,低楼层/20层,65,万方阿波罗计划,精装
整租,距离地铁太阳宫291米,押2付3,13000,底层/18层,100,半岛国际公寓,精装
整租,距离地铁太阳宫288米,押2付3,20000,底层/2层,53,太阳星城火星园,简装
整租,距离地铁太阳宫288米,押2付3,13500,底层/21层,100,太阳星城火星园,精装
整租,距离地铁太阳宫288米,押2付3,13500,中楼层/26层,96,太阳星城火星园,精装
整租,距离地铁芍药居572米,押2付3,14500,高楼层/27层,89,太阳公元1组团,豪装
整租,距离地铁太阳宫288米,押2付3,13500,高楼层/26层,102,太阳星城火星园,精装
整租,距离地铁太阳宫580米,押2付3,11000,低楼层/20层,80,太阳国际公馆,精装
整租,距离地铁太阳宫230米,押2付3,13000,高楼层/26层,94,丰和园19号院,精装
整租,距离地铁太阳宫139米,押2付3,7500,高楼层/20层,44,万方阿波罗计划,精装
整租,距离地铁太阳宫288米,押2付3,24000,高楼层/27层,209,太阳星城火星园,精装
整租,距离地铁太阳宫246米,押2付3,8500,中楼层/24层,70,新纪家园,精装
整租,距离地铁太阳宫139米,押2付3,7000,高楼层/21层,50,万方阿波罗计划,精装
整租,距离地铁太阳宫451米,押2付3,8000,高楼层/18层,68,社科院,精装
整租,距离地铁太阳宫216米,押2付3,19000,中楼层/26层,110,冠城大通,精装
整租,距离地铁芍药居513米,押1付3,23000,高楼层/23层,137,太阳公元2组团,精装
整租,距离地铁太阳宫454米,押1付3,35000,高楼层/23层,291.95,太阳星城水星园,精装
整租,距离地铁太阳宫246米,押2付3,8000,底层/21层,75,新纪家园,豪装
整租,距离地铁太阳宫454米,押2付3,16500,低楼层/19层,128,太阳星城水星园,精装
整租,距离地铁太阳宫306米,押1付3,14000,低楼层/26层,94,丰和园15号院,中装
整租,距离地铁太阳宫306米,押1付3,14000,高楼层/26层,94,丰和园15号院,精装
整租,距离地铁太阳宫288米,押2付3,4500,低楼层/24层,50,太阳星城火星园,精装
整租,距离地铁太阳宫230米,押2付3,17000,高楼层/26层,143,丰和园19号院,精装
整租,距离地铁太阳宫580米,押2付3,8700,中楼层/12层,75.2,太阳国际公馆,精装
整租,距离地铁太阳宫306米,押2付3,17000,底层/26层,143,丰和园15号院,精装
整租,距离地铁太阳宫451米,押2付3,2900,高楼层/18层,20,社科院,中装
整租,距离地铁芍药居572米,押2付3,13500,高楼层/27层,90,太阳公元1组团,豪装
整租,距离地铁太阳宫306米,押2付3,12500,低楼层/26层,94,丰和园15号院,精装
整租,距离地铁太阳宫291米,押2付3,7000,低楼层/18层,33,半岛国际公寓,简装
整租,距离地铁太阳宫216米,押2付3,17000,低楼层/26层,97,冠城大通,豪装
合租,距离地铁太阳宫306米,押1付3,4000,中楼层/26层,15,丰和园15号院,精装
整租,距离地铁太阳宫246米,押2付3,2800,顶层/6层,172,新纪家园,精装
整租,距离地铁太阳宫139米,押1付3,10000,高楼层/18层,82.46,万方阿波罗计划,精装
整租,距离地铁太阳宫139米,押1付3,7500,高楼层/20层,60,万方阿波罗计划,精装
整租,距离地铁太阳宫454米,押2付3,14000,中楼层/23层,105,太阳星城水星园,精装
太阳宫,距离地铁太阳宫246米,押1付3,4500,高楼层/24层,20,新纪家园,其他
太阳宫,距离地铁太阳宫139米,押1付3,8800,中楼层/18层,86,万方阿波罗计划,其他
整租,距离地铁太阳宫1401米,押2付3,90000,低楼层/10层,540,顺景园,简装
太阳宫,距离地铁太阳宫246米,押1付3,3600,高楼层/24层,18,新纪家园,其他
整租,距离地铁太阳宫1401米,押2付3,83000,低楼层/10层,540,顺景园,精装
整租,距离地铁太阳宫288米,押2付3,30000,高楼层/27层,201,太阳星城火星园,精装
整租,距离地铁芍药居572米,押1付12,42000,低楼层/24层,220,太阳公元1组团,豪装
整租,距离地铁太阳宫580米,押1付6,22000,中楼层/20层,196.93,太阳国际公馆,精装
整租,距离地铁太阳宫306米,押2付3,12000,底层/26层,89,丰和园15号院,简装
整租,距离地铁太阳宫580米,押1付3,20000,高楼层/23层,196,太阳国际公馆,简装
整租,距离地铁太阳宫139米,押2付3,7800,高楼层/20层,64,万方阿波罗计划,精装
整租,距离地铁太阳宫139米,押2付3,6800,中楼层/20层,55,万方阿波罗计划,精装
