chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁金台路250米,押2付3,6500,高楼层/6层,62,延静里,中装
合租,距离地铁金台路258米,押2付3,4800,中楼层/6层,20,公园5号,中装
整租,距离地铁金台路250米,押2付3,4800,顶层/6层,36.36,延静里,中装
整租,距离地铁朝阳公园586米,押1付3,8600,低楼层/21层,115,碧水园,精装
整租,距离地铁金台路258米,押2付3,18000,低楼层/22层,158,公园5号,精装
整租,距离地铁朝阳公园388米,押1付3,11000,高楼层/23层,120,华阳家园,精装
整租,距离地铁朝阳公园586米,押2付3,6500,底层/21层,87,碧水园,中装
整租,距离地铁金台路250米,押1付3,8500,顶层/6层,78,延静里,简装
合租,距离地铁朝阳公园388米,押2付3,4500,高楼层/23层,20,华阳家园,精装
整租,距离地铁金台路579米,押2付3,7800,高楼层/26层,120,延静东里,精装
整租,距离地铁朝阳公园491米,押2付3,6000,顶层/18层,62.38,甜水园北里,中装
整租,距离地铁金台路258米,押2付3,8600,高楼层/19层,57,公园5号,精装
整租,距离地铁金台路258米,押2付3,13000,低楼层/6层,107,公园5号,豪装
整租,距离地铁朝阳公园586米,押2付3,8800,中楼层/21层,86,碧水园,精装
整租,距离地铁金台路712米,押2付3,4500,高楼层/12层,63,道家园北院,中装
合租,距离地铁金台路250米,押1付3,3000,底层/6层,16,延静里,精装
整租,距离地铁朝阳公园388米,押2付3,11000,低楼层/23层,120,华阳家园,精装
整租,距离地铁金台路258米,押2付3,40000,底层/3层,90,公园5号,精装
合租,距离地铁金台路250米,押2付3,4000,底层/5层,40,延静里,中装
整租,距离地铁朝阳公园491米,押2付3,5200,顶层/6层,56.99,甜水园北里,精装
整租,距离地铁朝阳公园373米,押2付3,19000,低楼层/21层,163.15,万科东第,精装
整租,距离地铁金台路258米,押2付3,14000,顶层/6层,203,公园5号,中装
整租,距离地铁金台路258米,押2付3,13500,高楼层/22层,127,公园5号,精装
整租,距离地铁金台路258米,押2付3,14000,中楼层/22层,115,公园5号,中装
整租,距离地铁朝阳公园388米,押2付3,9000,高楼层/23层,78.21,华阳家园,精装
整租,距离地铁金台路250米,押2付3,6000,中楼层/6层,65,延静里,中装
整租,距离地铁金台路258米,押2付3,8500,低楼层/19层,58,公园5号,豪装
整租,距离地铁金台路250米,押2付3,5800,底层/4层,57,延静里,精装
整租,距离地铁朝阳公园388米,押2付3,12500,高楼层/23层,130,华阳家园,精装
整租,距离地铁朝阳公园491米,押2付3,6500,低楼层/6层,62.82,甜水园北里,精装
整租,距离地铁金台路250米,押2付3,6000,中楼层/6层,60,延静里,中装
合租,距离地铁朝阳公园491米,押2付3,2800,顶层/6层,12,甜水园北里,精装
甜水园,距离地铁金台路712米,押1付3,6200,高楼层/20层,62,道家园北院,其他
整租,距离地铁金台路258米,押2付3,13000,低楼层/22层,115,公园5号,精装
合租,距离地铁朝阳公园491米,押1付3,2500,中楼层/6层,15,甜水园北里,中装
整租,距离地铁金台路109米,押2付3,7100,底层/13层,75,水碓子东里,中装
整租,距离地铁朝阳公园491米,押2付3,6500,高楼层/20层,68,甜水园北里,简装
合租,距离地铁朝阳公园431米,押2付3,2700,低楼层/5层,20,六里屯东里,中装
整租,距离地铁金台路109米,押1付3,6000,低楼层/13层,56,水碓子东里,中装
整租,距离地铁金台路258米,押2付3,16000,高楼层/22层,157,公园5号,中装
合租,距离地铁金台路461米,押2付3,2700,底层/6层,15,甜水园东里东院,精装
整租,距离地铁金台路550米,押2付3,6500,底层/6层,60,水碓子东路,中装
整租,距离地铁金台路461米,押2付3,4500,顶层/6层,45,甜水园东里东院,中装
整租,距离地铁金台路550米,押2付3,6500,底层/6层,66,水碓子东路,中装
合租,距离地铁金台路250米,押2付3,2800,顶层/6层,15,延静里,中装
整租,距离地铁金台路461米,押1付3,12500,底层/6层,260,甜水园东里东院,精装
整租,距离地铁金台路712米,押2付3,5500,低楼层/20层,62,道家园北院,中装
距离地铁金台路258米,距离地铁金台路258米,押1付3,8300,中楼层/18层,58,公园5号,整租
整租,距离地铁金台路250米,押1付3,6000,中楼层/5层,60,延静里,中装
甜水园,距离地铁金台路461米,押1付3,4800,高楼层/6层,58.27,甜水园东里东院,其他
整租,距离地铁金台路550米,押2付3,6000,高楼层/6层,60,水碓子东路,中装
整租,距离地铁金台路550米,押2付3,5600,中楼层/6层,61,水碓子东路,中装
整租,距离地铁金台路461米,押2付3,6300,中楼层/6层,65.36,甜水园东里东院,中装
整租,距离地铁金台路461米,押2付3,6000,中楼层/6层,55,甜水园东里东院,中装
整租,距离地铁金台路250米,押1付3,12000,底层/6层,72,延静里,中装
整租,距离地铁金台路461米,押2付3,6500,中楼层/6层,57,甜水园东里东院,精装
整租,距离地铁金台路109米,押2付3,5500,底层/6层,56,水碓子东里,中装
整租,距离地铁金台路109米,押2付3,3800,底层/6层,18,水碓子东里,中装
甜水园,距离地铁金台路712米,押1付3,5300,高楼层/20层,54,道家园北院,其他
整租,距离地铁朝阳公园491米,押1付3,5500,中楼层/13层,50,甜水园北里,中装
整租,距离地铁金台路258米,押1付3,20000,中楼层/22层,156,公园5号,精装
整租,距离地铁金台路461米,押2付3,5800,低楼层/6层,54,甜水园东里东院,中装
整租,距离地铁金台路250米,押2付3,6400,高楼层/6层,65,延静里,精装
整租,距离地铁金台路109米,押2付3,6500,中楼层/13层,62,水碓子东里,中装
整租,距离地铁金台路461米,押2付3,4500,顶层/6层,52,甜水园东里东院,毛坯
整租,距离地铁金台路109米,押2付3,6500,底层/13层,65,水碓子东里,精装
整租,距离地铁朝阳公园491米,押2付3,6500,高楼层/20层,68,甜水园北里,精装
整租,距离地铁金台路712米,押2付3,5500,低楼层/20层,54,道家园北院,中装
整租,距离地铁金台路712米,押2付3,6500,低楼层/12层,65,道家园北院,中装
整租,距离地铁金台路109米,押2付3,4600,底层/6层,65,水碓子东里,中装
甜水园,距离地铁金台路712米,押1付3,6800,高楼层/12层,42.88,道家园北院,其他
整租,距离地铁金台路712米,押1付3,6000,顶层/12层,62.51,道家园北院,中装
甜水园,距离地铁朝阳公园491米,押1付12,7400,低楼层/18层,64,甜水园北里,其他
甜水园,距离地铁金台路579米,押1付3,5850,中楼层/6层,50,延静东里,其他
距离地铁金台路250米,距离地铁金台路250米,押1付3,2000,高楼层/6层,10,延静里,合租
甜水园,距离地铁朝阳公园388米,押1付3,10000,低楼层/23层,112,华阳家园,其他
距离地铁金台路250米,距离地铁金台路250米,押1付3,2600,低楼层/6层,10,延静里,合租
甜水园,距离地铁金台路258米,押1付3,13000,中楼层/6层,122.05,公园5号,其他
距离地铁金台路250米,距离地铁金台路250米,押1付3,5000,顶层/6层,37,延静里,整租
甜水园,距离地铁朝阳公园491米,押1付3,6500,低楼层/20层,89,甜水园北里,其他
