chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁金台路461米,押2付3,7000,低楼层/18层,60.85,秀水园小区,精装
整租,距离地铁金台路465米,押1付3,8000,低楼层/20层,50.89,摩码大厦,中装
合租,距离地铁团结湖141米,押2付3,3500,底层/6层,20,团结湖北头条,中装
合租,距离地铁团结湖70米,押2付3,2600,高楼层/16层,20,团结湖北口,精装
整租,距离地铁朝阳公园826米,押2付3,15000,中楼层/23层,131.8,团结湖公寓,精装
整租,距离地铁朝阳公园717米,押2付3,9000,中楼层/6层,70,六里屯西里,精装
整租,距离地铁团结湖525米,押1付3,6300,中楼层/6层,60,团结湖北三条,中装
合租,距离地铁朝阳公园522米,押2付3,3200,顶层/6层,18,团结湖北五条,精装
整租,距离地铁金台路461米,押1付3,7000,高楼层/14层,64.18,秀水园小区,中装
合租,距离地铁金台路815米,押1付3,1200,顶层/5层,8,团结湖中路北二条,中装
合租,距离地铁金台路674米,押2付3,2100,中楼层/6层,10,团结湖中路南三条,中装
整租,距离地铁团结湖774米,押2付3,8000,中楼层/16层,65,团结湖东里,精装
合租,距离地铁金台路461米,押2付3,2800,高楼层/16层,56.25,秀水园小区,精装
整租,距离地铁金台路461米,押2付3,6800,高楼层/14层,70,秀水园小区,精装
整租,距离地铁金台路465米,押2付3,7500,低楼层/21层,50.89,摩码大厦,精装
整租,距离地铁呼家楼160米,押2付3,15000,低楼层/28层,138.35,中海紫荆豪庭,中装
合租,距离地铁呼家楼646米,押2付3,2800,高楼层/6层,80.7,团结湖北里,简装
整租,距离地铁团结湖774米,押1付3,7000,高楼层/16层,44,团结湖东里,精装
整租,距离地铁呼家楼754米,押2付3,7000,高楼层/6层,56,团结湖中路南二条,精装
整租,距离地铁团结湖525米,押2付3,8500,中楼层/12层,80,团结湖北三条,精装
合租,距离地铁金台路674米,押1付3,2500,中楼层/6层,15,团结湖中路南三条,中装
整租,距离地铁金台路461米,押2付3,3000,高楼层/16层,16,秀水园小区,精装
整租,距离地铁朝阳公园826米,押2付3,11000,中楼层/26层,106,团结湖公寓,中装
整租,距离地铁团结湖285米,押2付3,6000,顶层/12层,55,团结湖北二条,精装
合租,距离地铁朝阳公园717米,押1付3,2500,底层/6层,12,六里屯西里,中装
整租,距离地铁朝阳公园721米,押1付3,6200,中楼层/6层,65,团结湖北四条,中装
整租,距离地铁朝阳公园326米,押2付3,7500,低楼层/13层,60,六里屯北里,中装
整租,距离地铁团结湖774米,押2付3,7500,顶层/16层,61,团结湖东里,中装
合租,距离地铁金台路815米,押2付3,3100,顶层/5层,25,团结湖中路北二条,中装
距离地铁呼家楼129米,距离地铁呼家楼129米,押1付3,3750,中楼层/6层,20,团结湖南里,合租
距离地铁呼家楼656米,距离地铁呼家楼656米,押1付3,2950,顶层/6层,25,团结湖中路南一条,合租
