chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁光熙门563米,押1付3,6500,高楼层/17层,61.42,西坝河西里,精装
整租,距离地铁光熙门563米,押1付3,5500,高楼层/16层,45,西坝河西里,精装
整租,距离地铁光熙门563米,押1付3,6000,顶层/6层,46.39,西坝河西里,精装
整租,距离地铁太阳宫714米,押2付3,5200,底层/6层,45,西坝河东里,简装
整租,距离地铁柳芳900米,押1付6,8800,中楼层/6层,62,西坝河中里,豪装
合租,距离地铁光熙门557米,押2付3,2200,底层/20层,10,西坝河北里,精装
整租,距离地铁光熙门417米,押1付3,6400,中楼层/21层,70,光熙门北里,精装
整租,距离地铁光熙门563米,押2付3,7100,高楼层/16层,60,西坝河西里,中装
整租,距离地铁光熙门563米,押2付3,5300,低楼层/12层,49,西坝河西里,中装
整租,距离地铁柳芳551米,押1付3,6500,底层/13层,55,西坝河南里,精装
整租,距离地铁光熙门417米,押1付3,6000,顶层/18层,52,光熙门北里,精装
整租,距离地铁太阳宫714米,押2付3,5700,中楼层/6层,40,西坝河东里,精装
整租,距离地铁柳芳900米,押1付3,7000,低楼层/22层,67.73,西坝河中里,中装
合租,距离地铁太阳宫714米,押1付3,3200,高楼层/24层,18,西坝河东里,精装
整租,距离地铁太阳宫714米,押2付3,6000,低楼层/18层,45,西坝河东里,中装
整租,距离地铁光熙门417米,押1付3,5500,高楼层/21层,45,光熙门北里,精装
整租,距离地铁太阳宫597米,押1付3,6000,顶层/7层,60,西坝河北里202号院,中装
整租,距离地铁光熙门527米,押3付3,28000,中楼层/15层,199.21,英特公寓,精装
合租,距离地铁太阳宫597米,押2付3,3000,中楼层/7层,15,西坝河北里202号院,中装
整租,距离地铁太阳宫714米,押2付3,5700,中楼层/18层,45,西坝河东里,精装
整租,距离地铁太阳宫714米,押2付3,7500,顶层/6层,65,西坝河东里,精装
整租,距离地铁柳芳551米,押2付3,6000,中楼层/13层,60,西坝河南里,精装
整租,距离地铁光熙门448米,押2付3,16000,高楼层/25层,130.14,光熙家园,精装
整租,距离地铁太阳宫714米,押2付3,5100,底层/6层,43,西坝河东里,豪装
