chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁亮马桥657米,押2付3,3000,低楼层/16层,44.52,三源里南小街,中装
整租,距离地铁亮马桥644米,押1付3,22000,低楼层/31层,168,US联邦公寓,精装
合租,距离地铁亮马桥657米,押1付3,2200,底层/6层,10,三源里南小街,简装
整租,距离地铁三元桥540米,押2付3,5500,底层/6层,58,霞光里30号院,中装
整租,距离地铁亮马桥664米,押1付3,6000,低楼层/16层,44.99,新源街,精装
整租,距离地铁亮马桥1184米,押2付3,6000,顶层/5层,61,新源里西,中装
整租,距离地铁三元桥633米,押2付3,5600,高楼层/16层,47,三源里街,中装
合租,距离地铁亮马桥657米,押1付3,3500,底层/6层,25,三源里南小街,中装
整租,距离地铁亮马桥664米,押1付3,7000,中楼层/5层,36.99,新源街,中装
整租,距离地铁亮马桥463米,押1付3,6500,低楼层/12层,49.82,顺源里小区,中装
合租,距离地铁亮马桥657米,押1付3,3500,中楼层/6层,55,三源里南小街,精装
整租,距离地铁三元桥799米,押2付3,22000,高楼层/31层,207,嘉和丽园,精装
合租,距离地铁亮马桥491米,押2付3,3000,低楼层/5层,15,牛王庙,精装
整租,距离地铁三元桥799米,押2付3,12000,中楼层/28层,108.21,嘉和丽园,中装
合租,距离地铁亮马桥1184米,押1付3,3000,底层/5层,20,新源里西,精装
合租,距离地铁亮马桥463米,押1付3,3200,高楼层/12层,25,顺源里小区,中装
整租,距离地铁亮马桥664米,押2付3,8500,底层/6层,54,新源街,简装
整租,距离地铁三元桥540米,押1付3,6300,低楼层/6层,58,霞光里30号院,中装
整租,距离地铁三元桥657米,押1付3,5500,中楼层/6层,39,三源里北小街,中装
合租,距离地铁亮马桥664米,押2付3,2900,高楼层/6层,59,新源街,中装
合租,距离地铁亮马桥841米,押1付3,3600,高楼层/16层,17,新源南路,中装
合租,距离地铁亮马桥1184米,押2付3,2900,底层/5层,18,新源里西,中装
合租,距离地铁亮马桥463米,押1付3,2800,中楼层/6层,15,顺源里小区,中装
整租,距离地铁三元桥540米,押2付3,7000,中楼层/6层,58,霞光里30号院,中装
整租,距离地铁三元桥540米,押2付3,6500,高楼层/6层,58,霞光里30号院,中装
整租,距离地铁三元桥633米,押1付3,6700,中楼层/6层,62,三源里街,中装
合租,距离地铁亮马桥1124米,押1付3,3500,顶层/5层,15,新源里东小区,精装
整租,距离地铁亮马桥657米,押1付3,6800,顶层/16层,60,三源里南小街,中装
随时看房,距离地铁亮马桥657米,,7200,低楼层/12层,59.68,三源里南小街,毛坯
整租,距离地铁亮马桥1124米,押1付3,7000,底层/5层,60,新源里东小区,中装
合租,距离地铁三元桥633米,押1付3,3500,中楼层/6层,20,三源里街,精装
合租,距离地铁亮马桥664米,押1付3,2300,顶层/6层,12,新源街,毛坯
整租,距离地铁亮马桥1124米,押1付3,15000,中楼层/5层,128.64,新源里东小区,精装
整租,距离地铁三元桥633米,押1付6,5800,高楼层/16层,47,三源里街,中装
合租,距离地铁亮马桥491米,押2付3,3000,低楼层/5层,17,牛王庙,中装
整租,距离地铁亮马桥664米,押1付3,5000,顶层/12层,50,新源街,简装
整租,距离地铁三元桥540米,押2付3,6000,高楼层/6层,37,霞光里30号院,中装
整租,距离地铁亮马桥463米,押1付3,8500,中楼层/6层,65,顺源里小区,中装
整租,距离地铁三元桥264米,押2付3,22000,低楼层/23层,184.61,国际港,精装
整租,距离地铁三元桥633米,押1付3,5500,高楼层/6层,37,三源里街,中装
整租,距离地铁亮马桥1124米,押1付12,10000,高楼层/6层,120,新源里东小区,中装
合租,距离地铁亮马桥463米,押1付3,3000,中楼层/6层,15,顺源里小区,中装
整租,距离地铁三元桥633米,押2付3,6800,中楼层/12层,51,三源里街,精装
合租,距离地铁三元桥799米,押1付3,8000,低楼层/31层,196,嘉和丽园,中装
整租,距离地铁三元桥657米,押2付3,6500,低楼层/16层,45,三源里北小街,精装
合租,距离地铁三元桥633米,押2付3,3000,中楼层/12层,65,三源里街,精装
整租,距离地铁亮马桥657米,押1付3,9700,高楼层/6层,80.7,三源里南小街,精装
整租,距离地铁亮马桥630米,押1付3,24000,低楼层/25层,131.63,SOHO北京公馆,精装
整租,距离地铁三元桥699米,押2付3,18000,中楼层/7层,188,儒林苑,精装
