chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁大屯路东426米,押2付3,12000,低楼层/30层,114,金泉家园,精装
整租,距离地铁惠新西街北口368米,押2付3,8800,高楼层/25层,89,安苑北里,精装
整租,距离地铁安立路672米,押2付3,6600,底层/6层,54.02,慧忠里D区,中装
整租,距离地铁安立路868米,押1付3,5800,中楼层/6层,47,慧忠里C区,精装
整租,距离地铁安立路672米,押2付3,7200,顶层/6层,58,慧忠里D区,精装
整租,距离地铁安立路250米,押2付3,6800,中楼层/6层,70,慧忠里B区,中装
整租,距离地铁大屯路东186米,押2付3,20700,高楼层/32层,115,金泉时代广场,豪装
整租,距离地铁安立路1082米,押2付3,18000,低楼层/25层,203,汇园公寓,简装
合租,距离地铁安立路502米,押2付3,2000,高楼层/24层,15,慧忠北里第一社区,精装
整租,距离地铁大屯路东426米,押1付3,15000,高楼层/28层,147,金泉家园,中装
合租,距离地铁安立路602米,押2付3,3300,顶层/20层,10,安慧北里雅园,中装
合租,距离地铁安立路568米,押2付3,3500,低楼层/16层,20,慧忠北里第二社区,中装
整租,距离地铁大屯路东500米,押2付3,7300,中楼层/6层,65,安慧北里逸园,精装
整租,距离地铁安立路568米,押2付3,8000,低楼层/25层,70,慧忠北里第二社区,中装
整租,距离地铁大屯路东689米,押2付3,7500,顶层/6层,65,安慧北里秀园,精装
整租,距离地铁大屯路东500米,押2付3,8500,底层/26层,85,安慧北里逸园,中装
合租,距离地铁大屯路东481米,押2付3,2600,中楼层/28层,20,大屯里小区,精装
整租,距离地铁安立路471米,押3付3,14000,低楼层/16层,120,卧龙小区,豪装
整租,距离地铁大屯路东426米,押2付3,12000,低楼层/30层,116,金泉家园,精装
整租,距离地铁大屯路东500米,押1付3,8500,中楼层/26层,102,安慧北里逸园,中装
整租,距离地铁大屯路东500米,押2付3,8800,中楼层/26层,83,安慧北里逸园,简装
整租,距离地铁惠新西街北口903米,押1付3,7500,中楼层/25层,70,安慧里二区,中装
整租,距离地铁安立路593米,押2付3,14000,高楼层/30层,126,阳光广场,中装
整租,距离地铁安立路672米,押2付3,7200,中楼层/6层,65,慧忠里D区,精装
整租,距离地铁安立路868米,押1付3,5700,高楼层/6层,47,慧忠里C区,精装
整租,距离地铁安立路868米,押0付3,7000,高楼层/6层,58.45,慧忠里C区,精装
整租,距离地铁惠新西街北口903米,押2付3,9000,高楼层/25层,80,安慧里二区,精装
整租,距离地铁惠新西街北口903米,押2付3,8000,高楼层/25层,80,安慧里二区,中装
合租,距离地铁大屯路东881米,押1付3,2600,顶层/6层,20,安慧北里,中装
整租,距离地铁安立路485米,押2付3,13000,高楼层/9层,135,博世祥园,中装
整租,距离地铁安立路383米,押2付3,6800,低楼层/6层,63.07,安慧北里安园,中装
整租,距离地铁惠新西街北口414米,押2付3,6800,中楼层/20层,79,安慧里四区,中装
整租,距离地铁安立路502米,押2付3,6200,低楼层/24层,65,慧忠北里第一社区,中装
整租,距离地铁大屯路东426米,押2付3,15000,低楼层/23层,161,金泉家园,精装
整租,距离地铁惠新西街北口348米,押2付3,8200,高楼层/12层,85,安慧里五区,精装
整租,距离地铁安立路672米,押2付3,5000,顶层/6层,48,慧忠里D区,中装
整租,距离地铁安立路502米,押2付3,10000,中楼层/25层,100,慧忠北里第一社区,中装
整租,距离地铁安立路868米,押2付3,5500,中楼层/6层,45,慧忠里C区,中装
整租,距离地铁安立路602米,押2付3,6800,高楼层/6层,64.78,安慧北里雅园,精装
整租,距离地铁安立路868米,押2付3,7500,顶层/6层,60,慧忠里C区,中装
整租,距离地铁安立路383米,押2付3,7800,顶层/6层,63.07,安慧北里安园,精装
整租,距离地铁安立路383米,押1付3,6800,高楼层/6层,60,安慧北里安园,中装
整租,距离地铁惠新西街北口903米,押1付3,9000,高楼层/25层,79.13,安慧里二区,精装
整租,距离地铁安立路471米,押2付3,9500,高楼层/6层,129,卧龙小区,精装
整租,距离地铁安立路532米,押2付3,12000,底层/28层,139,大屯中灿苑,豪装
整租,距离地铁大屯路东426米,押2付3,8500,中楼层/30层,77,金泉家园,精装
整租,距离地铁安立路602米,押2付3,8300,中楼层/20层,75,安慧北里雅园,中装
整租,距离地铁安立路136米,押2付3,15000,低楼层/12层,147,安立花园,精装
整租,距离地铁安立路250米,押2付3,8000,低楼层/6层,61.27,慧忠里B区,中装
整租,距离地铁惠新西街北口903米,押2付3,5500,高楼层/25层,45,安慧里二区,中装
整租,距离地铁安立路862米,押2付3,7000,高楼层/6层,77,亚奥观典,精装
整租,距离地铁安立路383米,押2付3,6000,高楼层/6层,48.07,安慧北里安园,中装
整租,距离地铁大屯路东689米,押2付3,6000,中楼层/6层,50,安慧北里秀园,中装
整租,距离地铁惠新西街北口382米,押2付3,25000,中楼层/16层,287,加利大厦,精装
合租,距离地铁安立路502米,押2付3,2500,中楼层/16层,10,慧忠北里第一社区,中装
整租,距离地铁安立路868米,押1付3,5500,高楼层/6层,50,慧忠里C区,精装
整租,距离地铁大屯路东186米,押2付3,17500,低楼层/32层,116,金泉时代广场,中装
整租,距离地铁大屯路东665米,押1付3,20000,中楼层/28层,205.9,荣尊堡国际俱乐部公寓,豪装
整租,距离地铁安立路265米,押1付3,13000,中楼层/19层,120,天创世缘,中装
合租,距离地铁安立路643米,押2付3,3000,中楼层/25层,17,慧忠北里第四社区,中装
整租,距离地铁安立路833米,押2付3,23000,低楼层/17层,219,名人公寓,精装
整租,距离地铁安立路467米,押2付3,15500,高楼层/29层,172,九台2000家园,中装
随时看房,距离地铁大屯路东500米,押2付3,16000,低楼层/24层,180,安慧北里逸园,中装
整租,距离地铁安立路833米,押1付3,20000,中楼层/17层,228,名人公寓,中装
整租,距离地铁大屯路东426米,押2付3,8000,高楼层/30层,72,金泉家园,精装
整租,距离地铁安立路833米,押2付3,23000,低楼层/17层,228,名人公寓,精装
整租,距离地铁安立路593米,押2付3,13500,高楼层/18层,116,阳光广场,精装
整租,距离地铁大屯路东689米,押1付3,5500,高楼层/20层,55,安慧北里秀园,精装
整租,距离地铁大屯路东844米,押2付3,36000,底层/3层,183.4,紫玉山庄,中装
合租,距离地铁安立路568米,押1付3,2800,高楼层/16层,20,慧忠北里第二社区,中装
合租,距离地铁安立路1082米,押1付3,3500,低楼层/15层,20,汇园公寓,精装
距离地铁惠新西街北口414米,距离地铁惠新西街北口414米,押1付3,3100,底层/20层,20,安慧里四区,合租
整租,距离地铁安立路862米,押2付3,7500,低楼层/25层,80,亚奥观典,精装
整租,距离地铁大屯路东516米,押2付3,21000,底层/12层,145,华悦国际公寓,精装
距离地铁惠新西街北口414米,距离地铁惠新西街北口414米,押1付3,2550,底层/20层,12,安慧里四区,合租
距离地铁惠新西街北口414米,距离地铁惠新西街北口414米,押1付3,2550,底层/20层,15,安慧里四区,合租
亚运村,距离地铁大屯路东661米,押1付3,8200,底层/6层,61.57,OLD安慧北里秀园,其他
亚运村,距离地铁安立路319米,押1付3,9300,低楼层/30层,88.96,OLD保利金泉家园,其他
亚运村,距离地铁安立路449米,押1付3,8000,中楼层/16层,67.32,OLD慧忠里,其他
距离地铁安贞门548米,距离地铁安贞门548米,押1付3,3400,高楼层/6层,15,安苑里,合租
距离地铁安贞门548米,距离地铁安贞门548米,押1付3,2400,高楼层/6层,13,安苑里,合租
亚运村,距离地铁安立路443米,押1付3,10000,高楼层/16层,126,OLD卧龙小区,其他
整租,距离地铁奥体中心1099米,押2付3,25000,低楼层/29层,233,汇欣公寓,精装
整租,距离地铁安立路322米,押2付12,30000,高楼层/24层,202,润枫德尚苑,精装
整租,距离地铁奥体中心1099米,押1付3,26000,高楼层/29层,220,汇欣公寓,精装
整租,距离地铁大屯路东186米,押2付3,27500,中楼层/32层,100,金泉时代广场,中装
整租,距离地铁大屯路东186米,押2付3,27500,中楼层/32层,100,金泉时代广场,中装
整租,距离地铁安立路322米,押2付3,23000,低楼层/24层,143,润枫德尚苑,中装
整租,距离地铁安立路833米,押2付3,29000,中楼层/17层,228,名人公寓,精装
整租,距离地铁安立路593米,押2付3,13000,高楼层/18层,116,阳光广场,精装
整租,距离地铁大屯路东881米,押2付12,7500,底层/1层,60,安慧北里,精装
整租,距离地铁安立路322米,押1付12,33000,高楼层/18层,229,润枫德尚苑,精装
整租,距离地铁安立路593米,押1付3,15000,高楼层/30层,126,阳光广场,精装
整租,距离地铁安立路593米,押1付3,14000,中楼层/30层,135,阳光广场,精装
整租,距离地铁大屯路东516米,押1付3,44000,高楼层/10层,176.74,华悦国际公寓,精装
整租,距离地铁安立路833米,押1付3,28000,中楼层/17层,228,名人公寓,精装
整租,距离地铁安立路593米,押1付3,22000,高楼层/30层,177,阳光广场,精装
整租,距离地铁惠新西街北口637米,押2付3,7000,高楼层/6层,60,安慧里一区,中装
整租,距离地铁大屯路东426米,押2付3,9500,低楼层/30层,98,金泉家园,精装
整租,距离地铁大屯路东844米,押2付3,180000,底层/8层,624,紫玉山庄,精装
整租,距离地铁安立路471米,押2付3,6000,中楼层/6层,56,卧龙小区,精装
整租,距离地铁安立路502米,押2付3,10000,顶层/9层,160,慧忠北里第一社区,中装
合租,距离地铁安立路568米,押2付3,2800,顶层/25层,15,慧忠北里第二社区,中装
整租,距离地铁安立路643米,押2付3,7800,高楼层/25层,78,慧忠北里第四社区,精装
整租,距离地铁安贞门548米,押1付3,3000,高楼层/6层,65,安苑里,精装
整租,距离地铁惠新西街北口903米,押1付3,7500,中楼层/25层,71,安慧里二区,精装
亚运村,距离地铁安立路449米,押1付3,5700,高楼层/16层,48,OLD慧忠里,其他
合租,距离地铁惠新西街北口637米,押2付3,2500,中楼层/6层,15,安慧里一区,精装
亚运村,距离地铁安立路471米,押1付3,13800,高楼层/14层,153.29,卧龙小区,其他
亚运村,距离地铁安立路269米,押1付3,7600,高楼层/25层,80.58,OLD慧忠北里,其他
距离地铁惠新西街北口903米,距离地铁惠新西街北口903米,押1付3,3000,中楼层/25层,15,安慧里二区,合租
亚运村,距离地铁大屯路东500米,押1付3,8700,中楼层/24层,103.82,安慧北里逸园,其他
亚运村,距离地铁惠新西街北口903米,押1付3,6200,低楼层/18层,48,安慧里二区,其他
亚运村,距离地铁大屯路东706米,押1付3,15300,中楼层/22层,144.52,OLD凯旋城,其他
亚运村,距离地铁安立路269米,押1付3,2650,中楼层/24层,32,OLD慧忠北里,其他
亚运村,距离地铁安立路1082米,押1付3,13000,低楼层/15层,133.9,汇园公寓,其他
